dataset_id,window_size,tolerance_type,tolerance_value,auc
9,10,full_window,10,0.06677337281451885
9,20,full_window,20,0.23947746755542865
9,30,full_window,30,0.4110521672689419
9,50,full_window,50,0.6000458318012498
9,80,full_window,80,0.6935507529640118
9,100,full_window,100,0.7272289982854243
9,150,full_window,150,0.7286231268358971
9,200,full_window,200,0.686983733990711
9,10,half_window,5,0.03303443136241591
9,20,half_window,10,0.14770244266946914
9,30,half_window,15,0.2657038665897129
9,50,half_window,25,0.4048868533337542
9,80,half_window,40,0.5359602416322351
9,100,half_window,50,0.5643333105765311
9,150,half_window,75,0.5670300999135514
9,200,half_window,100,0.5423185154337501
9,10,quarter_window,2,0.010384045115509513
9,20,quarter_window,5,0.06842093150260634
9,30,quarter_window,7,0.09644600449020949
9,50,quarter_window,12,0.14069762431598515
9,80,quarter_window,20,0.19175991051429936
9,100,quarter_window,25,0.2044657771980247
9,150,quarter_window,37,0.17925427712906694
9,200,quarter_window,50,0.22305324346356076
