dataset_id,window_size,tolerance_type,tolerance_value,auc
1,10,full_window,10,0.07098383978584406
1,20,full_window,20,0.23624637732562775
1,30,full_window,30,0.42006296619840533
1,50,full_window,50,0.5990830846914638
1,80,full_window,80,0.6898065898645094
1,100,full_window,100,0.7061199389172417
1,150,full_window,150,0.7401246336469468
1,200,full_window,200,0.6917848062890499
1,10,half_window,5,0.039109778933970246
1,20,half_window,10,0.14854128332697297
1,30,half_window,15,0.2912102976942911
1,50,half_window,25,0.4236551779888291
1,80,half_window,40,0.5283345138574902
1,100,half_window,50,0.5376335506940648
1,150,half_window,75,0.5774283012528848
1,200,half_window,100,0.5269628176397856
1,10,quarter_window,2,0.010330904856130592
1,20,quarter_window,5,0.07058436491885228
1,30,quarter_window,7,0.08279253365420321
1,50,quarter_window,12,0.1648537455640527
1,80,quarter_window,20,0.20043647708953052
1,100,quarter_window,25,0.21694592076014152
1,150,quarter_window,37,0.202409750904561
1,200,quarter_window,50,0.20929379737917247
