dataset_id,window_size,tolerance_type,tolerance_value,auc
10,10,full_window,10,0.06630595809298866
10,20,full_window,20,0.2410630017477994
10,30,full_window,30,0.41236894798076495
10,50,full_window,50,0.5787191078625511
10,80,full_window,80,0.6884083264349854
10,100,full_window,100,0.7189364942383014
10,150,full_window,150,0.7302084425666979
10,200,full_window,200,0.6933418918951025
10,10,half_window,5,0.03605785962601934
10,20,half_window,10,0.15961232822008964
10,30,half_window,15,0.272183074923939
10,50,half_window,25,0.3697785793593069
10,80,half_window,40,0.5288662866177566
10,100,half_window,50,0.5348470475165686
10,150,half_window,75,0.570948809807145
10,200,half_window,100,0.5378694243056441
10,10,quarter_window,2,0.009017752232649848
10,20,quarter_window,5,0.05897536231376431
10,30,quarter_window,7,0.09129289322563708
10,50,quarter_window,12,0.13688496453863686
10,80,quarter_window,20,0.2007649145452014
10,100,quarter_window,25,0.19356370658487984
10,150,quarter_window,37,0.23087023835720172
10,200,quarter_window,50,0.2049532837013916
