region_start,region_end,region_mean
0,624,7.398469113679241
624,1464,0.0
1464,2222,0.0
2222,2843,13.48543342009617
2843,3194,19.512353747640393
3194,4030,0.0
4030,4775,6.049980218712685
4775,4874,0.0
4874,5083,1.3572634031714557
5083,5858,7.282514902120404
5858,6273,4.880376319673026
6273,6654,1.2126828276565886
6654,6999,4.145170631043185
6999,7804,14.303704488043891
7804,8744,14.47033319345526
8744,8897,8.622685391516129
8897,9368,1.8729102909352993
9368,10063,3.1506126896731312
10063,10964,3.9396930729987565
10964,11309,0.0
11309,12273,16.780755740857003
12273,12928,18.663830186541972
12928,13000,1.6546407150547806
13000,13396,4.791992952803859
13396,14336,6.180348116443591
14336,15070,7.6992247223357335
15070,15495,0.0
15495,16036,3.3245843895968066
16036,16599,7.936633869649695
16599,16715,9.440511132406407
16715,17323,0.0
17323,17931,16.18033247623896
17931,18354,0.0
18354,18795,1.7922711983656499
18795,18933,14.681490282057386
18933,19720,0.6560461187449506
19720,20034,4.433183740779442
20034,20132,15.162801788081648
20132,20845,4.403112814858259
20845,21549,14.705701475675497
21549,21832,0.41148537714136274
21832,22110,7.892277745124136
22110,22756,5.858704175062909
22756,23124,7.404586042448035
23124,23717,0.0
23717,23934,19.62960346038814
23934,24861,3.4120335077226756
24861,25290,2.7626412187104576
25290,25520,0.0
25520,26089,6.978571467504838
26089,26140,9.485759290875038
26140,26958,7.748267626340297
26958,27788,4.909904704287563
27788,28388,5.80531004105856
28388,28673,5.089370027662426
28673,29619,9.176790093031713
29619,29974,5.577513217402746
29974,30929,1.2874927780901977
30929,31017,1.967826847530795
31017,31121,0.0
31121,31758,8.334704606161358
31758,32554,8.782876764476574
32554,32820,4.424685943767577
32820,33686,11.00263401438559
33686,34015,0.0
34015,34288,0.0
34288,34740,11.494667704191908
34740,35373,0.0
35373,36089,10.878911655642701
36089,36395,3.520215224127199
36395,36492,0.0
36492,37067,6.671806755733503
37067,37935,6.571645274736346
37935,38654,2.5831641759914685
38654,39005,3.4527057133713535
39005,39744,3.2703871434993728
39744,40389,15.82279934892323
40389,41300,4.894433839958687
41300,41602,15.029800396483354
41602,42438,0.0
42438,43342,0.0
43342,43716,0.719643584328477
43716,44130,8.908900035733781
44130,44243,6.096875494816557
44243,44488,5.802729320374507
44488,44815,4.2268498146708255
44815,45047,0.0
45047,45540,5.319758732422318
45540,45700,12.915645062443183
45700,46255,4.275469956793382
46255,46766,10.94171503035912
46766,47026,17.525233852774814
47026,47609,4.373423376574868
47609,48275,7.911163783484522
48275,49052,0.0
49052,49612,7.440201306213883
49612,50228,0.0
50228,50534,4.070881077541719
50534,51263,4.9065497323721985
51263,52226,0.0
52226,52385,0.0
52385,53355,6.676038924980161
53355,53743,0.0
53743,54364,3.532141330267152
54364,54475,0.0
54475,55178,0.47624026431384775
55178,55895,9.681661636035189
55895,56462,6.175298071642699
56462,56844,0.0
