Position,Value,Centromere_distance,Nucleosome_distance
0,0,250000,0
1,0,249999,1
2,0,249998,2
3,0,249997,3
4,0,249996,4
5,0,249995,5
6,0,249994,6
7,0,249993,7
8,0,249992,8
9,1,249991,9
10,0,249990,10
11,0,249989,11
12,1,249988,12
13,0,249987,13
14,0,249986,14
15,0,249985,15
16,0,249984,16
17,0,249983,17
18,0,249982,18
19,0,249981,19
20,0,249980,20
21,0,249979,21
22,0,249978,22
23,0,249977,23
24,0,249976,24
25,0,249975,25
26,19,249974,26
27,0,249973,27
28,0,249972,28
29,0,249971,29
30,0,249970,30
31,0,249969,31
32,0,249968,32
33,0,249967,33
34,0,249966,34
35,0,249965,35
36,0,249964,36
37,1,249963,37
38,0,249962,38
39,0,249961,39
40,0,249960,40
41,0,249959,41
42,0,249958,42
43,12,249957,43
44,0,249956,44
45,0,249955,45
46,0,249954,46
47,0,249953,47
48,0,249952,48
49,0,249951,49
50,6,249950,50
51,0,249949,51
52,0,249948,52
53,0,249947,53
54,0,249946,54
55,0,249945,55
56,0,249944,56
57,0,249943,57
58,0,249942,58
59,0,249941,59
60,0,249940,60
61,0,249939,61
62,26,249938,62
63,0,249937,63
64,0,249936,64
65,1,249935,65
66,0,249934,66
67,0,249933,67
68,0,249932,68
69,4,249931,69
70,0,249930,70
71,0,249929,71
72,0,249928,72
73,6,249927,73
74,0,249926,74
75,4,249925,75
76,1,249924,76
77,0,249923,77
78,0,249922,78
79,5,249921,79
80,0,249920,80
81,0,249919,81
82,0,249918,82
83,0,249917,83
84,0,249916,84
85,0,249915,85
86,0,249914,86
87,0,249913,87
88,0,249912,88
89,0,249911,89
90,0,249910,90
91,0,249909,91
92,0,249908,92
93,4,249907,93
94,0,249906,94
95,6,249905,94
96,0,249904,93
97,0,249903,92
98,0,249902,91
99,0,249901,90
100,0,249900,89
101,0,249899,88
102,0,249898,87
103,0,249897,86
104,0,249896,85
105,0,249895,84
106,0,249894,83
107,0,249893,82
108,0,249892,81
109,0,249891,80
110,0,249890,79
111,0,249889,78
112,3,249888,77
113,5,249887,76
114,0,249886,75
115,0,249885,74
116,0,249884,73
117,0,249883,72
118,0,249882,71
119,0,249881,70
120,0,249880,69
121,0,249879,68
122,0,249878,67
123,0,249877,66
124,0,249876,65
125,0,249875,64
126,0,249874,63
127,0,249873,62
128,0,249872,61
129,0,249871,60
130,0,249870,59
131,0,249869,58
132,1,249868,57
133,0,249867,56
134,1,249866,55
135,0,249865,54
136,0,249864,53
137,0,249863,52
138,0,249862,51
139,0,249861,50
140,9,249860,49
141,0,249859,48
142,0,249858,47
143,12,249857,46
144,0,249856,45
145,2,249855,44
146,0,249854,43
147,0,249853,42
148,26,249852,41
149,9,249851,40
150,1,249850,39
151,0,249849,38
152,0,249848,37
153,0,249847,36
154,0,249846,35
155,0,249845,34
156,0,249844,33
157,0,249843,32
158,0,249842,31
159,0,249841,30
160,0,249840,29
161,0,249839,28
162,0,249838,27
163,0,249837,26
164,0,249836,25
165,0,249835,24
166,0,249834,23
167,0,249833,22
168,0,249832,21
169,0,249831,20
170,5,249830,19
171,0,249829,18
172,0,249828,17
173,0,249827,16
174,0,249826,15
175,0,249825,14
176,0,249824,13
177,0,249823,12
178,0,249822,11
179,0,249821,10
180,0,249820,9
181,0,249819,8
182,0,249818,7
183,0,249817,6
184,0,249816,5
185,0,249815,4
186,0,249814,3
187,6,249813,2
188,0,249812,1
189,0,249811,0
190,0,249810,1
191,0,249809,2
192,0,249808,3
193,0,249807,4
194,21,249806,5
195,0,249805,6
196,0,249804,7
197,0,249803,8
198,0,249802,9
199,0,249801,10
200,0,249800,11
201,0,249799,12
202,0,249798,13
203,4,249797,14
204,0,249796,15
205,0,249795,16
206,0,249794,17
207,0,249793,18
208,0,249792,19
209,0,249791,20
210,0,249790,21
211,0,249789,22
212,0,249788,23
213,0,249787,24
214,0,249786,25
215,0,249785,26
216,0,249784,27
217,0,249783,28
218,0,249782,29
219,0,249781,30
220,0,249780,31
221,0,249779,32
222,0,249778,33
223,0,249777,34
224,0,249776,35
225,8,249775,36
226,0,249774,37
227,0,249773,38
228,0,249772,39
229,0,249771,40
230,0,249770,41
231,0,249769,42
