Nucleosome_Distance_Bin,NonZero_Density
0,0.09842651489789087
1,0.10932529717060104
2,0.09961493386907752
3,0.10296333500753391
4,0.09944751381215469
5,0.10882303699983258
6,0.10698141637368157
7,0.11016239745521514
8,0.0960991126736983
9,0.1141804788213628
10,0.10128913443830571
11,0.10748367654445003
12,0.10580947597522183
13,0.10714883643060438
14,0.10262849489368826
15,0.10915787711367822
16,0.11133433785367487
17,0.10329817512137954
18,0.10833891493636973
19,0.11003182046558366
20,0.10082063305978899
21,0.10718472617651985
22,0.10651482163791659
23,0.10902696365767878
24,0.1018596079745351
25,0.10856089797285978
26,0.10418760469011726
27,0.10921273031825796
28,0.1058803819735299
29,0.10744217230975528
30,0.10915492957746478
31,0.1141851106639839
32,0.10919154646091915
33,0.11006711409395974
34,0.10557233971131252
35,0.11956339210747272
36,0.11053250461951956
37,0.1148092116322071
38,0.11023224503534164
39,0.11472371967654986
40,0.12221847606203641
41,0.12084388185654009
42,0.12352145995268672
43,0.12597358618354215
44,0.1213353668869683
45,0.12353440951571792
46,0.12250809337195434
47,0.12403763900769889
48,0.12654320987654322
49,0.1236457437661221
50,0.1252375194334082
51,0.12755632582322357
52,0.1270891364902507
53,0.12799440461619163
54,0.1281057268722467
55,0.1298264257881686
56,0.13239736982406256
57,0.13746871648194495
58,0.1359293311700018
59,0.13263081395348839
60,0.13605566746017214
61,0.1364810033198082
62,0.13976891539321654
63,0.14377601210745364
64,0.14261036468330135
65,0.13697560975609757
66,0.1476350682762715
67,0.13386934673366835
68,0.14344094809971394
69,0.14636174636174637
70,0.14049586776859505
71,0.14620390455531454
72,0.14352159468438538
73,0.15612961704056197
74,0.14735369550011657
75,0.1621945376137997
76,0.15566502463054188
77,0.16197004315816196
78,0.1643007360672976
79,0.15757906215921483
80,0.15317348377997178
81,0.15758640890451084
82,0.1660018410555385
83,0.17696
84,0.16950852557673018
85,0.1787709497206704
86,0.17572001458257383
87,0.19256102285935683
88,0.1887024150634466
89,0.1995698924731183
90,0.18592057761732853
91,0.20133907221425154
92,0.1939918533604888
93,0.18967391304347825
94,0.20255368543238536
95,0.2270168855534709
96,0.21906693711967545
97,0.24175824175824176
98,0.22818254603682947
99,0.2297650130548303
100,0.23180076628352492
101,0.2083780880773362
102,0.2044653349001175
103,0.21681997371879105
104,0.2225392296718973
105,0.19254658385093168
106,0.25
107,0.23224568138195778
108,0.2217391304347826
109,0.18592964824120603
110,0.26229508196721313
111,0.21806853582554517
112,0.1888111888111888
113,0.2727272727272727
114,0.2822966507177033
115,0.24725274725274726
116,0.22580645161290322
117,0.21739130434782608
118,0.2564102564102564
119,0.2653061224489796
120,0.1927710843373494
121,0.2
122,0.2857142857142857
123,0.22916666666666666
124,0.275
125,0.23529411764705882
126,0.16666666666666666
127,0.10344827586206896
128,0.25925925925925924
129,0.36363636363636365
130,0.3333333333333333
131,0.375
132,0.2857142857142857
133,0.14285714285714285
134,0.36363636363636365
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
