Position,Value,Centromere_distance,Nucleosome_distance
0,0,250000,0
1,20,249999,1
2,0,249998,2
3,0,249997,3
4,0,249996,4
5,0,249995,5
6,0,249994,6
7,0,249993,7
8,0,249992,8
9,0,249991,9
10,0,249990,10
11,0,249989,11
12,0,249988,12
13,0,249987,13
14,0,249986,14
15,0,249985,15
16,0,249984,16
17,0,249983,17
18,6,249982,18
19,0,249981,19
20,0,249980,20
21,0,249979,21
22,0,249978,22
23,4,249977,23
24,0,249976,24
25,0,249975,25
26,0,249974,26
27,0,249973,27
28,0,249972,28
29,0,249971,29
30,0,249970,30
31,0,249969,31
32,0,249968,32
33,0,249967,33
34,0,249966,34
35,0,249965,35
36,0,249964,36
37,0,249963,37
38,0,249962,38
39,0,249961,39
40,0,249960,40
41,0,249959,41
42,0,249958,42
43,0,249957,43
44,0,249956,44
45,0,249955,45
46,0,249954,46
47,0,249953,47
48,0,249952,48
49,0,249951,49
50,0,249950,50
51,0,249949,51
52,0,249948,52
53,0,249947,53
54,0,249946,54
55,0,249945,55
56,0,249944,56
57,0,249943,57
58,0,249942,58
59,3,249941,59
60,0,249940,60
61,7,249939,61
62,10,249938,62
63,1,249937,63
64,0,249936,64
65,0,249935,65
66,0,249934,66
67,5,249933,67
68,12,249932,68
69,3,249931,69
70,0,249930,70
71,0,249929,71
72,2,249928,72
73,0,249927,73
74,0,249926,74
75,0,249925,75
76,0,249924,76
77,0,249923,77
78,0,249922,78
79,0,249921,79
80,0,249920,80
81,0,249919,81
82,0,249918,82
83,27,249917,83
84,2,249916,84
85,0,249915,85
86,3,249914,86
87,0,249913,87
88,0,249912,88
89,0,249911,89
90,14,249910,90
91,0,249909,91
92,0,249908,92
93,0,249907,93
94,0,249906,94
95,0,249905,95
96,0,249904,96
97,0,249903,97
98,0,249902,98
99,0,249901,99
100,10,249900,100
101,0,249899,101
102,0,249898,102
103,0,249897,103
104,3,249896,104
105,0,249895,105
106,0,249894,106
107,0,249893,107
108,5,249892,108
109,0,249891,109
110,11,249890,110
111,8,249889,111
112,0,249888,112
113,0,249887,113
114,0,249886,114
115,20,249885,115
116,0,249884,114
117,0,249883,113
118,0,249882,112
119,1,249881,111
120,0,249880,110
121,0,249879,109
122,0,249878,108
123,1,249877,107
124,0,249876,106
125,0,249875,105
126,0,249874,104
127,0,249873,103
128,0,249872,102
129,0,249871,101
130,0,249870,100
131,0,249869,99
132,0,249868,98
133,0,249867,97
134,0,249866,96
135,0,249865,95
136,0,249864,94
137,0,249863,93
138,0,249862,92
139,0,249861,91
140,0,249860,90
141,0,249859,89
142,11,249858,88
143,22,249857,87
144,12,249856,86
145,0,249855,85
146,0,249854,84
147,0,249853,83
148,0,249852,82
149,11,249851,81
150,0,249850,80
151,0,249849,79
152,0,249848,78
153,0,249847,77
154,0,249846,76
155,0,249845,75
156,0,249844,74
157,0,249843,73
158,5,249842,72
159,26,249841,71
160,0,249840,70
161,0,249839,69
162,0,249838,68
163,0,249837,67
164,0,249836,66
165,0,249835,65
166,0,249834,64
167,0,249833,63
168,0,249832,62
169,0,249831,61
170,4,249830,60
171,0,249829,59
172,0,249828,58
173,0,249827,57
174,0,249826,56
175,3,249825,55
176,0,249824,54
177,0,249823,53
178,0,249822,52
179,0,249821,51
180,17,249820,50
181,0,249819,49
182,0,249818,48
183,0,249817,47
184,0,249816,46
185,0,249815,45
186,0,249814,44
187,0,249813,43
188,0,249812,42
189,0,249811,41
190,0,249810,40
191,0,249809,39
192,0,249808,38
193,0,249807,37
194,0,249806,36
195,0,249805,35
196,0,249804,34
197,0,249803,33
198,0,249802,32
199,0,249801,31
200,0,249800,30
201,0,249799,29
202,0,249798,28
203,0,249797,27
204,0,249796,26
205,0,249795,25
206,0,249794,24
207,0,249793,23
208,0,249792,22
209,0,249791,21
210,0,249790,20
211,0,249789,19
212,0,249788,18
213,0,249787,17
214,0,249786,16
215,0,249785,15
216,0,249784,14
217,0,249783,13
218,0,249782,12
219,0,249781,11
220,0,249780,10
221,0,249779,9
222,0,249778,8
223,0,249777,7
224,0,249776,6
225,3,249775,5
226,0,249774,4
227,0,249773,3
228,0,249772,2
229,0,249771,1
230,0,249770,0
231,0,249769,1
232,0,249768,2
233,0,249767,3
234,0,249766,4
235,0,249765,5
236,0,249764,6
237,0,249763,7
238,0,249762,8
239,0,249761,9
240,1,249760,10
241,0,249759,11
242,0,249758,12
243,0,249757,13
244,0,249756,14
245,0,249755,15
246,0,249754,16
247,0,249753,17
248,0,249752,18
249,0,249751,19
250,0,249750,20
251,0,249749,21
252,0,249748,22
253,0,249747,23
254,0,249746,24
255,0,249745,25
256,0,249744,26
257,9,249743,27
258,0,249742,28
259,0,249741,29
260,0,249740,30
261,0,249739,31
262,0,249738,32
263,0,249737,33
264,0,249736,34
265,0,249735,35
266,0,249734,36
267,0,249733,37
268,0,249732,38
269,0,249731,39
270,0,249730,40
271,0,249729,41
272,0,249728,42
273,0,249727,43
274,32,249726,44
275,0,249725,45
276,0,249724,46
277,0,249723,47
278,0,249722,48
279,0,249721,49
280,0,249720,50
281,0,249719,51
282,0,249718,52
283,0,249717,53
284,0,249716,54
285,0,249715,55
286,0,249714,56
287,0,249713,57
288,0,249712,58
289,0,249711,59
290,0,249710,60
291,0,249709,61
292,15,249708,62
293,0,249707,63
294,0,249706,64
295,0,249705,65
296,0,249704,66
297,0,249703,67
298,0,249702,68
299,12,249701,69
300,0,249700,70
301,0,249699,71
302,0,249698,72
303,5,249697,73
304,0,249696,74
305,0,249695,75
306,0,249694,76
307,0,249693,77
308,0,249692,78
309,0,249691,79
310,0,249690,80
311,0,249689,81
312,0,249688,82
313,0,249687,83
314,0,249686,84
315,0,249685,85
316,0,249684,86
317,0,249683,87
318,0,249682,88
319,0,249681,89
320,0,249680,90
321,0,249679,91
322,0,249678,92
323,14,249677,93
324,1,249676,94
325,2,249675,95
326,4,249674,96
327,0,249673,97
328,0,249672,98
329,2,249671,99
330,0,249670,100
331,0,249669,100
332,0,249668,99
333,0,249667,98
334,0,249666,97
335,0,249665,96
336,2,249664,95
337,0,249663,94
338,0,249662,93
339,0,249661,92
340,0,249660,91
341,0,249659,90
342,0,249658,89
343,0,249657,88
344,0,249656,87
345,2,249655,86
346,0,249654,85
347,0,249653,84
348,0,249652,83
349,0,249651,82
350,0,249650,81
351,0,249649,80
352,0,249648,79
353,0,249647,78
354,0,249646,77
355,0,249645,76
356,0,249644,75
357,0,249643,74
358,0,249642,73
359,0,249641,72
360,16,249640,71
361,3,249639,70
362,0,249638,69
363,0,249637,68
364,0,249636,67
365,1,249635,66
366,0,249634,65
367,0,249633,64
368,0,249632,63
369,0,249631,62
370,0,249630,61
371,19,249629,60
372,0,249628,59
373,0,249627,58
374,0,249626,57
375,0,249625,56
376,0,249624,55
377,3,249623,54
378,0,249622,53
379,0,249621,52
380,0,249620,51
381,0,249619,50
382,0,249618,49
383,0,249617,48
384,0,249616,47
385,0,249615,46
386,0,249614,45
387,0,249613,44
388,0,249612,43
389,0,249611,42
390,0,249610,41
391,0,249609,40
392,0,249608,39
393,0,249607,38
394,0,249606,37
395,1,249605,36
396,0,249604,35
397,0,249603,34
398,0,249602,33
399,0,249601,32
400,0,249600,31
401,0,249599,30
402,0,249598,29
403,4,249597,28
404,0,249596,27
405,0,249595,26
406,0,249594,25
407,0,249593,24
408,0,249592,23
409,0,249591,22
410,0,249590,21
411,0,249589,20
412,0,249588,19
413,0,249587,18
414,0,249586,17
415,0,249585,16
416,0,249584,15
417,0,249583,14
418,0,249582,13
419,0,249581,12
420,1,249580,11
421,0,249579,10
422,0,249578,9
423,0,249577,8
424,0,249576,7
425,0,249575,6
426,0,249574,5
427,0,249573,4
428,0,249572,3
429,0,249571,2
430,0,249570,1
431,0,249569,0
432,0,249568,1
433,0,249567,2
434,0,249566,3
435,0,249565,4
436,0,249564,5
437,0,249563,6
438,0,249562,7
439,0,249561,8
440,0,249560,9
441,0,249559,10
442,0,249558,11
443,6,249557,12
444,0,249556,13
445,0,249555,14
446,0,249554,15
447,0,249553,16
448,0,249552,17
449,0,249551,18
450,0,249550,19
451,0,249549,20
452,0,249548,21
453,0,249547,22
454,0,249546,23
455,0,249545,24
456,0,249544,25
457,2,249543,26
458,0,249542,27
459,0,249541,28
460,0,249540,29
461,6,249539,30
462,0,249538,31
463,0,249537,32
464,0,249536,33
465,0,249535,34
466,0,249534,35
467,0,249533,36
468,0,249532,37
469,0,249531,38
470,0,249530,39
471,0,249529,40
472,0,249528,41
473,0,249527,42
474,0,249526,43
475,0,249525,44
476,0,249524,45
477,0,249523,46
478,0,249522,47
479,0,249521,48
480,0,249520,49
481,0,249519,50
482,0,249518,51
483,0,249517,52
484,0,249516,53
485,0,249515,54
486,0,249514,55
487,0,249513,56
488,0,249512,57
489,0,249511,58
490,0,249510,59
491,0,249509,60
492,0,249508,61
493,7,249507,62
494,14,249506,63
495,0,249505,64
496,0,249504,65
497,0,249503,66
498,0,249502,67
499,5,249501,68
500,0,249500,69
501,0,249499,70
502,0,249498,71
503,0,249497,72
504,0,249496,73
505,0,249495,74
506,0,249494,75
507,0,249493,76
508,0,249492,76
509,0,249491,75
510,7,249490,74
511,0,249489,73
512,0,249488,72
513,0,249487,71
514,0,249486,70
515,0,249485,69
516,0,249484,68
517,0,249483,67
518,5,249482,66
519,0,249481,65
520,0,249480,64
521,0,249479,63
522,0,249478,62
523,0,249477,61
524,0,249476,60
525,0,249475,59
526,24,249474,58
527,0,249473,57
528,0,249472,56
529,0,249471,55
530,0,249470,54
531,0,249469,53
532,1,249468,52
533,41,249467,51
534,0,249466,50
535,0,249465,49
536,0,249464,48
537,0,249463,47
538,0,249462,46
539,2,249461,45
540,0,249460,44
541,4,249459,43
542,0,249458,42
543,0,249457,41
544,0,249456,40
545,0,249455,39
546,0,249454,38
547,0,249453,37
548,0,249452,36
549,0,249451,35
550,0,249450,34
551,0,249449,33
552,4,249448,32
553,0,249447,31
554,34,249446,30
555,0,249445,29
556,0,249444,28
557,0,249443,27
558,0,249442,26
559,0,249441,25
560,0,249440,24
561,0,249439,23
562,0,249438,22
563,0,249437,21
564,0,249436,20
565,0,249435,19
566,0,249434,18
567,0,249433,17
568,0,249432,16
569,0,249431,15
570,0,249430,14
571,0,249429,13
572,4,249428,12
573,0,249427,11
574,0,249426,10
575,0,249425,9
576,0,249424,8
577,0,249423,7
578,0,249422,6
579,0,249421,5
580,0,249420,4
581,0,249419,3
582,0,249418,2
583,0,249417,1
584,0,249416,0
585,0,249415,1
586,0,249414,2
587,0,249413,3
588,0,249412,4
589,0,249411,5
590,0,249410,6
591,0,249409,7
592,0,249408,8
593,0,249407,9
594,0,249406,10
595,0,249405,11
596,0,249404,12
597,0,249403,13
598,0,249402,14
599,0,249401,15
600,0,249400,16
601,0,249399,17
602,0,249398,18
603,0,249397,19
604,0,249396,20
605,0,249395,21
606,5,249394,22
607,0,249393,23
608,0,249392,24
609,0,249391,25
610,0,249390,26
611,0,249389,27
612,0,249388,28
613,0,249387,29
614,0,249386,30
615,0,249385,31
616,0,249384,32
617,0,249383,33
618,0,249382,34
619,0,249381,35
620,0,249380,36
