distance,mean_of_medians,sd_of_medians,n_datasets,se_of_medians
0,3.7910762570172225,3.174745608472998,560,0.13415748793408136
1,3.6999950129728982,3.017845957816215,560,0.12752726756818147
2,3.689010715362647,3.010263555728421,560,0.1272068525989034
3,3.740544382411014,3.006155011459352,560,0.12703323491541618
4,3.7580653056761224,3.043268593252469,560,0.12860156999344957
5,3.7183399969041138,3.038213231936919,560,0.12838794198719822
6,3.6881943044694836,3.0552612124048686,560,0.12910835064854903
7,3.6879827439868103,3.0098259821831825,560,0.12718836174172765
8,3.756238433623782,3.171692117610878,560,0.1340284543943866
9,3.779805070436136,2.998757540780773,560,0.12672063472450465
10,3.7244910912808207,2.9615733686397303,560,0.12514931665982668
11,3.690345268194128,2.9796224432380365,560,0.1259120292693602
12,3.7476171253137895,3.067470380098412,560,0.12962428214969363
13,3.6986927693077476,2.9756063977742593,560,0.1257423203738155
14,3.696074126820549,2.968939645319564,560,0.1254605986637001
15,3.6600638893320228,3.0572121325545574,560,0.12919079207180628
16,3.7356643243181833,3.0784903605604437,560,0.1300899613184192
17,3.6556685598592367,2.9104525694236516,560,0.12298906861169713
18,3.735559291420846,3.070514236602439,560,0.1297529085634517
19,3.7864317572560418,3.162809319653168,560,0.133653087669994
20,3.7558927169049094,3.1209363450940963,560,0.13188363153965707
21,3.7243211572080406,3.093084351436397,560,0.13070666999253325
22,3.6818635741575902,2.952303270567084,560,0.12475758351843429
23,3.7544097651055797,3.064183603991806,560,0.12948539050915173
24,3.7953370929726704,3.0807739786506447,560,0.1301864617956746
25,3.738850729308335,3.0505166202806575,560,0.12890785503751262
26,3.8066167956066823,3.1740024571702694,560,0.13412608405981097
27,3.781880483185411,3.0904069350917487,560,0.13059352850176528
28,3.828922974928532,3.152442971554589,560,0.13321502950991845
29,3.7393623670461418,2.8874546053594066,560,0.12201722725274762
30,3.8697476083808566,3.013685112895156,560,0.12735143977876653
31,3.9403681749090285,3.183871832910175,560,0.13454314130471573
32,3.9751461646282262,3.2956155881325646,560,0.13926517681299297
33,3.889247201513292,3.0966183366888345,560,0.13085600812614553
34,3.951546270712021,3.164169787467185,560,0.13371057792806587
35,3.999152655100803,3.0636570642951355,560,0.12946314014590551
36,3.9935872867022235,3.08246535298355,560,0.1302579354063643
37,4.0659688359327255,3.2691766675776606,560,0.13814792850312266
38,4.085367677863138,3.1651436697310777,560,0.13375173196501255
39,4.190445562587309,3.3133499653903695,560,0.14001459103271272
40,4.130621835178635,3.0661085939298194,560,0.1295667361809728
41,4.257253558730232,3.1709291628444474,560,0.1339962136710359
42,4.320712278595641,3.250322209453677,560,0.13735118222791837
43,4.37838130970172,3.2404722781589133,560,0.13693494666079073
44,4.340410051025311,3.2371706688526474,560,0.13679542820315863
45,4.389893617978103,3.2885688563184026,560,0.13896739804425948
46,4.416126052731362,3.370606801617015,560,0.14243413397017485
47,4.458230670477036,3.3982475729507162,560,0.14360216974500764
48,4.487397065346387,3.4057679058969774,560,0.14391996181433303
49,4.522533486691715,3.234461184247653,560,0.136680931581057
50,4.635712306998264,3.378410181809135,560,0.1427638869687066
51,4.6346780799448615,3.3436650700807062,560,0.14129563801829162
52,4.696685590308268,3.406985776153309,560,0.1439714262257753
