dataset_id,window_size,tolerance_type,tolerance_value,auc
4,10,full_window,10,0.07930261527280288
4,20,full_window,20,0.2531787772858132
4,30,full_window,30,0.41733779541299865
4,50,full_window,50,0.594275184599236
4,80,full_window,80,0.7010440526182059
4,100,full_window,100,0.7286149188207393
4,150,full_window,150,0.7392393782980161
4,200,full_window,200,0.6759020656442274
4,10,half_window,5,0.042673178757553276
4,20,half_window,10,0.1603284023159646
4,30,half_window,15,0.26760219699715093
4,50,half_window,25,0.42167409216077995
4,80,half_window,40,0.5319223890714913
4,100,half_window,50,0.5783265257642991
4,150,half_window,75,0.5716075116489713
4,200,half_window,100,0.5354981429228594
4,10,quarter_window,2,0.01204857757541509
4,20,quarter_window,5,0.06752192542003416
4,30,quarter_window,7,0.09327834141120908
4,50,quarter_window,12,0.16080258937470626
4,80,quarter_window,20,0.1991339859353952
4,100,quarter_window,25,0.22639635553541365
4,150,quarter_window,37,0.19617086512527743
4,200,quarter_window,50,0.19532318407419624
