dataset,Bin_Center,mean_density,sd_density,n_datasets,se_density
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,0.0,0.13695625,0.033223244247564586,16,0.008305811061891146
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,10000.0,0.137575,0.03869761182928893,32,0.00684083593505374
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,20000.0,0.11278125,0.03051205406963594,32,0.005393820085142542
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,30000.0,0.107621875,0.03322777437505189,32,0.005873896146083947
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,40000.0,0.115234375,0.048218572311152126,32,0.008523919865087392
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,50000.0,0.09029375,0.026673896113447088,32,0.0047153232056209825
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,60000.0,0.090546875,0.027009436634974626,32,0.004774638950154731
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,70000.0,0.10255625,0.041825435520166585,32,0.007393762270597622
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,80000.0,0.094109375,0.03814379719053811,32,0.0067429344134084706
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,90000.0,0.079684375,0.03480052937468142,32,0.006151922577429719
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,100000.0,0.084475,0.03560167629253866,32,0.006293546682015608
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,110000.0,0.08729375,0.045580378754672,32,0.008057548726619953
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,120000.0,0.067628125,0.03456911015655637,32,0.006111013052821441
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,130000.0,0.06563125,0.03427039009256787,32,0.006058206307090754
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,140000.0,0.07420625,0.04619735320933859,32,0.008166615431798358
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,150000.0,0.065484375,0.03913704712495938,32,0.006918517854419062
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,160000.0,0.043059375,0.03387864356669781,32,0.005988954650853506
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,170000.0,0.05096333333333333,0.035759806789315784,30,0.0065288176101782145
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,180000.0,0.056575,0.034144048068712046,28,0.0064526185673462345
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,190000.0,0.056575,0.03485140546610657,28,0.006586296550313936
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,200000.0,0.05543928571428571,0.04236983849728146,28,0.008007146839555527
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,210000.0,0.057825,0.044548888043652965,28,0.008418948496283178
FD7_5_FDDP210435825-2a_HWYKKDSX2_L2_trimmed_forward_notrimmed.sorted.bam,220000.0,0.05507142857142857,0.03512448610029083,28,0.006637903939308175
