dataset_id,window_size,tolerance_type,tolerance_value,auc
3,10,full_window,10,0.07473177027772232
3,20,full_window,20,0.24912177122183116
3,30,full_window,30,0.44946545315296604
3,50,full_window,50,0.6269576737768977
3,80,full_window,80,0.722506103439298
3,100,full_window,100,0.7393070478053754
3,150,full_window,150,0.724708772769084
3,200,full_window,200,0.6543789238236017
3,10,half_window,5,0.03776578819081547
3,20,half_window,10,0.15979774532209898
3,30,half_window,15,0.30866539564887735
3,50,half_window,25,0.4556301818059575
3,80,half_window,40,0.5536860977790714
3,100,half_window,50,0.5727315990311375
3,150,half_window,75,0.5680823898666907
3,200,half_window,100,0.5234878886456058
3,10,quarter_window,2,0.010735359524956013
3,20,quarter_window,5,0.05930683768539401
3,30,quarter_window,7,0.13189039045558698
3,50,quarter_window,12,0.16542970443541913
3,80,quarter_window,20,0.21555713054373
3,100,quarter_window,25,0.20139183831915997
3,150,quarter_window,37,0.21284969072835194
3,200,quarter_window,50,0.19114992775762676
