window_size,threshold,tolerance_type,tolerance_value,precision,recall,F1,tpr,fpr,num_detected,num_true,annotation_error,hausdorff_distance,rand_index,adjusted_rand_index
10,0.5,full_window,10,0.050401032677273847,0.9794897448724362,0.09586899060466138,0.9794897448724362,0.06814695302581464,68947,1999,66948,830.0,0.9993747057105002,0.055713771319159305
10,0.5,half_window,5,0.03507041640680523,0.9074537268634317,0.06753095991915227,0.9074537268634317,0.06693233685411137,68947,1999,66948,830.0,0.9993747057105002,0.055713771319159305
10,0.5,quarter_window,2,0.01773826272354127,0.6118059029514757,0.0344769261128182,0.6118059029514757,0.06672367861027476,68947,1999,66948,830.0,0.9993747057105002,0.055713771319159305
10,0.71,full_window,10,0.05693050910442215,0.9539769884942472,0.10744879379743645,0.9539769884942472,0.05281035352713304,53820,1999,51821,830.0,0.9993827818704111,0.07944131162529879
10,0.71,half_window,5,0.0409884801189149,0.8639319659829915,0.07826380399366314,0.8639319659829915,0.05193729199858823,53820,1999,51821,830.0,0.9993827818704111,0.07944131162529879
10,0.71,quarter_window,2,0.02092159048680788,0.5632816408204102,0.04034468550135259,0.5632816408204102,0.05191568012358718,53820,1999,51821,830.0,0.9993827818704111,0.07944131162529879
10,0.93,full_window,10,0.06585595822353311,0.9179589794897449,0.12289520292242627,0.9179589794897449,0.040211269898108665,41363,1999,39364,820.0,0.9993949712370628,0.11439342418347234
10,0.93,half_window,5,0.04883591615695187,0.8164082041020511,0.09215906048212308,0.8164082041020511,0.039612242496994014,41363,1999,39364,820.0,0.9993949712370628,0.11439342418347234
10,0.93,quarter_window,2,0.025336653530933444,0.5242621310655328,0.04833725381670588,0.5242621310655328,0.03971952488295474,41363,1999,39364,820.0,0.9993949712370628,0.11439342418347234
10,1.14,full_window,10,0.0859319030202481,0.8574287143571786,0.15620851617433684,0.8574287143571786,0.025235806829649404,26521,1999,24522,820.0,0.9994363364765874,0.22611239425952234
10,1.14,half_window,5,0.06681497681082915,0.7553776888444222,0.12277059835685834,0.7553776888444222,0.024936241149035192,26521,1999,24522,820.0,0.9994363364765874,0.22611239425952234
10,1.14,quarter_window,2,0.035368198785867805,0.46923461730865434,0.06577840112201963,0.46923461730865434,0.02520512476945631,26521,1999,24522,820.0,0.9994363364765874,0.22611239425952234
10,1.36,full_window,10,0.10920357000739014,0.7823911955977989,0.19165637798161758,0.7823911955977989,0.01630403821738989,17591,1999,15592,820.0,0.999470433782131,0.3112405972705857
10,1.36,half_window,5,0.08782900346768234,0.6868434217108554,0.1557426631089768,0.6868434217108554,0.016169523767744304,17591,1999,15592,820.0,0.999470433782131,0.3112405972705857
10,1.36,quarter_window,2,0.04752430219998863,0.4182091045522761,0.08534966819806024,0.4182091045522761,0.016507519271087852,17591,1999,15592,820.0,0.999470433782131,0.3112405972705857
10,1.57,full_window,10,0.13992088063295494,0.7008504252126063,0.23327058857962932,0.7008504252126063,0.010403781047560142,11628,1999,9629,820.0,0.9995094239175693,0.40418548651415165
10,1.57,half_window,5,0.11575507395940833,0.6188094047023511,0.19502802133475142,0.6188094047023511,0.010359940897190223,11628,1999,9629,820.0,0.9995094239175693,0.40418548651415165
10,1.57,quarter_window,2,0.06355349157206742,0.3696848424212106,0.10846114331841199,0.3696848424212106,0.010728163374686697,11628,1999,9629,820.0,0.9995094239175693,0.40418548651415165
10,1.79,full_window,10,0.1805993690851735,0.6198099049524762,0.2797001019803107,0.6198099049524762,0.006479092743904424,7608,1999,5609,800.0,0.9995607688112854,0.5317267891728229
10,1.79,half_window,5,0.15168243953732913,0.544272136068034,0.2372468786463033,0.544272136068034,0.0065005114666230645,7608,1999,5609,800.0,0.9995607688112854,0.5317267891728229
10,1.79,quarter_window,2,0.08385909568874869,0.31915957978989495,0.13281981888206515,0.31915957978989495,0.006867049198417328,7608,1999,5609,800.0,0.9995607688112854,0.5317267891728229
10,10.0,full_window,10,1.0,0.007503751875937969,0.014895729890764648,0.007503751875937969,0.0,15,1999,1984,90766.0,0.8971943999159817,0.012369966809483716
