window_size,threshold,tolerance_type,tolerance_value,precision,recall,F1,num_detected,num_true
10,2.0,full_window,10,0.22043865225683407,0.6153076538269134,0.3245903426567526,6292,1999
10,2.0,half_window,5,0.1953273998728544,0.5587793896948474,0.2894680880786215,6292,1999
10,2.0,quarter_window,2,0.10632549268912905,0.33466733366683343,0.1613798094319141,6292,1999
10,2.21,full_window,10,0.26723385689354273,0.5597798899449725,0.36176457664287803,4584,1999
10,2.21,half_window,5,0.2395287958115183,0.5092546273136568,0.3258115601244874,4584,1999
10,2.21,quarter_window,2,0.13328970331588133,0.3056528264132066,0.18562965213428528,4584,1999
10,2.63,full_window,10,0.38421249532360646,0.4822411205602801,0.4276814381785606,2673,1999
10,2.63,half_window,5,0.35166479610924056,0.44372186093046523,0.39236604328788793,2673,1999
10,2.63,quarter_window,2,0.19640852974186307,0.26263131565782893,0.2247431506849315,2673,1999
10,2.84,full_window,10,0.4412878787878788,0.44222111055527763,0.4417540017951377,2112,1999
10,2.84,half_window,5,0.4043560606060606,0.40670335167583793,0.4055263094875828,2112,1999
10,2.84,quarter_window,2,0.22774621212121213,0.24062031015507754,0.23400632449525663,2112,1999
10,3.05,full_window,10,0.5005924170616114,0.4102051025512756,0.45091375273930595,1688,1999
10,3.05,half_window,5,0.46149289099526064,0.3796898449224612,0.4166137908753941,1688,1999
10,3.05,quarter_window,2,0.26244075829383884,0.22161080540270134,0.24030377000271222,1688,1999
10,3.26,full_window,10,0.5663976522377109,0.3781890945472736,0.4535431308613117,1363,1999
10,3.26,half_window,5,0.524578136463683,0.35117558779389696,0.4207096819888094,1363,1999
10,3.26,quarter_window,2,0.30300807043286865,0.2066033016508254,0.24568709101725159,1363,1999
10,3.47,full_window,10,0.6197916666666666,0.35167583791895946,0.4487350378295164,1152,1999
10,3.47,half_window,5,0.5763888888888888,0.327663831915958,0.41781145648005474,1152,1999
10,3.47,quarter_window,2,0.3342013888888889,0.19259629814907453,0.24436686766106,1152,1999
10,3.68,full_window,10,0.6632443531827515,0.3186593296648324,0.43048825395231277,974,1999
10,3.68,half_window,5,0.6201232032854209,0.2986493246623312,0.4031452187241807,974,1999
10,3.68,quarter_window,2,0.364476386036961,0.1775887943971986,0.2388160107635385,974,1999
10,3.89,full_window,10,0.6998827667057445,0.295647823911956,0.41569554752033255,853,1999
