Task 0: Training ZINBAE
Device: cuda
Loading training data from: Data/processed_data/BinSize10_MovingAvgFalse_ZINB_train_data.npy
Loading test data from: Data/processed_data/BinSize10_MovingAvgFalse_ZINB_test_data.npy
Number of training samples: 14824
============================================================
TRAINING ZINB AUTOENCODER (ZINBAE)
============================================================
Epoch [1/100], Loss: 2.0758
Epoch [2/100], Loss: 1.8993
Epoch [3/100], Loss: 1.8799
Epoch [4/100], Loss: 1.8721
Epoch [5/100], Loss: 1.8541
Epoch [6/100], Loss: 1.8413
Epoch [7/100], Loss: 1.8330
Epoch [8/100], Loss: 1.8163
Epoch [9/100], Loss: 1.8092
Epoch [10/100], Loss: 1.7987
Epoch [11/100], Loss: 1.7873
Epoch [12/100], Loss: 1.7770
Epoch [13/100], Loss: 1.7670
Epoch [14/100], Loss: 1.7567
Epoch [15/100], Loss: 1.7504
Epoch [16/100], Loss: 1.7414
Epoch [17/100], Loss: 1.7350
Epoch [18/100], Loss: 1.7309
Epoch [19/100], Loss: 1.7247
Epoch [20/100], Loss: 1.7167
Epoch [21/100], Loss: 1.7139
Epoch [22/100], Loss: 1.7090
Epoch [23/100], Loss: 1.7041
Epoch [24/100], Loss: 1.7010
Epoch [25/100], Loss: 1.6990
Epoch [26/100], Loss: 1.6947
Epoch [27/100], Loss: 1.6904
Epoch [28/100], Loss: 1.6896
Epoch [29/100], Loss: 1.6874
Epoch [30/100], Loss: 1.6847
Epoch [31/100], Loss: 1.6800
Epoch [32/100], Loss: 1.6770
Epoch [33/100], Loss: 1.6742
Epoch [34/100], Loss: 1.6726
Epoch [35/100], Loss: 1.6699
Epoch [36/100], Loss: 1.6704
Epoch [37/100], Loss: 1.6660
Epoch [38/100], Loss: 1.6651
Epoch [39/100], Loss: 1.6617
Epoch [40/100], Loss: 1.6597
Epoch [41/100], Loss: 1.6588
Epoch [42/100], Loss: 1.6566
Epoch [43/100], Loss: 1.6548
Epoch [44/100], Loss: 1.6534
Epoch [45/100], Loss: 1.6533
Epoch [46/100], Loss: 1.6524
Epoch [47/100], Loss: 1.6507
Epoch [48/100], Loss: 1.6479
Epoch [49/100], Loss: 1.6469
Epoch [50/100], Loss: 1.6464
Epoch [51/100], Loss: 1.6450
Epoch [52/100], Loss: 1.6431
Epoch [53/100], Loss: 1.6428
Epoch [54/100], Loss: 1.6416
Epoch [55/100], Loss: 1.6406
Epoch [56/100], Loss: 1.6400
Epoch [57/100], Loss: 1.6383
Epoch [58/100], Loss: 1.6381
Epoch [59/100], Loss: 1.6366
Epoch [60/100], Loss: 1.6358
Epoch [61/100], Loss: 1.6356
Epoch [62/100], Loss: 1.6343
Epoch [63/100], Loss: 1.6335
Epoch [64/100], Loss: 1.6324
Epoch [65/100], Loss: 1.6340
Epoch [66/100], Loss: 1.6311
Epoch [67/100], Loss: 1.6302
Epoch [68/100], Loss: 1.6292
Epoch [69/100], Loss: 1.6295
Epoch [70/100], Loss: 1.6278
Epoch [71/100], Loss: 1.6274
Epoch [72/100], Loss: 1.6270
Epoch [73/100], Loss: 1.6280
Epoch [74/100], Loss: 1.6263
Epoch [75/100], Loss: 1.6255
Epoch [76/100], Loss: 1.6244
Epoch [77/100], Loss: 1.6237
Epoch [78/100], Loss: 1.6319
Epoch [79/100], Loss: 1.6249
Epoch [80/100], Loss: 1.6232
Epoch [81/100], Loss: 1.6238
Epoch [82/100], Loss: 1.6214
Epoch [83/100], Loss: 1.6199
Epoch [84/100], Loss: 1.6194
Epoch [85/100], Loss: 1.6191
Epoch [86/100], Loss: 1.6193
Epoch [87/100], Loss: 1.6189
Epoch [88/100], Loss: 1.6193
Epoch [89/100], Loss: 1.6184
Epoch [90/100], Loss: 1.6175
Epoch [91/100], Loss: 1.6246
Epoch [92/100], Loss: 1.6311
Epoch [93/100], Loss: 1.6209
Epoch [94/100], Loss: 1.6157
Epoch [95/100], Loss: 1.6144
Epoch [96/100], Loss: 1.6141
Epoch [97/100], Loss: 1.6142
Epoch [98/100], Loss: 1.6141
Epoch [99/100], Loss: 1.6140
Epoch [100/100], Loss: 1.6141
Training loss plot saved to /workspace/AE/results/training/trial2/trial2_ZINBAE_20260116_120240_conv_training_loss.png
Training losses saved to /workspace/AE/results/training/trial2/trial2_ZINBAE_20260116_120240_conv_training_losses.json

==================================================
EVALUATING ON TRAINING DATA
==================================================
