Running sliding ZINB CPD on dataset: noisy_data
Input file: Signal_processing/sample_data/noisy_data.csv
[ 0.5         1.34482759  2.18965517  3.03448276  3.87931034  4.72413793
  5.56896552  6.4137931   7.25862069  8.10344828  8.94827586  9.79310345
 10.63793103 11.48275862 12.32758621 13.17241379 14.01724138 14.86206897
 15.70689655 16.55172414 17.39655172 18.24137931 19.0862069  19.93103448
 20.77586207 21.62068966 22.46551724 23.31034483 24.15517241 25.        ]
theta=5.00e-02: pi=0.2558, mu=4.2193, ll=-1111845.62, converged=False
theta=5.12e-02: pi=0.2702, mu=4.3025, ll=-1111710.64, converged=False
theta=5.24e-02: pi=0.2844, mu=4.3876, ll=-1111572.91, converged=False
theta=5.36e-02: pi=0.2983, mu=4.4745, ll=-1111432.34, converged=False
theta=5.48e-02: pi=0.3119, mu=4.5633, ll=-1111288.88, converged=False
theta=5.61e-02: pi=0.3253, mu=4.6537, ll=-1111142.47, converged=False
theta=5.74e-02: pi=0.3384, mu=4.7457, ll=-1110993.05, converged=False
theta=5.88e-02: pi=0.3512, mu=4.8394, ll=-1110840.56, converged=False
theta=6.02e-02: pi=0.3637, mu=4.9346, ll=-1110684.96, converged=False
theta=6.16e-02: pi=0.3759, mu=5.0314, ll=-1110526.19, converged=False
theta=6.30e-02: pi=0.3879, mu=5.1297, ll=-1110364.20, converged=False
theta=6.45e-02: pi=0.3996, mu=5.2296, ll=-1110198.93, converged=False
theta=6.60e-02: pi=0.4110, mu=5.3310, ll=-1110030.32, converged=False
theta=6.75e-02: pi=0.4222, mu=5.4340, ll=-1109858.34, converged=True
theta=6.91e-02: pi=0.4331, mu=5.5385, ll=-1109682.91, converged=True
theta=7.07e-02: pi=0.4437, mu=5.6445, ll=-1109503.99, converged=True
theta=7.24e-02: pi=0.4541, mu=5.7521, ll=-1109321.52, converged=True
theta=7.41e-02: pi=0.4643, mu=5.8612, ll=-1109135.45, converged=True
theta=7.58e-02: pi=0.4742, mu=5.9719, ll=-1108945.71, converged=True
theta=7.76e-02: pi=0.4839, mu=6.0841, ll=-1108752.26, converged=True
theta=7.94e-02: pi=0.4934, mu=6.1978, ll=-1108555.04, converged=True
theta=8.13e-02: pi=0.5026, mu=6.3131, ll=-1108353.99, converged=True
theta=8.32e-02: pi=0.5117, mu=6.4299, ll=-1108149.06, converged=True
