Running sliding ZINB CPD on dataset: realistic_data
Input file: Signal_processing/sample_data/realistic_data.csv
[ 0.5         1.34482759  2.18965517  3.03448276  3.87931034  4.72413793
  5.56896552  6.4137931   7.25862069  8.10344828  8.94827586  9.79310345
 10.63793103 11.48275862 12.32758621 13.17241379 14.01724138 14.86206897
 15.70689655 16.55172414 17.39655172 18.24137931 19.0862069  19.93103448
 20.77586207 21.62068966 22.46551724 23.31034483 24.15517241 25.        ]
theta=5.00e-02: pi=0.1887, mu=4.1392, ll=-1219725.30, converged=False
theta=5.12e-02: pi=0.2037, mu=4.2171, ll=-1219548.33, converged=False
theta=5.24e-02: pi=0.2186, mu=4.2977, ll=-1219368.07, converged=False
theta=5.36e-02: pi=0.2334, mu=4.3808, ll=-1219184.26, converged=False
theta=5.48e-02: pi=0.2481, mu=4.4661, ll=-1218996.69, converged=False
theta=5.61e-02: pi=0.2625, mu=4.5535, ll=-1218805.25, converged=False
theta=5.74e-02: pi=0.2767, mu=4.6428, ll=-1218609.82, converged=False
theta=5.88e-02: pi=0.2906, mu=4.7339, ll=-1218410.31, converged=False
theta=6.02e-02: pi=0.3042, mu=4.8267, ll=-1218206.65, converged=False
theta=6.16e-02: pi=0.3176, mu=4.9211, ll=-1217998.75, converged=False
theta=6.30e-02: pi=0.3307, mu=5.0172, ll=-1217786.53, converged=False
theta=6.45e-02: pi=0.3434, mu=5.1148, ll=-1217569.91, converged=False
theta=6.60e-02: pi=0.3559, mu=5.2140, ll=-1217348.83, converged=False
theta=6.75e-02: pi=0.3681, mu=5.3147, ll=-1217123.19, converged=False
theta=6.91e-02: pi=0.3801, mu=5.4169, ll=-1216892.92, converged=False
theta=7.07e-02: pi=0.3917, mu=5.5207, ll=-1216657.95, converged=True
theta=7.24e-02: pi=0.4031, mu=5.6260, ll=-1216418.18, converged=True
theta=7.41e-02: pi=0.4142, mu=5.7328, ll=-1216173.54, converged=True
theta=7.58e-02: pi=0.4251, mu=5.8411, ll=-1215923.95, converged=True
theta=7.76e-02: pi=0.4357, mu=5.9510, ll=-1215669.32, converged=True
theta=7.94e-02: pi=0.4461, mu=6.0623, ll=-1215409.57, converged=True
theta=8.13e-02: pi=0.4562, mu=6.1752, ll=-1215144.63, converged=True
theta=8.32e-02: pi=0.4661, mu=6.2895, ll=-1214874.39, converged=True
theta=8.51e-02: pi=0.4757, mu=6.4054, ll=-1214598.79, converged=True
theta=8.71e-02: pi=0.4852, mu=6.5227, ll=-1214317.74, converged=True
