Task 1: Training ZINBVAE
Device: cuda
Loading training data from: Data/processed_data/BinSize10_MovingAvgFalse_ZINB_train_data.npy
Loading test data from: Data/processed_data/BinSize10_MovingAvgFalse_ZINB_test_data.npy
Number of training samples: 14824
============================================================
TRAINING ZINB VARIATIONAL AUTOENCODER (ZINBVAE)
============================================================
Epoch [1/100], Total Loss: 1.9958, Recon: 1.9874, KL: 0.0084
Epoch [2/100], Total Loss: 1.8956, Recon: 1.8879, KL: 0.0077
Epoch [3/100], Total Loss: 1.8853, Recon: 1.8784, KL: 0.0069
Epoch [4/100], Total Loss: 1.8773, Recon: 1.8712, KL: 0.0061
Epoch [5/100], Total Loss: 1.8738, Recon: 1.8682, KL: 0.0056
Epoch [6/100], Total Loss: 1.8712, Recon: 1.8661, KL: 0.0052
Epoch [7/100], Total Loss: 1.8682, Recon: 1.8635, KL: 0.0047
Epoch [8/100], Total Loss: 1.8645, Recon: 1.8598, KL: 0.0047
Epoch [9/100], Total Loss: 1.8569, Recon: 1.8517, KL: 0.0052
Epoch [10/100], Total Loss: 1.8554, Recon: 1.8501, KL: 0.0053
Epoch [11/100], Total Loss: 1.8527, Recon: 1.8477, KL: 0.0050
Epoch [12/100], Total Loss: 1.8528, Recon: 1.8477, KL: 0.0052
Epoch [13/100], Total Loss: 1.8494, Recon: 1.8445, KL: 0.0049
Epoch [14/100], Total Loss: 1.8467, Recon: 1.8413, KL: 0.0053
Epoch [15/100], Total Loss: 1.8406, Recon: 1.8351, KL: 0.0055
Epoch [16/100], Total Loss: 1.8409, Recon: 1.8354, KL: 0.0055
Epoch [17/100], Total Loss: 1.8378, Recon: 1.8323, KL: 0.0055
Epoch [18/100], Total Loss: 1.8368, Recon: 1.8314, KL: 0.0054
Epoch [19/100], Total Loss: 1.8352, Recon: 1.8299, KL: 0.0053
Epoch [20/100], Total Loss: 1.8357, Recon: 1.8305, KL: 0.0052
Epoch [21/100], Total Loss: 1.8360, Recon: 1.8308, KL: 0.0052
Epoch [22/100], Total Loss: 1.8321, Recon: 1.8270, KL: 0.0051
Epoch [23/100], Total Loss: 1.8304, Recon: 1.8253, KL: 0.0051
Epoch [24/100], Total Loss: 1.8294, Recon: 1.8243, KL: 0.0051
Epoch [25/100], Total Loss: 1.8308, Recon: 1.8256, KL: 0.0052
Epoch [26/100], Total Loss: 1.8298, Recon: 1.8246, KL: 0.0052
Epoch [27/100], Total Loss: 1.8282, Recon: 1.8229, KL: 0.0053
Epoch [28/100], Total Loss: 1.8269, Recon: 1.8211, KL: 0.0057
Epoch [29/100], Total Loss: 1.8215, Recon: 1.8152, KL: 0.0063
Epoch [30/100], Total Loss: 1.8246, Recon: 1.8180, KL: 0.0065
