Task 1: Training ZINBVAE
Device: cuda
Loading training data from: Data/processed_data/BinSize10_MovingAvgFalse_ZINB_train_data.npy
Applied denoising with 30.0% masking
Loading test data from: Data/processed_data/BinSize10_MovingAvgFalse_ZINB_test_data.npy
Applied denoising with 30.0% masking
Number of training samples: 14824
============================================================
TRAINING ZINB VARIATIONAL AUTOENCODER (ZINBVAE)
============================================================
Epoch [1/100], Total Loss: 4.9730, Recon: 2.2581, KL: 0.2113, Masked: 2.5036
Epoch [2/100], Total Loss: 4.3826, Recon: 2.1237, KL: 0.0095, Masked: 2.2494
Epoch [3/100], Total Loss: 4.3580, Recon: 2.1121, KL: 0.0075, Masked: 2.2383
Epoch [4/100], Total Loss: 4.2863, Recon: 2.0661, KL: 0.0089, Masked: 2.2114
Epoch [5/100], Total Loss: 4.2439, Recon: 2.0378, KL: 0.0095, Masked: 2.1965
Epoch [6/100], Total Loss: 4.2498, Recon: 2.0384, KL: 0.0106, Masked: 2.2007
Epoch [7/100], Total Loss: 4.2404, Recon: 2.0361, KL: 0.0113, Masked: 2.1930
Epoch [8/100], Total Loss: 4.2609, Recon: 2.0526, KL: 0.0122, Masked: 2.1962
Epoch [9/100], Total Loss: 4.2212, Recon: 2.0237, KL: 0.0120, Masked: 2.1855
Epoch [10/100], Total Loss: 4.2143, Recon: 2.0211, KL: 0.0123, Masked: 2.1810
Epoch [11/100], Total Loss: 4.2025, Recon: 2.0151, KL: 0.0113, Masked: 2.1762
Epoch [12/100], Total Loss: 4.1770, Recon: 1.9994, KL: 0.0108, Masked: 2.1668
Epoch [13/100], Total Loss: 4.1835, Recon: 2.0002, KL: 0.0108, Masked: 2.1726
Epoch [14/100], Total Loss: 4.1837, Recon: 2.0060, KL: 0.0109, Masked: 2.1668
Epoch [15/100], Total Loss: 4.1374, Recon: 1.9766, KL: 0.0094, Masked: 2.1514
Epoch [16/100], Total Loss: 4.1249, Recon: 1.9667, KL: 0.0083, Masked: 2.1499
Epoch [17/100], Total Loss: 4.1185, Recon: 1.9646, KL: 0.0078, Masked: 2.1461
Epoch [18/100], Total Loss: 4.1306, Recon: 1.9727, KL: 0.0078, Masked: 2.1500
Epoch [19/100], Total Loss: 4.1383, Recon: 1.9766, KL: 0.0080, Masked: 2.1538
Epoch [20/100], Total Loss: 4.1358, Recon: 1.9728, KL: 0.0079, Masked: 2.1551
Epoch [21/100], Total Loss: 4.1251, Recon: 1.9673, KL: 0.0075, Masked: 2.1503
Epoch [22/100], Total Loss: 4.1169, Recon: 1.9631, KL: 0.0070, Masked: 2.1468
