Running sliding ZINB CPD on dataset: pretty_data
Input file: Signal_processing/sample_data/pretty_data.csv
[ 0.5         1.34482759  2.18965517  3.03448276  3.87931034  4.72413793
  5.56896552  6.4137931   7.25862069  8.10344828  8.94827586  9.79310345
 10.63793103 11.48275862 12.32758621 13.17241379 14.01724138 14.86206897
 15.70689655 16.55172414 17.39655172 18.24137931 19.0862069  19.93103448
 20.77586207 21.62068966 22.46551724 23.31034483 24.15517241 25.        ]
theta=5.00e-02: pi=0.0000, mu=20.3843, ll=-6099521.95, converged=True
theta=5.12e-02: pi=0.0000, mu=20.3843, ll=-6079254.18, converged=True
theta=5.24e-02: pi=0.0000, mu=20.3843, ll=-6059039.87, converged=True
theta=5.36e-02: pi=0.0000, mu=20.3843, ll=-6038879.69, converged=True
theta=5.48e-02: pi=0.0000, mu=20.3843, ll=-6018774.33, converged=True
theta=5.61e-02: pi=0.0000, mu=20.3843, ll=-5998724.46, converged=True
theta=5.74e-02: pi=0.0000, mu=20.3843, ll=-5978730.78, converged=True
theta=5.88e-02: pi=0.0000, mu=20.3843, ll=-5958793.98, converged=True
theta=6.02e-02: pi=0.0000, mu=20.3843, ll=-5938914.76, converged=True
theta=6.16e-02: pi=0.0000, mu=20.3843, ll=-5919093.82, converged=True
theta=6.30e-02: pi=0.0000, mu=20.3843, ll=-5899331.85, converged=True
theta=6.45e-02: pi=0.0000, mu=20.3843, ll=-5879629.58, converged=True
theta=6.60e-02: pi=0.0000, mu=20.3843, ll=-5859987.72, converged=True
theta=6.75e-02: pi=0.0000, mu=20.3843, ll=-5840406.97, converged=True
theta=6.91e-02: pi=0.0000, mu=20.3843, ll=-5820888.06, converged=True
theta=7.07e-02: pi=0.0000, mu=20.3843, ll=-5801431.72, converged=True
theta=7.24e-02: pi=0.0000, mu=20.3843, ll=-5782038.66, converged=True
theta=7.41e-02: pi=0.0000, mu=20.3843, ll=-5762709.62, converged=True
theta=7.58e-02: pi=0.0000, mu=20.3843, ll=-5743445.34, converged=True
theta=7.76e-02: pi=0.0000, mu=20.3843, ll=-5724246.54, converged=True
theta=7.94e-02: pi=0.0000, mu=20.3843, ll=-5705113.97, converged=True
theta=8.13e-02: pi=0.0000, mu=20.3843, ll=-5686048.36, converged=True
theta=8.32e-02: pi=0.0000, mu=20.3843, ll=-5667050.47, converged=True
theta=8.51e-02: pi=0.0000, mu=20.3843, ll=-5648121.03, converged=True
theta=8.71e-02: pi=0.0000, mu=20.3843, ll=-5629260.79, converged=True
theta=8.92e-02: pi=0.0000, mu=20.3843, ll=-5610470.52, converged=True
theta=9.13e-02: pi=0.0000, mu=20.3843, ll=-5591750.95, converged=True
theta=9.34e-02: pi=0.0000, mu=20.3843, ll=-5573102.85, converged=True
theta=9.56e-02: pi=0.0000, mu=20.3843, ll=-5554526.98, converged=True
theta=9.78e-02: pi=0.0000, mu=20.3843, ll=-5536024.09, converged=True
theta=1.00e-01: pi=0.0000, mu=20.3843, ll=-5517594.94, converged=True
theta=1.02e-01: pi=0.0000, mu=20.3843, ll=-5499240.29, converged=True
theta=1.05e-01: pi=0.0000, mu=20.3843, ll=-5480960.92, converged=True
theta=1.07e-01: pi=0.0000, mu=20.3843, ll=-5462757.58, converged=True
theta=1.10e-01: pi=0.0000, mu=20.3843, ll=-5444631.04, converged=True
theta=1.12e-01: pi=0.0000, mu=20.3843, ll=-5426582.07, converged=True
theta=1.15e-01: pi=0.0000, mu=20.3843, ll=-5408611.44, converged=True
theta=1.18e-01: pi=0.0000, mu=20.3843, ll=-5390719.92, converged=True
theta=1.20e-01: pi=0.0000, mu=20.3843, ll=-5372908.27, converged=True
theta=1.23e-01: pi=0.0000, mu=20.3843, ll=-5355177.28, converged=True
theta=1.26e-01: pi=0.0000, mu=20.3843, ll=-5337527.70, converged=True
theta=1.29e-01: pi=0.0000, mu=20.3843, ll=-5319960.32, converged=True
theta=1.32e-01: pi=0.0000, mu=20.3843, ll=-5302475.90, converged=True
theta=1.35e-01: pi=0.0000, mu=20.3843, ll=-5285075.22, converged=True
theta=1.38e-01: pi=0.0000, mu=20.3843, ll=-5267759.05, converged=True
theta=1.42e-01: pi=0.0000, mu=20.3843, ll=-5250528.16, converged=True
theta=1.45e-01: pi=0.0000, mu=20.3843, ll=-5233383.33, converged=True
theta=1.48e-01: pi=0.0000, mu=20.3843, ll=-5216325.33, converged=True
theta=1.52e-01: pi=0.0000, mu=20.3843, ll=-5199354.94, converged=True
theta=1.55e-01: pi=0.0000, mu=20.3843, ll=-5182472.91, converged=True
theta=1.59e-01: pi=0.0000, mu=20.3843, ll=-5165680.04, converged=True
theta=1.63e-01: pi=0.0000, mu=20.3843, ll=-5148977.08, converged=True
