Running simulated data training
Device: cuda
Starting simulated data run...

============================================================
PREPROCESSING SIMULATED DATA
============================================================
Loading simulated data from Data/simulated/simulated_data...
Found 204 simulated data files
Loaded 204 simulated chromosomes

=== Processing Training Data ===
Column order in final array (Dataset/Chrom split): ['Value', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 1475177

=== Processing Validation Data ===

=== Processing Test Data ===
Column order in final array (Dataset/Chrom split): ['Value', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 643632

Final dataset shapes:
  Train: (1475177, 80, 3)
  Test: (643632, 80, 3)

============================================================
CREATING DATALOADERS
============================================================
Randomly sampled 14751/1475177 samples (1.0%)
Applied denoising with 30.0% masking
Applied denoising with 30.0% masking
Feature dimension: 1
Actual sequence length from data: 80

============================================================
INITIALIZING MODEL
============================================================
Model created with seq_length=80, feature_dim=1

============================================================
TRAINING MODEL
============================================================
Epoch [1/100], Total Loss: 22.6547, NLL: 2.3878, Masked: 20.2668
Epoch [2/100], Total Loss: 5.6672, NLL: 2.0917, Masked: 3.5755
Epoch [3/100], Total Loss: 5.3129, NLL: 2.0459, Masked: 3.2669
Epoch [4/100], Total Loss: 5.2552, NLL: 2.0342, Masked: 3.2210
Epoch [5/100], Total Loss: 5.2294, NLL: 2.0280, Masked: 3.2014
Epoch [6/100], Total Loss: 5.1507, NLL: 2.0155, Masked: 3.1352
Epoch [7/100], Total Loss: 5.1237, NLL: 2.0108, Masked: 3.1129
Epoch [8/100], Total Loss: 5.1200, NLL: 2.0090, Masked: 3.1111
Epoch [9/100], Total Loss: 5.0826, NLL: 2.0042, Masked: 3.0785
Epoch [10/100], Total Loss: 5.1277, NLL: 2.0103, Masked: 3.1174
Epoch [11/100], Total Loss: 5.0762, NLL: 2.0047, Masked: 3.0715
Epoch [12/100], Total Loss: 5.0724, NLL: 2.0037, Masked: 3.0687
Epoch [13/100], Total Loss: 5.0601, NLL: 2.0024, Masked: 3.0577
Epoch [14/100], Total Loss: 5.0435, NLL: 2.0001, Masked: 3.0434
Epoch [15/100], Total Loss: 5.0297, NLL: 1.9984, Masked: 3.0312
Epoch [16/100], Total Loss: 5.0301, NLL: 1.9999, Masked: 3.0302
Epoch [17/100], Total Loss: 5.0173, NLL: 1.9977, Masked: 3.0196
Epoch [18/100], Total Loss: 5.0296, NLL: 2.0004, Masked: 3.0291
Epoch [19/100], Total Loss: 4.9991, NLL: 1.9955, Masked: 3.0036
Epoch [20/100], Total Loss: 5.0115, NLL: 1.9974, Masked: 3.0141
Epoch [21/100], Total Loss: 4.9972, NLL: 1.9970, Masked: 3.0002
Epoch [22/100], Total Loss: 5.0053, NLL: 1.9974, Masked: 3.0079
Epoch [23/100], Total Loss: 4.9871, NLL: 1.9969, Masked: 2.9901
Epoch [24/100], Total Loss: 4.9343, NLL: 1.9899, Masked: 2.9443
Epoch [25/100], Total Loss: 4.9492, NLL: 1.9914, Masked: 2.9578
Epoch [26/100], Total Loss: 4.9070, NLL: 1.9880, Masked: 2.9191
Epoch [27/100], Total Loss: 4.9216, NLL: 1.9897, Masked: 2.9319
Epoch [28/100], Total Loss: 4.9183, NLL: 1.9902, Masked: 2.9281
Epoch [29/100], Total Loss: 4.9079, NLL: 1.9878, Masked: 2.9201
Epoch [30/100], Total Loss: 4.9007, NLL: 1.9873, Masked: 2.9133
Epoch [31/100], Total Loss: 4.8970, NLL: 1.9885, Masked: 2.9085
Epoch [32/100], Total Loss: 4.8832, NLL: 1.9875, Masked: 2.8957
Epoch [33/100], Total Loss: 4.8755, NLL: 1.9869, Masked: 2.8887
Epoch [34/100], Total Loss: 4.8736, NLL: 1.9890, Masked: 2.8845
Epoch [35/100], Total Loss: 4.8844, NLL: 1.9910, Masked: 2.8934
Epoch [36/100], Total Loss: 4.8755, NLL: 1.9901, Masked: 2.8854
Epoch [37/100], Total Loss: 4.8710, NLL: 1.9905, Masked: 2.8806
Epoch [38/100], Total Loss: 4.8757, NLL: 1.9901, Masked: 2.8856
Epoch [39/100], Total Loss: 4.8637, NLL: 1.9901, Masked: 2.8737
Epoch [40/100], Total Loss: 4.8707, NLL: 1.9919, Masked: 2.8788
Epoch [41/100], Total Loss: 4.8500, NLL: 1.9897, Masked: 2.8603
Epoch [42/100], Total Loss: 4.8572, NLL: 1.9909, Masked: 2.8663
Epoch [43/100], Total Loss: 4.8599, NLL: 1.9922, Masked: 2.8676
Epoch [44/100], Total Loss: 4.8631, NLL: 1.9912, Masked: 2.8719
Epoch [45/100], Total Loss: 4.8563, NLL: 1.9909, Masked: 2.8653
