strain,distance,mean_density,sd_density,n_datasets,se_density
strain_yTW001,0,0.043755135402779574,0.01900222717710357,32,0.0033591509236443108
strain_yTW001,1,0.04266461410757418,0.01700661006510887,32,0.0030063723255084693
strain_yTW001,2,0.04360411457859896,0.01735690796548606,32,0.003068296830706499
strain_yTW001,3,0.04324803203586185,0.017424251259167595,32,0.003080201555613912
strain_yTW001,4,0.04208441340122318,0.017657349882085366,32,0.003121407959851512
strain_yTW001,5,0.04296298249066863,0.018018855899230243,32,0.0031853137988922323
strain_yTW001,6,0.04249672607517448,0.01706998290045907,32,0.0030175751659132547
strain_yTW001,7,0.04255292612655682,0.01700877759903696,32,0.00300675549499322
strain_yTW001,8,0.042607575010791536,0.017853647503587092,32,0.003156108804675177
strain_yTW001,9,0.04281219173756678,0.0171287987147321,32,0.003027972431191622
strain_yTW001,10,0.042979187286008275,0.017310674971117695,32,0.0030601239147483913
strain_yTW001,11,0.043554871504520365,0.017330479124043324,32,0.0030636248274557333
strain_yTW001,12,0.043008811084486454,0.017149213956759557,32,0.003031581370210917
strain_yTW001,13,0.04322811011023352,0.017298519752919343,32,0.003057975155444677
strain_yTW001,14,0.04360859889333498,0.017366810042862172,32,0.0030700472872216195
strain_yTW001,15,0.04258971976430903,0.016656360198630468,32,0.0029444563115843285
strain_yTW001,16,0.0431529998416327,0.017150867190345188,32,0.003031873623380738
strain_yTW001,17,0.04310147977051061,0.017030047146826786,32,0.003010515455361959
strain_yTW001,18,0.04232076146341261,0.016379127389947786,32,0.002895448011837599
strain_yTW001,19,0.04357331403784169,0.017842330739086934,32,0.003154108264445389
strain_yTW001,20,0.04317964061434599,0.017084747249774518,32,0.003020185158793445
strain_yTW001,21,0.042917853264318184,0.016772369437643004,32,0.0029649640414808423
strain_yTW001,22,0.04298762720953664,0.017360825243510267,32,0.0030689893141701763
strain_yTW001,23,0.04222562206389115,0.017073957270744643,32,0.003018277741958224
strain_yTW001,24,0.043003662204124986,0.016475714595453758,32,0.002912522378834882
strain_yTW001,25,0.04200010725040494,0.01605012848699791,32,0.0028372886730179013
strain_yTW001,26,0.042458260742565014,0.01623731816264727,32,0.0028703794452728444
strain_yTW001,27,0.04324636546810781,0.017647704848525608,32,0.003119702942692793
strain_yTW001,28,0.04245339443577141,0.01707650732789056,32,0.003018728532633296
strain_yTW001,29,0.043785146342241406,0.017463336036534712,32,0.003087110833393275
strain_yTW001,30,0.043478379485337094,0.016621983175378285,32,0.0029383792550196717
strain_yTW001,31,0.044420612743911125,0.018114256085684646,32,0.0032021783285843246
strain_yTW001,32,0.04518674766782933,0.018476505932507464,32,0.0032662156593773754
strain_yTW001,33,0.044803351350273656,0.017755622821621915,32,0.0031387803253398695
strain_yTW001,34,0.04427326576387612,0.017459367958583865,32,0.003086409369686445
strain_yTW001,35,0.04496978979026151,0.01830663588361482,32,0.003236186593504255
strain_yTW001,36,0.045619035040518376,0.018652172189642484,32,0.0032972693597888335
strain_yTW001,37,0.04631584861676986,0.017756089716902963,32,0.003138862861544703
strain_yTW001,38,0.04665054707510745,0.018241438620541058,32,0.003224661236795691
strain_yTW001,39,0.04720818785902973,0.019415739219295233,32,0.0034322502159283156
strain_yTW001,40,0.04772370455458991,0.018647726441029456,32,0.003296483455040903
strain_yTW001,41,0.04816740512231178,0.018867656822074478,32,0.003335362020997372
strain_yTW001,42,0.04978988114849407,0.019466312618403443,32,0.0034411904142925827
strain_yTW001,43,0.04846611322287616,0.018785387440999023,32,0.0033208187116867535
strain_yTW001,44,0.04914217712895742,0.01944963041576103,32,0.003438241389639188
strain_yTW001,45,0.04920467738857999,0.018846207703582477,32,0.0033315703167133303
strain_yTW001,46,0.05068141363570206,0.020017966166797758,32,0.0035387099055263936
strain_yTW001,47,0.05003814139859258,0.019700675677224663,32,0.0034826203413306092
strain_yTW001,48,0.05003324485572627,0.020235489689853902,32,0.0035771629950815402
strain_yTW001,49,0.05034898298511011,0.019133460612027794,32,0.0033823499365826406
strain_yTW001,50,0.05153389828131004,0.020415003253280745,32,0.0036088968095850608
