strain,distance,mean_density,sd_density,n_datasets,se_density
strain_yWT04a,0,0.025952925806117407,0.00982989451194554,32,0.0017376962669362797
strain_yWT04a,1,0.026083630018013608,0.010217469424501168,32,0.001806210479157747
strain_yWT04a,2,0.025739824858119015,0.009856921076638507,32,0.0017424739337279233
strain_yWT04a,3,0.02561259136066996,0.009562421315137098,32,0.0016904132391240565
strain_yWT04a,4,0.025845684283301702,0.009747987858698768,32,0.001723217079452508
strain_yWT04a,5,0.025587963869967385,0.00963758068956368,32,0.0017036996649557501
strain_yWT04a,6,0.025462161712847226,0.009848749302667464,32,0.0017410293545306113
strain_yWT04a,7,0.025647115171618377,0.01037492349614739,32,0.001834044689604366
strain_yWT04a,8,0.02569194851466311,0.010068755770489777,32,0.0017799213708561256
strain_yWT04a,9,0.026183800605660463,0.0101178266597397,32,0.0017885959604929944
strain_yWT04a,10,0.025835429019548717,0.010464541776471468,32,0.001849887113038224
strain_yWT04a,11,0.02619645473325573,0.010306463713079188,32,0.0018219425953928444
strain_yWT04a,12,0.025868982956305124,0.010416926365735915,32,0.0018414698180832009
strain_yWT04a,13,0.02527387179565235,0.009795219963850067,32,0.0017315666149130577
strain_yWT04a,14,0.026328437472991233,0.00990958902420379,32,0.0017517843994465706
strain_yWT04a,15,0.026095424586987825,0.009768559806915452,32,0.0017268537204740669
strain_yWT04a,16,0.025675389848805023,0.009488357612643265,32,0.0016773205025557634
strain_yWT04a,17,0.025808785824157302,0.009965810140365327,32,0.0017617229825674955
strain_yWT04a,18,0.02561193739472011,0.009570832993289046,32,0.0016919002277896568
strain_yWT04a,19,0.025610646148274296,0.00996775900557788,32,0.0017620674965193493
strain_yWT04a,20,0.026055158724627554,0.010633659849561388,32,0.0018797832471139952
strain_yWT04a,21,0.025771407435565215,0.009881982849768076,32,0.0017469042711600424
strain_yWT04a,22,0.02614552882789164,0.009556513985971255,32,0.0016893689609960892
strain_yWT04a,23,0.025356782363458525,0.00965926632041183,32,0.0017075331791125091
strain_yWT04a,24,0.025668393253366242,0.009993654675633682,32,0.001766645247494306
strain_yWT04a,25,0.025347578355110922,0.009219358119886965,32,0.0016297676611898332
strain_yWT04a,26,0.025537095093276268,0.009774154077573106,32,0.0017278426571535218
strain_yWT04a,27,0.025115207685218348,0.009726210489339953,32,0.0017193673480650022
strain_yWT04a,28,0.025351502499853594,0.00988267482061754,32,0.0017470265954800525
strain_yWT04a,29,0.025753808279599555,0.01011010910301854,32,0.0017872316763200636
strain_yWT04a,30,0.025982977194965024,0.009610920417674234,32,0.0016989867501954242
strain_yWT04a,31,0.026586584344330574,0.010002828909981318,32,0.0017682670383241579
strain_yWT04a,32,0.026214294933154997,0.010266315311177762,32,0.0018148452935832693
strain_yWT04a,33,0.026301072541925232,0.009839222181063277,32,0.0017393451814577338
strain_yWT04a,34,0.026770376681456102,0.009257686678333469,32,0.00163654325708749
strain_yWT04a,35,0.026856270187926665,0.01005130535395661,32,0.0017768365438898428
strain_yWT04a,36,0.026299326621620316,0.010054498357258513,32,0.0017774009924616241
strain_yWT04a,37,0.027475589385509088,0.010878427667580157,32,0.001923052493098322
strain_yWT04a,38,0.02756526984426616,0.010519149315569095,32,0.0018595404533381845
strain_yWT04a,39,0.027794120896974563,0.010292595459033594,32,0.0018194910112731301
strain_yWT04a,40,0.02770690786327646,0.010558932751069674,32,0.0018665732375935235
strain_yWT04a,41,0.028151578850361656,0.010097707462749687,32,0.0017850393553370777
strain_yWT04a,42,0.027779001312539027,0.010379262422317525,32,0.0018348117106338582
strain_yWT04a,43,0.028170528396929205,0.010905238524000983,32,0.0019277920276944678
strain_yWT04a,44,0.028531804915357242,0.011748493745439369,32,0.0020768598990319794
strain_yWT04a,45,0.028785535770305994,0.010749351238844653,32,0.0019002347885857674
strain_yWT04a,46,0.02882292418034869,0.010680070971763683,32,0.0018879876519219251
strain_yWT04a,47,0.02904291698916412,0.011429057005131488,32,0.0020203909277240225
strain_yWT04a,48,0.029061890622603524,0.011256552108719472,32,0.0019898960822138175
strain_yWT04a,49,0.02978878879430022,0.010788774169323721,32,0.0019072038439547662
strain_yWT04a,50,0.030008698852441062,0.011423122458282873,32,0.002019341838144041
strain_yWT04a,51,0.02937383162031401,0.01080518613643874,32,0.0019101050972646762
strain_yWT04a,52,0.030153045552678576,0.01189577612686531,32,0.002102895991695876
strain_yWT04a,53,0.030156257774105893,0.010831753221608216,32,0.0019148015387846005
strain_yWT04a,54,0.030009979758661286,0.011456749554284967,32,0.002025286325047714
strain_yWT04a,55,0.03017874527434255,0.01096527529523232,32,0.001938405129709024
strain_yWT04a,56,0.02987604476094277,0.011067064309371256,32,0.0019563990552460076
strain_yWT04a,57,0.030095644880657475,0.010808108002118313,32,0.0019106216150236118
strain_yWT04a,58,0.030247563310756814,0.01116104847958843,32,0.0019730132662671962
strain_yWT04a,59,0.030099094265413195,0.010596778500139337,32,0.0018732634840450844
strain_yWT04a,60,0.03147872006982257,0.01168645073499938,32,0.0020658921406801435
strain_yWT04a,61,0.030420470280502408,0.011297002804150457,32,0.001997046822474558
strain_yWT04a,62,0.031331973604491824,0.012288684044618418,32,0.002172352954952153
strain_yWT04a,63,0.03181209412974904,0.011403936800211695,32,0.002015950260913127
strain_yWT04a,64,0.03138515035304143,0.011915615520581601,32,0.002106403134153731
strain_yWT04a,65,0.03155702365198698,0.01143816052164429,32,0.002022000217288734
strain_yWT04a,66,0.03137453780623744,0.010496954160161467,32,0.0018556168671136285
strain_yWT04a,67,0.031332757517675607,0.011593411213303853,32,0.0020494449215028286
strain_yWT04a,68,0.03134522559116515,0.011297104897771727,32,0.0019970648702475366
strain_yWT04a,69,0.03230732268871908,0.011871973222880453,32,0.00209868819299097
strain_yWT04a,70,0.03257413230583748,0.012136818580419123,32,0.0021455066800613125
strain_yWT04a,71,0.03309992918382823,0.011952263072103217,32,0.0021128815672024352
strain_yWT04a,72,0.0337370345455849,0.012826522390353865,32,0.0022674302403150755
strain_yWT04a,73,0.03420125584285966,0.0124994865687097,32,0.0022096179285212
strain_yWT04a,74,0.033880642381675985,0.0129542473376958,32,0.00229000903441312
strain_yWT04a,75,0.03435141840764575,0.012460888978819135,32,0.002202794774133931
strain_yWT04a,76,0.03430149786996732,0.01247482875315283,32,0.0022052590013738223
strain_yWT04a,77,0.035476955527565364,0.013972682704104945,32,0.002470044672860148
strain_yWT04a,78,0.03536689739943403,0.01290194764871193,32,0.0022807636682295094
strain_yWT04a,79,0.0346015882852175,0.011854504911804922,32,0.0020956002026866235
strain_yWT04a,80,0.03599598848532703,0.012778951215399655,32,0.002259020765215292
strain_yWT04a,81,0.03695559570579165,0.012932997237687318,32,0.0022862525119588975
strain_yWT04a,82,0.037675468402258494,0.01392485583426954,32,0.002461589996864263
strain_yWT04a,83,0.039029996818834664,0.01435020231628313,32,0.0025367813423106756
strain_yWT04a,84,0.03944053602008756,0.01553683724902621,32,0.0027465507442445444
strain_yWT04a,85,0.040126131163723606,0.0140184219650296,32,0.002478130308251719
strain_yWT04a,86,0.04003858099455517,0.014122726173644632,32,0.002496568861556216
strain_yWT04a,87,0.041857132461152906,0.01534896961088835,32,0.002713340124021349
strain_yWT04a,88,0.04110946509459715,0.014945495504843035,32,0.0026420153049168935
strain_yWT04a,89,0.04260261524668136,0.015082507636171253,32,0.0026662358567086444
strain_yWT04a,90,0.042656259877995456,0.01671138357118743,32,0.002954183161549024
strain_yWT04a,91,0.043248215596479275,0.016601182923725637,32,0.0029347022552711783
strain_yWT04a,92,0.043399187754456336,0.01715971576782512,32,0.003033437845665716
strain_yWT04a,93,0.04507396866063731,0.016511548016955143,32,0.002918856892669068
strain_yWT04a,94,0.04485670242863578,0.0176677770839499,32,0.0031232512461383155
strain_yWT04a,95,0.045753064568808906,0.01773038830506058,32,0.003134319450894748
strain_yWT04a,96,0.048455409346289675,0.01980880453239721,32,0.003501735003014221
strain_yWT04a,97,0.04694399933089769,0.018992441471851338,32,0.003357421039008674
strain_yWT04a,98,0.04766209701810982,0.019275863918044218,32,0.00340752352241954
strain_yWT04a,99,0.04884752144564468,0.018575509320099378,32,0.003283717151059046
strain_yWT04a,100,0.046710071249842236,0.018834791898590483,32,0.0033295522684326944
strain_yWT04a,101,0.05118840389631027,0.02174166005004212,32,0.0038434188139093587
strain_yWT04a,102,0.0501685490358959,0.018283881206608926,32,0.0032321640969006117
strain_yWT04a,103,0.051327664868345925,0.020781304887323108,32,0.003673650401932828
strain_yWT04a,104,0.05271278368620757,0.0190518415998317,32,0.00336792159733324
strain_yWT04a,105,0.052378703479087324,0.02253816291166018,32,0.003984221957580514
strain_yWT04a,106,0.05075771048933777,0.020071843774501122,32,0.0035482342109666824
strain_yWT04a,107,0.05329463829156583,0.021649672833753072,32,0.0038271576178042443
strain_yWT04a,108,0.05170876648685702,0.020693960892492733,32,0.003658210019172708
strain_yWT04a,109,0.05316909818678374,0.022569043914670593,32,0.00398968099924014
strain_yWT04a,110,0.054176617938990944,0.020025113787045867,32,0.003539973438213089
strain_yWT04a,111,0.05282697686468328,0.02027741635464048,32,0.003584574652327321
strain_yWT04a,112,0.05498345461019016,0.0251397644464567,32,0.004444124479380501
strain_yWT04a,113,0.0541588489096264,0.022333374352544805,32,0.003948020112865538
strain_yWT04a,114,0.053714143733743815,0.022102232324357658,32,0.003907159588978451
strain_yWT04a,115,0.05535680946804807,0.02223722613007236,32,0.003931023347838214
strain_yWT04a,116,0.05722735286456189,0.022761130019648846,32,0.004023637346090599
strain_yWT04a,117,0.05727332842543329,0.02501403223495186,32,0.004421897954538337
strain_yWT04a,118,0.055504447865865454,0.021290433917697246,32,0.0037636525494019494
strain_yWT04a,119,0.058553947707882574,0.023815958249345077,32,0.0042101063946419
strain_yWT04a,120,0.05680037427552909,0.023352955131063308,32,0.0041282582334800115
strain_yWT04a,121,0.05707498489734736,0.024572478662193083,32,0.004343841573149618
strain_yWT04a,122,0.057831961232623526,0.02533176110121875,32,0.004478065013517346
strain_yWT04a,123,0.05917840120016069,0.02652374884740902,32,0.004688780668122948
strain_yWT04a,124,0.05829222152931011,0.029250499724521446,32,0.005170806677076089
strain_yWT04a,125,0.05844970036765227,0.025631050159936296,32,0.004530972344255874
strain_yWT04a,126,0.05910064749469833,0.023306724450751312,32,0.0041200857265931414
strain_yWT04a,127,0.05926659389812818,0.026253804849272838,32,0.004641060860217272
strain_yWT04a,128,0.057258511186652115,0.0262002450205732,32,0.004631592730699096
strain_yWT04a,129,0.05949845909644346,0.025958999383166745,32,0.0045889461241636524
strain_yWT04a,130,0.0599581579282446,0.02762782028340134,32,0.004883954767949083
strain_yWT04a,131,0.058853811842483915,0.025442231349201237,32,0.00449759357888429
strain_yWT04a,132,0.061427919636944425,0.028396530794857756,32,0.005019844871804136
strain_yWT04a,133,0.06044468384523499,0.025854814471386354,32,0.004570528659759343
strain_yWT04a,134,0.06175526642729183,0.02792834831787267,32,0.004937081120726918
strain_yWT04a,135,0.06226742802240636,0.02852105326677257,32,0.005041857542879405
strain_yWT04a,136,0.05557290557706431,0.024782972177664214,32,0.004381051921195976
strain_yWT04a,137,0.06083985321460911,0.02798496256145976,32,0.004947089199614963
strain_yWT04a,138,0.05863411263927954,0.025991142875338834,32,0.004594628344485128
strain_yWT04a,139,0.0623783688537982,0.029623383391314803,32,0.005236723819421911
strain_yWT04a,140,0.05841443688517048,0.028183104593511803,32,0.004982116093240483
strain_yWT04a,141,0.05718368876615169,0.025805425780379615,32,0.004561797890178145
strain_yWT04a,142,0.06068510259510015,0.027071719795764004,32,0.004785649161491707
strain_yWT04a,143,0.05587399834307993,0.027433491903788566,32,0.004849602039198786
strain_yWT04a,144,0.05981099791468605,0.029925067459136107,32,0.005290054531955008
strain_yWT04a,145,0.05730211448681907,0.027780848693993665,32,0.004911006624660091
