strain,distance,mean_density,sd_density,n_datasets,se_density
strain_dnrp,0,0.02906894098072647,0.012030918918483072,64,0.001503864864810384
strain_dnrp,1,0.02916733672030962,0.011184571242306693,64,0.0013980714052883366
strain_dnrp,2,0.029402765285590163,0.011612120788155612,64,0.0014515150985194515
strain_dnrp,3,0.028928344361377145,0.01134995313121061,64,0.0014187441414013262
strain_dnrp,4,0.028658738012620158,0.011553308840014341,64,0.0014441636050017926
strain_dnrp,5,0.02859842324969495,0.011338475667668704,64,0.001417309458458588
strain_dnrp,6,0.029363037574018754,0.01169233682068127,64,0.0014615421025851588
strain_dnrp,7,0.02871451311401886,0.011227513602253696,64,0.001403439200281712
strain_dnrp,8,0.028986407049358794,0.012470714027665081,64,0.0015588392534581351
strain_dnrp,9,0.029268692785789273,0.012187418300036407,64,0.001523427287504551
strain_dnrp,10,0.02919118929457455,0.011897405753796131,64,0.0014871757192245164
strain_dnrp,11,0.029348049399159793,0.011132379874103225,64,0.0013915474842629031
strain_dnrp,12,0.029058151852415975,0.011364623851023744,64,0.001420577981377968
strain_dnrp,13,0.029503818752116072,0.011557156904060548,64,0.0014446446130075685
strain_dnrp,14,0.029153836435983183,0.01190831800281518,64,0.0014885397503518975
strain_dnrp,15,0.028454436305378247,0.010527523251418416,64,0.001315940406427302
strain_dnrp,16,0.02897162901745681,0.010886913159361711,64,0.0013608641449202139
strain_dnrp,17,0.028776470133279893,0.011093529189846732,64,0.0013866911487308415
strain_dnrp,18,0.02882503812359473,0.011148957200431511,64,0.0013936196500539389
strain_dnrp,19,0.02874222454747425,0.011010945637273978,64,0.0013763682046592472
strain_dnrp,20,0.02906083318130753,0.011104497185863793,64,0.001388062148232974
strain_dnrp,21,0.029097535570382513,0.011255152890400294,64,0.0014068941113000368
strain_dnrp,22,0.028531441475982508,0.011067936926564626,64,0.0013834921158205782
strain_dnrp,23,0.02864411458133404,0.011297943826435832,64,0.001412242978304479
strain_dnrp,24,0.02855233550303385,0.011017730820863858,64,0.0013772163526079822
strain_dnrp,25,0.02809259412516418,0.010909595171447845,64,0.0013636993964309806
strain_dnrp,26,0.028426790708837177,0.010910578365602802,64,0.0013638222957003503
strain_dnrp,27,0.02870568905013661,0.01122943633339546,64,0.0014036795416744324
strain_dnrp,28,0.028934893683840168,0.01124723309598086,64,0.0014059041369976074
strain_dnrp,29,0.02972046037876206,0.011255384349079621,64,0.0014069230436349527
strain_dnrp,30,0.02936180122071656,0.010930074305561598,64,0.0013662592881951998
strain_dnrp,31,0.02993511122094995,0.011516893941675875,64,0.0014396117427094843
strain_dnrp,32,0.03061284207935535,0.012202245776716195,64,0.0015252807220895244
strain_dnrp,33,0.030736146711890715,0.011723332504869396,64,0.0014654165631086745
strain_dnrp,34,0.0301596052989637,0.011702675735264352,64,0.001462834466908044
strain_dnrp,35,0.03108405163428153,0.012025147621564881,64,0.0015031434526956101
strain_dnrp,36,0.030408511055680747,0.01137122361032888,64,0.00142140295129111
strain_dnrp,37,0.03173149911317691,0.012624675129199995,64,0.0015780843911499993
strain_dnrp,38,0.032007130585839684,0.012119212239924227,64,0.0015149015299905284
strain_dnrp,39,0.03227865399839696,0.012152197366950663,64,0.0015190246708688328
strain_dnrp,40,0.032606480956051474,0.012255582864971287,64,0.0015319478581214108
strain_dnrp,41,0.033400112138692276,0.012710926752872446,64,0.0015888658441090557
strain_dnrp,42,0.03332885682654419,0.012898870562001718,64,0.0016123588202502147
strain_dnrp,43,0.03439871090276015,0.013608358441456666,64,0.0017010448051820832
strain_dnrp,44,0.03403422946565982,0.013116816572243629,64,0.0016396020715304536
strain_dnrp,45,0.03458160317054364,0.013031678566526305,64,0.001628959820815788
strain_dnrp,46,0.034974781931219195,0.012917941221356345,64,0.0016147426526695432
strain_dnrp,47,0.035063166865283074,0.013780011466439068,64,0.0017225014333048835
strain_dnrp,48,0.03546638582000929,0.01356225204840946,64,0.0016952815060511826
strain_dnrp,49,0.03590555118503706,0.013161862280016753,64,0.001645232785002094
strain_dnrp,50,0.03639502970969277,0.01385150536745064,64,0.00173143817093133
strain_dnrp,51,0.03666307693188779,0.013801522138923866,64,0.0017251902673654832
strain_dnrp,52,0.037083769568976556,0.014359110205019811,64,0.0017948887756274764
strain_dnrp,53,0.03685678464860633,0.01311564649973108,64,0.001639455812466385
strain_dnrp,54,0.03699367294296256,0.013781010886478215,64,0.001722626360809777
strain_dnrp,55,0.037117490023960205,0.014087169635358584,64,0.001760896204419823
strain_dnrp,56,0.03677585247775039,0.013462112238027258,64,0.0016827640297534072
strain_dnrp,57,0.0365810302109771,0.013561230066710728,64,0.001695153758338841
strain_dnrp,58,0.037035651336468675,0.013401959248029803,64,0.0016752449060037254
strain_dnrp,59,0.03810290357389884,0.012743506447351087,64,0.0015929383059188858
strain_dnrp,60,0.038256567278939696,0.01373217766014178,64,0.0017165222075177225
strain_dnrp,61,0.03853414863686463,0.014791382676952397,64,0.0018489228346190497
strain_dnrp,62,0.039680348503569024,0.015018199292481476,64,0.0018772749115601845
strain_dnrp,63,0.04005478567689792,0.01460398107106594,64,0.0018254976338832425
strain_dnrp,64,0.03978232175638151,0.014072945206356508,64,0.0017591181507945635
strain_dnrp,65,0.03974323886400715,0.01409423712817131,64,0.0017617796410214137
strain_dnrp,66,0.03938468087314464,0.014001738884301214,64,0.0017502173605376517
strain_dnrp,67,0.04036724241869271,0.014190473230895334,64,0.0017738091538619168
strain_dnrp,68,0.040277274504333584,0.014647744444461649,64,0.001830968055557706
strain_dnrp,69,0.04055350844665813,0.013898476739371151,64,0.0017373095924213939
strain_dnrp,70,0.041203109274794834,0.01518864763704095,64,0.0018985809546301189
strain_dnrp,71,0.042447398680788125,0.014966402266544639,64,0.0018708002833180799
strain_dnrp,72,0.04294461909985617,0.01545215743160603,64,0.0019315196789507537
strain_dnrp,73,0.04406911714461822,0.015901852842835046,64,0.0019877316053543807
strain_dnrp,74,0.045323227973021386,0.017384934677216426,64,0.0021731168346520533
strain_dnrp,75,0.04517314838614412,0.015895466016116362,64,0.0019869332520145453
strain_dnrp,76,0.04531981636306324,0.016594090575655543,64,0.002074261321956943
strain_dnrp,77,0.04691330544728372,0.01682632616207545,64,0.002103290770259431
strain_dnrp,78,0.04675547469778629,0.01659231937370816,64,0.00207403992171352
strain_dnrp,79,0.04647387043793446,0.017274395493356624,64,0.002159299436669578
strain_dnrp,80,0.048491341535030756,0.01812103980054884,64,0.002265129975068605
strain_dnrp,81,0.049463380291395825,0.018826584030499617,64,0.002353323003812452
strain_dnrp,82,0.050738731737211176,0.018689987292878914,64,0.0023362484116098642
strain_dnrp,83,0.052126236612709376,0.01997581985421699,64,0.002496977481777124
strain_dnrp,84,0.052915660989956925,0.01979245868447025,64,0.0024740573355587813
strain_dnrp,85,0.05396457211074162,0.020862933221247482,64,0.0026078666526559353
strain_dnrp,86,0.054732367897143655,0.01952151696966982,64,0.0024401896212087274
strain_dnrp,87,0.05563225292850442,0.02046827938238149,64,0.0025585349227976863
strain_dnrp,88,0.056987757366251814,0.02048723490758953,64,0.0025609043634486914
strain_dnrp,89,0.057075275587882564,0.022684395001812276,64,0.0028355493752265344
strain_dnrp,90,0.059157624814863904,0.023349281586013255,64,0.002918660198251657
strain_dnrp,91,0.060123567539572764,0.022616743034482,64,0.00282709287931025
strain_dnrp,92,0.061776096161197024,0.024473545281136485,64,0.0030591931601420606
strain_dnrp,93,0.06293690249524249,0.02408090336938546,64,0.0030101129211731826
strain_dnrp,94,0.06392403005396714,0.02346232920271668,64,0.002932791150339585
strain_dnrp,95,0.06552682581988717,0.026244586402179512,64,0.003280573300272439
strain_dnrp,96,0.0680491942464585,0.028087475049051798,64,0.0035109343811314747
strain_dnrp,97,0.06616677556448933,0.026517582643528305,64,0.003314697830441038
strain_dnrp,98,0.06562405784980915,0.026817549665528996,64,0.0033521937081911245
strain_dnrp,99,0.06798718081904065,0.027081083050301373,64,0.0033851353812876716
strain_dnrp,100,0.06865713190713182,0.029295250812143122,64,0.0036619063515178902
strain_dnrp,101,0.06852120451048992,0.029097214860303186,64,0.0036371518575378983
