dataset_id,window_size,tolerance_type,tolerance_value,auc
8,10,full_window,10,0.06721932825515997
8,20,full_window,20,0.2454582555946759
8,30,full_window,30,0.43324189106228705
8,50,full_window,50,0.6203134256906859
8,80,full_window,80,0.7182677240479282
8,100,full_window,100,0.7555195700019307
8,150,full_window,150,0.7378897419241619
8,200,full_window,200,0.6807097775423139
8,10,half_window,5,0.041003480506127135
8,20,half_window,10,0.1586057937343371
8,30,half_window,15,0.29257960800812954
8,50,half_window,25,0.4634516171066568
8,80,half_window,40,0.5679822332929721
8,100,half_window,50,0.5938385481613704
8,150,half_window,75,0.5820295771406825
8,200,half_window,100,0.5514470045567454
8,10,quarter_window,2,0.010946267770177126
8,20,quarter_window,5,0.0662129330026813
8,30,quarter_window,7,0.09484938418009535
8,50,quarter_window,12,0.1548170466871938
8,80,quarter_window,20,0.20489545151930413
8,100,quarter_window,25,0.24249443662755998
8,150,quarter_window,37,0.2052065651116909
8,200,quarter_window,50,0.19255404328349185
