Position,Value
0,0
1,0
2,0
3,0
4,0
5,0
6,9
7,0
8,0
9,0
10,9
11,20
12,9
13,0
14,0
15,0
16,0
17,0
18,0
19,14
20,0
21,0
22,0
23,12
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,9
32,0
33,0
34,0
35,0
36,0
37,10
38,0
39,0
40,0
41,12
42,0
43,0
44,0
45,13
46,13
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,18
59,0
60,0
61,0
62,11
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,9
75,17
76,0
77,0
78,0
79,0
80,11
81,0
82,0
83,0
84,0
85,14
86,0
87,0
88,0
89,20
90,0
91,0
92,0
93,0
94,0
95,0
96,12
97,0
98,0
99,0
100,0
101,13
102,0
103,8
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,8
113,0
114,0
115,0
116,0
117,0
118,17
119,19
120,0
121,19
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,20
130,0
131,0
132,0
133,21
134,19
135,0
136,8
137,0
138,0
139,0
140,11
141,0
142,0
143,0
144,0
145,0
146,14
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,6
160,0
161,11
162,20
163,13
164,0
165,0
166,0
167,14
168,8
169,0
170,0
171,0
172,14
173,0
174,7
175,10
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,7
184,0
185,0
186,0
187,10
188,7
189,0
190,0
191,0
192,16
193,0
194,0
195,13
196,0
197,0
198,0
199,16
200,0
201,12
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,22
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,17
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,13
230,0
231,0
232,10
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,12
243,0
244,0
245,0
246,0
247,0
248,14
249,0
250,0
251,0
252,14
253,9
254,0
255,0
256,0
257,0
258,0
259,0
260,10
261,0
262,0
263,18
264,15
265,10
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,17
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,13
290,0
291,14
292,0
293,0
294,0
295,0
296,0
297,9
298,0
299,9
300,0
301,0
302,0
303,11
304,0
305,0
306,14
307,0
308,0
309,0
310,0
311,19
312,0
313,16
314,0
315,0
316,0
317,0
318,0
319,0
320,14
321,7
322,0
323,0
324,11
325,0
326,0
327,0
328,0
329,23
330,0
331,0
332,0
333,0
334,5
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,15
344,16
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,11
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,20
363,0
364,0
365,0
366,0
367,0
368,14
369,10
370,17
371,0
372,0
373,0
374,9
375,0
376,0
377,0
378,0
379,17
380,14
381,0
382,0
383,0
384,6
385,14
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,12
405,0
406,0
407,0
408,8
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,16
417,0
418,0
419,0
420,15
421,0
422,0
423,0
424,0
425,15
426,0
427,0
428,34
429,0
430,0
431,0
432,0
433,0
434,0
435,32
436,38
437,0
438,0
439,0
440,36
441,40
442,0
443,32
444,0
445,0
446,33
447,23
448,0
449,19
450,0
451,0
452,0
453,0
454,36
455,26
456,0
457,0
458,0
459,0
460,0
461,0
462,34
463,0
464,25
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,20
473,0
474,0
475,0
476,0
477,0
478,0
479,38
480,0
481,0
482,0
483,0
484,0
485,31
486,0
487,0
488,0
489,0
490,17
491,33
492,0
493,23
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,25
511,0
512,0
513,22
514,0
515,0
516,29
517,31
518,33
519,0
520,0
521,0
522,0
523,0
524,25
525,41
526,0
527,0
528,19
529,0
530,0
531,0
