Bin_Center,mean_density,sd_density,n_datasets,se_density
0.0,0.1134825,0.047398017600431386,560,0.002002931812035085
10000.0,0.11404410714285713,0.05097545188093696,1120,0.0015231829615461145
20000.0,0.09407053571428571,0.041739772445756905,1120,0.0012472142543569018
30000.0,0.08979357142857143,0.042435280204097335,1120,0.0012679965236264646
40000.0,0.09586383928571429,0.05155036602447587,1120,0.0015403618073528318
50000.0,0.07471375,0.03483510484076659,1120,0.0010408978478711813
60000.0,0.07419803571428571,0.034718584409171124,1120,0.0010374161340358091
70000.0,0.08426607142857143,0.045949345878883927,1120,0.0013729993193660871
80000.0,0.07727892857142858,0.042067409229898114,1120,0.001257004275803799
90000.0,0.06548910714285715,0.037064393728897624,1120,0.001107510594310318
100000.0,0.06877642857142857,0.038761291620294784,1120,0.0011582151169832456
110000.0,0.07133625,0.045686483846978904,1120,0.0013651448138450708
120000.0,0.05586705357142857,0.0354519921617478,1120,0.001059330882240491
130000.0,0.05410901785714286,0.03502256924465356,1120,0.0010464994183401195
140000.0,0.06043464285714286,0.04515997852394769,1120,0.001349412458218727
150000.0,0.05299955357142857,0.03793847436515211,1120,0.0011336287488932326
160000.0,0.03605580357142857,0.031911336371065656,1120,0.0009535335548197714
170000.0,0.04135,0.03347104983880436,1050,0.0010329390233751298
180000.0,0.04613091836734694,0.03343953048952736,980,0.0010681866187179998
190000.0,0.04642887755102041,0.03393068300217644,980,0.0010838759102266167
200000.0,0.04615979591836735,0.03904353108611339,980,0.0012471998512882246
210000.0,0.04614571428571428,0.040501858517994475,980,0.0012937844123044934
220000.0,0.044325918367346936,0.03334976284766314,980,0.001065319096583882
230000.0,0.04614571428571429,0.03519619626234372,910,0.0011667425449964765
240000.0,0.051603296703296705,0.04955129877452153,910,0.0016426095595426773
250000.0,0.04129879120879121,0.038093575778455374,910,0.001262789740700563
260000.0,0.03811615384615384,0.03279889572147763,910,0.0010872728058995825
270000.0,0.04794208791208791,0.0425415776437488,910,0.0014102395667493495
280000.0,0.03698318681318681,0.03233666092839619,910,0.0010719498717152779
290000.0,0.04608263736263737,0.04722861522897962,910,0.0015656133497549054
300000.0,0.05573274725274725,0.07051617049709388,910,0.002337588289823513
310000.0,0.058926593406593404,0.12086037811120412,910,0.004006482521452808
320000.0,0.050690549450549446,0.06791894184146194,910,0.0022514909982576086
330000.0,0.03800021978021978,0.049543495130467186,910,0.0016423508712612403
340000.0,0.03947978021978022,0.04215696907696075,910,0.0013974899169094364
350000.0,0.04005208791208791,0.042529339785735275,910,0.0014098338857065009
360000.0,0.030575274725274725,0.030693098339496773,910,0.0010174663024244352
370000.0,0.03033813186813187,0.03374358965034459,910,0.0011185891047005472
380000.0,0.03285869047619047,0.0336247474800683,840,0.0011601640088789375
