Position,Value
0,8
1,2
2,4
3,2
4,0
5,23
6,2
7,2
8,3
9,20
10,1
11,6
12,2
13,1
14,3
15,0
16,0
17,0
18,3
19,2
20,1
21,15
22,0
23,0
24,3
25,0
26,1
27,6
28,22
29,10
30,1
31,1
32,1
33,0
34,5
35,2
36,42
37,10
38,1
39,12
40,49
41,12
42,0
43,0
44,27
45,7
46,2
47,6
48,2
49,7
50,0
51,18
52,0
53,0
54,17
55,0
56,7
57,1
58,46
59,3
60,0
61,0
62,0
63,0
64,14
65,3
66,13
67,12
68,5
69,4
70,6
71,37
72,1
73,0
74,27
75,0
76,13
77,0
78,20
79,1
80,25
81,3
82,3
83,13
84,11
85,0
86,12
87,5
88,0
89,6
90,8
91,1
92,6
93,16
94,0
95,0
96,1
97,2
98,3
99,0
100,4
101,8
102,0
103,15
104,4
105,4
106,1
107,35
108,4
109,5
110,4
111,4
112,1
113,0
114,38
115,1
116,0
117,1
118,3
119,13
120,3
121,6
122,3
123,2
124,11
125,3
126,10
127,7
128,11
129,2
130,9
131,0
132,6
133,28
134,0
135,4
136,3
137,0
138,7
139,4
140,7
141,0
142,2
143,1
144,1
145,9
146,0
147,1
148,10
149,0
150,1
151,3
152,0
153,5
154,12
155,24
156,8
157,1
158,5
159,3
160,8
161,0
162,8
163,0
164,11
165,16
166,2
167,5
168,0
169,0
170,3
171,8
172,3
173,0
174,19
175,1
176,1
177,7
178,0
179,8
180,0
181,2
182,10
183,0
184,4
185,2
186,32
187,2
188,8
189,5
190,2
191,0
192,3
193,3
194,0
195,22
196,6
197,2
198,2
199,7
200,14
201,13
202,13
203,0
204,10
205,1
206,7
207,5
208,9
209,5
210,5
211,0
212,0
213,1
214,22
215,3
216,1
217,1
218,12
219,0
220,0
221,0
222,3
223,0
224,34
225,13
226,3
227,0
228,10
229,3
230,2
231,44
232,0
233,9
234,0
235,2
236,0
237,2
238,0
239,1
240,3
241,6
242,3
243,5
244,6
245,12
246,0
247,31
248,0
249,27
250,0
251,15
252,28
253,2
254,5
255,5
256,7
257,1
258,0
259,7
260,0
261,0
262,1
263,0
264,5
265,1
266,2
267,14
268,9
269,2
270,0
271,5
272,2
273,5
274,65
275,5
276,1
277,9
278,17
279,2
280,0
281,3
282,0
283,8
284,0
285,8
286,7
287,16
288,3
289,16
290,0
291,33
292,10
293,0
294,4
295,13
296,2
297,7
298,1
299,1
300,1
301,4
302,1
303,0
304,8
305,0
306,11
307,1
308,3
309,0
310,1
311,0
312,0
313,0
314,0
315,25
316,0
317,3
318,0
319,4
320,5
321,0
322,2
323,7
324,7
325,17
326,11
327,1
328,32
329,74
330,5
331,5
332,0
333,6
334,7
335,1
336,0
337,18
338,3
339,2
340,28
341,3
342,8
343,21
344,35
345,2
346,30
347,0
348,0
349,2
350,6
351,9
352,0
353,3
354,23
355,0
356,20
357,2
358,3
359,34
360,0
361,0
362,0
363,0
364,6
365,8
366,1
367,9
368,63
369,0
370,7
371,3
372,0
373,3
374,0
375,24
376,0
377,9
378,0
379,35
380,49
381,6
382,13
383,26
384,14
385,0
386,15
387,0
388,9
389,10
390,0
391,62
392,4
393,2
394,8
395,0
396,29
397,5
398,6
399,10
400,3
401,99
402,20
403,1
404,39
405,23
406,5
407,44
408,2
409,12
410,0
411,0
412,12
413,5
414,26
415,4
416,2
417,17
418,3
419,0
420,21
421,36
422,136
423,5
424,3
425,24
426,16
427,43
428,0
429,18
430,6
431,41
432,15
433,23
434,4
435,8
436,24
437,34
438,11
439,9
440,43
441,5
442,13
443,2
444,63
445,16
446,0
447,5
448,5
449,1
450,6
451,0
452,3
453,2
454,27
455,0
456,0
457,3
458,17
459,3
460,0
461,1
462,9
463,2
464,11
465,28
466,0
467,48
468,10
469,0
470,0
471,2
472,3
473,14
474,33
475,0
476,11
477,8
478,0
479,0
480,10
481,0
482,3
483,23
484,56
485,5
486,0
487,2
488,5
489,61
490,1
491,5
492,2
493,7
494,2
495,0
496,35
497,50
498,4
499,7
500,1
501,4
502,4
503,1
504,20
505,14
506,13
507,1
508,2
509,2
510,28
511,10
512,4
513,15
514,62
515,26
516,0
517,1
518,13
519,37
520,0
521,0
522,0
523,4
524,0
525,30
526,9
527,2
528,7
529,0
530,8
531,1
532,6
533,2
534,1
535,0
536,29
537,3
538,14
539,0
540,19
541,8
542,35
543,13
544,55
545,13
546,4
547,5
548,8
549,1
550,3
551,18
552,0
553,23
554,10
555,22
556,17
557,0
558,4
559,4
560,0
561,0
562,7
563,6
564,5
565,2
566,0
567,81
568,12
569,0
570,20
571,15
572,6
573,5
574,5
575,3
576,11
577,21
578,14
579,10
580,8
581,12
582,4
583,7
584,44
585,0
586,34
587,30
588,0
589,35
590,0
591,3
592,0
593,13
594,3
595,33
596,2
597,3
598,13
599,12
600,2
601,1
602,3
603,39
604,8
605,0
606,4
607,0
608,2
609,32
610,10
611,0
612,0
613,9
614,4
615,21
616,39
617,24
618,54
619,8
620,18
621,8
622,36
623,5
624,1
625,5
626,0
627,1
628,0
629,8
630,6
631,0
632,11
633,14
634,25
635,0
636,8
637,12
638,7
639,1
640,6
641,2
642,28
643,6
644,16
645,6
646,0
647,0
648,0
649,0
650,0
651,78
652,0
653,2
654,2
655,0
656,0
657,16
658,0
659,4
660,11
661,0
662,12
663,17
664,5
665,25
666,47
667,58
668,0
669,1
670,5
671,0
672,1
673,1
674,8
675,3
676,0
677,0
678,0
679,0
680,9
681,10
682,5
683,0
684,16
685,0
686,11
687,2
688,2
689,0
690,15
691,25
692,0
693,0
694,7
695,4
696,0
697,39
698,0
699,1
700,8
701,90
702,1
703,28
704,2
705,1
706,23
707,26
708,8
709,7
710,50
711,1
712,2
713,48
714,1
715,5
716,61
717,2
718,2
719,6
720,0
721,1
722,10
723,11
724,20
725,10
726,29
727,5
728,1
729,11
730,7
731,5
732,7
733,23
734,9
735,10
736,8
737,50
738,4
739,7
740,0
741,15
742,0
743,9
744,0
745,2
746,2
747,0
748,1
749,27
750,83
751,16
752,10
753,36
754,0
755,5
756,1
757,22
758,14
759,12
760,20
761,72
762,10
763,15
764,23
765,4
766,23
767,0
768,14
769,4
770,3
771,3
772,27
773,8
774,5
775,15
776,8
777,23
778,19
779,6
780,2
781,3
782,1
783,6
784,0
785,1
786,13
787,1
788,1
789,9
790,2
791,22
792,10
793,1
794,5
795,3
796,0
797,9
798,8
799,22
800,19
801,1
802,0
803,14
804,0
805,34
806,19
807,13
808,0
809,18
810,4
811,1
812,1
813,22
814,39
815,36
816,24
817,1
818,0
819,10
820,7
821,60
822,27
823,0
824,3
825,32
826,0
827,2
828,2
829,2
830,13
831,8
832,4
833,1
834,9
835,1
836,9
837,59
838,8
839,6
840,2
841,1
842,8
843,0
844,21
845,3
846,6
847,2
848,0
849,17
850,41
851,8
852,7
853,0
854,11
855,39
856,2
857,3
858,0
859,13
860,7
861,2
862,25
863,0
864,4
865,14
866,2
867,3
868,0
869,0
870,6
871,7
872,0
873,36
874,0
875,14
876,0
877,54
878,0
879,26
880,103
881,0
882,1
883,4
884,3
885,1
886,0
887,5
888,21
889,44
890,3
891,21
892,11
893,2
894,1
895,7
896,11
897,1
898,5
899,14
900,8
901,3
902,8
903,5
904,9
905,1
906,18
907,0
908,4
909,51
910,3
911,36
912,0
913,8
914,0
915,10
916,4
917,3
918,2
919,14
920,0
921,24
922,7
923,0
924,60
925,1
926,5
927,12
928,61
929,18
930,8
931,4
932,10
933,17
934,2
935,6
936,37
937,25
938,14
939,16
940,3
941,7
942,57
943,7
944,40
945,8
946,0
947,7
948,2
949,11
950,5
951,5
952,1
953,6
954,22
955,4
956,12
957,3
958,2
959,34
960,7
961,2
962,0
963,25
964,15
965,1
966,19
967,6
968,20
969,40
970,0
971,31
972,13
973,27
974,22
975,0
976,7
977,117
978,15
979,0
980,3
981,11
982,5
983,54
984,7
985,38
986,5
987,0
988,8
989,0
990,41
991,5
992,7
993,1
994,6
995,0
996,80
997,0
998,16
999,0
1000,4
1001,11
1002,0
1003,63
1004,1
1005,4
1006,1
1007,5
1008,0
1009,118
1010,2
1011,15
1012,6
1013,3
1014,0
1015,6
1016,2
1017,0
1018,9
1019,48
1020,1
1021,13
1022,1
1023,1
1024,0
1025,0
1026,1
1027,0
1028,1
1029,0
1030,0
1031,0
1032,29
1033,7
1034,9
1035,0
1036,19
1037,1
1038,37
1039,0
1040,14
1041,18
1042,23
1043,6
1044,1
1045,1
1046,0
1047,4
1048,0
1049,8
1050,18
1051,1
1052,0
1053,38
1054,12
1055,0
1056,22
1057,9
1058,0
1059,31
1060,0
1061,23
1062,12
1063,0
1064,1
1065,99
1066,0
1067,11
1068,1
1069,11
1070,0
1071,9
1072,90
1073,1
1074,34
1075,0
1076,1
1077,11
1078,2
1079,18
1080,2
1081,0
1082,3
1083,5
1084,2
1085,0
1086,19
1087,0
1088,22
1089,12
1090,12
1091,2
1092,8
1093,15
1094,0
1095,0
1096,39
1097,15
1098,23
1099,0
1100,6
1101,0
1102,12
1103,0
1104,39
1105,0
1106,1
1107,1
1108,0
1109,0
1110,19
1111,0
1112,19
1113,45
1114,16
1115,7
1116,0
1117,20
1118,34
1119,23
1120,5
1121,5
1122,13
1123,22
1124,44
1125,0
1126,34
1127,10
1128,1
1129,7
1130,2
1131,11
1132,0
1133,9
1134,8
1135,47
1136,3
1137,25
1138,7
1139,0
1140,3
1141,0
1142,5
1143,21
1144,2
1145,8
1146,13
1147,50
1148,12
1149,30
1150,9
1151,48
1152,22
1153,2
1154,1
1155,7
1156,1
1157,10
1158,0
1159,2
1160,2
1161,70
1162,2
1163,0
1164,1
1165,5
1166,0
1167,25
1168,2
1169,17
1170,32
1171,1
1172,0
1173,1
1174,36
1175,0
1176,2
1177,5
1178,10
1179,4
1180,20
1181,0
1182,5
1183,0
1184,6
1185,6
1186,0
1187,68
1188,16
1189,7
1190,1
1191,10
1192,4
1193,0
1194,0
1195,7
1196,26
1197,0
1198,8
1199,3
1200,51
1201,5
1202,17
1203,18
1204,9
1205,44
1206,0
1207,6
1208,4
1209,0
1210,0
1211,24
1212,0
1213,3
1214,77
1215,1
1216,12
1217,0
1218,1
1219,69
1220,7
1221,1
1222,4
1223,0
1224,1
1225,16
1226,16
1227,0
1228,0
1229,19
1230,15
1231,9
1232,1
1233,4
1234,0
1235,15
1236,2
1237,0
1238,16
1239,0
1240,10
1241,0
1242,62
1243,65
1244,11
1245,8
1246,2
