true_pi,true_mu,true_theta,replicate,sample_size,est_pi_full,est_mu_full,est_theta_full,converged_full,rel_error_pi_full,rel_error_mu_full,rel_error_theta_full,est_pi_fixed,est_mu_fixed,converged_fixed,rel_error_pi_fixed,rel_error_mu_fixed
0.3,1,0.1,0,1000,0.8574347298693688,4.938089054612895,5.035075376884422,True,1.858115766231229,3.9380890546128953,49.35075376884422,0.3790102656105013,1.1336741350355966,False,0.2633675520350043,0.13367413503559655
0.3,1,0.1,1,1000,0.8406900981364333,4.5257701597071165,5.035075376884422,True,1.8023003271214444,3.5257701597071165,49.35075376884422,0.2853511813700484,1.0088871361772125,False,-0.048829395433171996,0.008887136177212485
0.3,1,0.1,2,1000,0.8426123334349596,5.216418909551087,5.035075376884422,True,1.8087077781165317,4.216418909551087,49.35075376884422,0.3276809466231532,1.221146412371292,False,0.09226982207717746,0.22114641237129207
0.3,1,0.1,3,1000,0.8397103687127905,4.878668655733575,5.035075376884422,True,1.7990345623759683,3.878668655733575,49.35075376884422,0.2993479506585203,1.1161032080545208,False,-0.0021734978049322193,0.11610320805452079
0.3,1,0.1,4,1000,0.8360038592415653,3.9269216764594876,5.035075376884422,True,1.7866795308052175,2.9269216764594876,49.35075376884422,0.22944100789081176,0.8357569071217135,False,-0.23519664036396076,-0.16424309287828653
0.3,1,0.1,5,1000,0.852610459711246,4.355804345018261,5.035075376884422,True,1.8420348657041534,3.355804345018261,49.35075376884422,0.32934237121989707,0.9572693613696306,False,0.0978079040663236,-0.04273063863036941
0.3,1,0.1,6,1000,0.8670408298736734,4.640522345422112,5.035075376884422,True,1.8901360995789112,3.640522345422112,49.35075376884422,0.4079600880768003,1.0421594686002151,False,0.359866960256001,0.04215946860021513
0.3,1,0.1,7,1000,0.8368773083989061,4.628417987647627,5.035075376884422,True,1.7895910279963534,3.6284179876476266,49.35075376884422,0.27414308648345576,1.0401499054989594,False,-0.08618971172181411,0.04014990549895936
0.3,1,0.1,8,1000,0.8515411007922699,4.667958631636645,5.035075376884422,True,1.8384703359742331,3.667958631636645,49.35075376884422,0.34060869696239093,1.05096927546294,False,0.13536232320796981,0.050969275462940056
0.3,1,0.1,9,1000,0.8505712225508012,4.6911981210467895,5.035075376884422,True,1.835237408502671,3.6911981210467895,49.35075376884422,0.3374787613827248,1.0580792873342935,False,0.12492920460908274,0.05807928733429346
0.3,1,0.5,0,1000,0.6368176852439165,1.8861050556937287,5.035075376884422,True,1.1227256174797215,0.8861050556937287,9.070150753768845,0.3128964863360168,0.9969385782168889,True,0.0429882877867227,-0.0030614217831110846
0.3,1,0.5,1,1000,0.6337830701442256,1.8240554860832774,5.035075376884422,True,1.1126102338140855,0.8240554860832774,9.070150753768845,0.3024979276736493,0.9577032477796753,False,0.008326425578831047,-0.042296752220324696
0.3,1,0.5,2,1000,0.6233536177431531,1.9089523592176487,5.035075376884422,True,1.0778453924771771,0.9089523592176487,9.070150753768845,0.2891567301782425,1.011474723788674,True,-0.036144232739191616,0.01147472378867409
0.3,1,0.5,3,1000,0.5816099779109634,1.663519594766736,5.035075376884422,True,0.938699926369878,0.663519594766736,9.070150753768845,0.18904539066357398,0.8582477884545363,False,-0.3698486977880867,-0.1417522115454637
0.3,1,0.5,4,1000,0.630280014530818,2.039381233457421,5.035075376884422,True,1.1009333817693931,1.039381233457421,9.070150753768845,0.31162721667479015,1.0953367394303062,True,0.038757388915967216,0.09533673943030618
0.3,1,0.5,5,1000,0.6365118006746575,2.063340712001239,5.035075376884422,True,1.1217060022488585,1.063340712001239,9.070150753768845,0.324872729379866,1.1109016516413153,True,0.0829090979328867,0.11090165164131527
0.3,1,0.5,6,1000,0.6386095866285006,1.9729355666860364,5.035075376884422,True,1.1286986220950022,0.9729355666860364,9.070150753768845,0.32251886191657386,1.0524278240676275,True,0.07506287305524625,0.05242782406762747
0.3,1,0.5,7,1000,0.6486872639730945,2.06368834844768,5.035075376884422,True,1.162290879910315,1.06368834844768,9.070150753768845,0.3475097170995836,1.1111276581426883,True,0.15836572366527876,0.11112765814268832
0.3,1,0.5,8,1000,0.6513030629497897,2.1623361718586818,5.035075376884422,True,1.1710102098326323,1.1623361718586818,9.070150753768845,0.35869410918126615,1.1757259847362285,True,0.19564703060422056,0.17572598473622847
0.3,1,0.5,9,1000,0.6198633302455951,1.841442974844415,5.035075376884422,True,1.0662111008186506,0.841442974844415,9.070150753768845,0.2773596069235572,0.9686699037400089,False,-0.07546797692147593,-0.03133009625999106
0.3,1,1.0,0,1000,0.506392396042511,1.426234106516379,5.035075376884422,True,0.6879746534750366,0.42623410651637905,4.035075376884422,0.29199394458595784,0.9943417780350771,True,-0.026686851380140486,-0.005658221964922938
0.3,1,1.0,1,1000,0.48597873768526756,1.4746471704041704,5.035075376884422,True,0.6199291256175586,0.47464717040417037,4.035075376884422,0.2656313878038504,1.0321791909558609,True,-0.11456204065383188,0.03217919095586086
0.3,1,1.0,2,1000,0.5087185161042045,1.2701476046924556,5.035075376884422,True,0.6957283870140151,0.2701476046924556,4.035075376884422,0.28594559260222024,0.8738829892165163,False,-0.04684802465926582,-0.1261170107834837
0.3,1,1.0,3,1000,0.4852745114704052,1.2938935701485228,5.035075376884422,True,0.6175817049013507,0.2938935701485228,4.035075376884422,0.25341556671570414,0.8920625321240664,False,-0.15528144428098617,-0.10793746787593361
0.3,1,1.0,4,1000,0.5270322335193425,1.43350149428783,5.035075376884422,True,0.7567741117311416,0.4335014942878299,4.035075376884422,0.322004716418881,1.0000069564184226,True,0.0733490547296034,6.956418422632282e-06
0.3,1,1.0,5,1000,0.5090073343044091,1.4623436359946582,5.035075376884422,True,0.6966911143480305,0.4623436359946582,4.035075376884422,0.29782873928952835,1.0225425621571478,True,-0.0072375357015721144,0.022542562157147783
0.3,1,1.0,6,1000,0.5219020524209617,1.4557686422298197,5.035075376884422,True,0.7396735080698723,0.4557686422298197,4.035075376884422,0.3159017719232111,1.0173977528880183,True,0.05300590641070376,0.01739775288801826
0.3,1,1.0,7,1000,0.4906574307387148,1.2683016087520689,5.035075376884422,True,0.6355247691290494,0.2683016087520689,4.035075376884422,0.25958402207465053,0.8724825223384514,False,-0.13471992641783154,-0.12751747766154864
0.3,1,1.0,8,1000,0.4949836007224867,1.489060555411322,5.035075376884422,True,0.6499453357416224,0.4890605554113221,4.035075376884422,0.27933833300035743,1.0434855001110708,True,-0.06887222333214187,0.043485500111070774
0.3,1,1.0,9,1000,0.5275145087898323,1.398984756774211,5.035075376884422,True,0.7583816959661077,0.3989847567742111,4.035075376884422,0.32075638561518577,0.9731412795078873,True,0.06918795205061927,-0.026858720492112687
0.3,1,5.0,0,1000,0.3272142790425902,0.9542414174403108,5.035075376884422,True,0.09071426347530073,-0.04575858255968923,0.007015075376884461,0.32664515442898506,0.9534348853695032,True,0.08881718142995025,-0.04656511463049684
0.3,1,5.0,1,1000,0.28736709066084615,0.9654339435965752,5.035075376884422,True,-0.04210969779717948,-0.034566056403424805,0.007015075376884461,0.28676590002187596,0.9646201717235646,True,-0.044113666593746756,-0.03537982827643538
0.3,1,5.0,2,1000,0.3229825271167188,0.9778181900988098,5.035075376884422,True,0.07660842372239611,-0.02218180990119023,0.007015075376884461,0.322414276295253,0.9769981521754456,True,0.07471425431751,-0.02300184782455439
0.3,1,5.0,3,1000,0.3055862603936811,0.9893237429165473,5.035075376884422,True,0.018620867978936993,-0.010676257083452656,0.007015075376884461,0.30500563538486536,0.9884972238306398,True,0.016685451282884567,-0.01150277616936024
0.3,1,5.0,4,1000,0.3316392268071709,1.2014469313690945,15.085226130653266,True,0.10546408935723636,0.20144693136909453,2.0170452261306533,0.2763819435867311,1.1097014410892407,True,-0.07872685471089622,0.10970144108924074
0.3,1,5.0,5,1000,0.2969503949235817,1.0810048032348891,5.035075376884422,True,-0.010165350254727572,0.08100480323488912,0.007015075376884461,0.296380134729235,1.0801286852632264,True,-0.012066217569216553,0.08012868526322636
0.3,1,5.0,6,1000,0.28128303520401093,0.9433477059950204,5.035075376884422,True,-0.062389882653296855,-0.05665229400497962,0.007015075376884461,0.28067226441358745,0.9425467230834338,True,-0.06442578528804181,-0.05745327691656621
0.3,1,5.0,7,1000,0.2905214519573918,1.019058295694347,5.035075376884422,True,-0.031595160142027234,0.019058295694347027,0.007015075376884461,0.28993344698080603,1.0182144151499786,True,-0.03355517673064653,0.01821441514997857
0.3,1,5.0,8,1000,0.3571829748647791,1.0734003192508066,10.060150753768845,True,0.19060991621593046,0.07340031925080659,1.012030150753769,0.31644070853970874,1.0094223114515044,True,0.05480236179902916,0.009422311451504406
0.3,1,5.0,9,1000,0.41306484158802537,1.139819263528295,55.28582914572865,True,0.37688280529341794,0.1398192635282951,10.05716582914573,0.3428130999402976,1.0179752516966245,True,0.14271033313432546,0.017975251696624506
0.3,1,10.0,0,1000,0.3258985002360745,1.1140755513272185,15.085226130653266,True,0.08632833412024829,0.11407555132721847,0.5085226130653266,0.3114929027314502,1.0907658076138538,True,0.038309675771500684,0.09076580761385378
0.3,1,10.0,1,1000,0.2727635787906579,0.8511674909937093,10.060150753768845,True,-0.09078807069780703,-0.14883250900629075,0.006015075376884482,0.27246875207696586,0.85082256159736,True,-0.09177082641011378,-0.14917743840263997
0.3,1,10.0,2,1000,0.1905314677471075,0.8808248518513699,5.035075376884422,False,-0.36489510750964166,-0.11917514814863006,-0.49649246231155775,0.2399763974898692,0.9381287602716206,True,-0.20007867503376928,-0.06187123972837938
0.3,1,10.0,3,1000,0.33437350569850494,1.0050681661973884,20.11030150753769,True,0.11457835232834983,0.0050681661973883685,1.0110301507537691,0.31198040749984457,0.9723560306894149,True,0.0399346916661486,-0.027643969310585104
0.3,1,10.0,4,1000,0.19504913769878873,0.9292492685349775,10.060150753768845,False,-0.3498362076707042,-0.07075073146502253,0.006015075376884482,0.19473184468789873,0.9288831242930428,False,-0.35089385104033755,-0.07111687570695724
