dataset_id,window_size,tolerance_type,tolerance_value,auc
2,10,full_window,10,0.06671567454652647
2,20,full_window,20,0.22426142474477412
2,30,full_window,30,0.38347847737391116
2,50,full_window,50,0.5643926746359236
2,80,full_window,80,0.6916684421072263
2,100,full_window,100,0.7219620182585271
2,150,full_window,150,0.7436912475086263
2,200,full_window,200,0.6869870528392716
2,10,half_window,5,0.03745261598517028
2,20,half_window,10,0.13979802379738054
2,30,half_window,15,0.2620858032825773
2,50,half_window,25,0.3914976670983753
2,80,half_window,40,0.5197446864311236
2,100,half_window,50,0.5203735534235638
2,150,half_window,75,0.5671847996436556
2,200,half_window,100,0.5196829563614742
2,10,quarter_window,2,0.008991358116629792
2,20,quarter_window,5,0.06556264901663787
2,30,quarter_window,7,0.09385663783492135
2,50,quarter_window,12,0.15414064309391168
2,80,quarter_window,20,0.1913162378122641
2,100,quarter_window,25,0.20375210747419426
2,150,quarter_window,37,0.2036560935836792
2,200,quarter_window,50,0.19044386147610998
