dataset_id,window_size,tolerance_type,tolerance_value,auc
7,10,full_window,10,0.05975526445230337
7,20,full_window,20,0.22078627271735893
7,30,full_window,30,0.4057814349015372
7,50,full_window,50,0.6012461729192428
7,80,full_window,80,0.7006259368021817
7,100,full_window,100,0.7396566467825502
7,150,full_window,150,0.7608675533540741
7,200,full_window,200,0.717532030484592
7,10,half_window,5,0.03124556239696909
7,20,half_window,10,0.13625738571295987
7,30,half_window,15,0.29170736677802356
7,50,half_window,25,0.4305486663785154
7,80,half_window,40,0.5425218759767385
7,100,half_window,50,0.5632927046739467
7,150,half_window,75,0.5989751051218841
7,200,half_window,100,0.5712601992377585
7,10,quarter_window,2,0.0072898923976974376
7,20,quarter_window,5,0.0641601311115162
7,30,quarter_window,7,0.11923881357324952
7,50,quarter_window,12,0.17926579379174856
7,80,quarter_window,20,0.2113154188587053
7,100,quarter_window,25,0.2158529262827832
7,150,quarter_window,37,0.2127637127358915
7,200,quarter_window,50,0.21211073668983765
