Count,Frequency,Percentage
1,71558,15.42297993404746
2,33543,7.2295622561803565
3,23652,5.097743388581158
4,18547,3.997456732116301
5,15334,3.3049550617496823
6,13126,2.8290622238506797
7,11601,2.5003771795590235
8,10145,2.1865637864517105
9,9177,1.9779296075177275
10,8303,1.7895553591827058
11,7509,1.6184236049744596
12,7066,1.5229432937474408
13,6465,1.39340905662004
14,6130,1.3212061124641679
15,5866,1.264305881845809
16,5365,1.1563247623768778
17,4969,1.0709744164493396
18,4803,1.0351962411362805
19,4569,0.9847619458154622
20,4303,0.9274306528439339
21,4229,0.9114813457766666
22,3866,0.8332435286764232
23,3890,0.8384162769144556
24,3656,0.7879819815936375
25,3383,0.7291419703860164
26,3317,0.7149169127314267
27,3336,0.7190120050865357
28,3143,0.67741448800569
29,2973,0.6407741879862922
30,2876,0.619867663857577
31,2805,0.6045649503200637
32,2668,0.5750371791279608
33,2618,0.5642606202987263
34,2548,0.5491734379377977
35,2488,0.5362415673427161
36,2299,0.4955061749682092
37,2264,0.48796258378774493
38,2246,0.48408302260922037
39,2049,0.4416233808220359
40,2154,0.4642541543634287
41,2037,0.4390370067030196
42,1967,0.42394982434209105
43,1963,0.4230876996357523
44,1904,0.4103713602172554
45,1882,0.40562967433239216
46,1719,0.3704980925490872
47,1735,0.3739465913744423
48,1604,0.34571200724184753
49,1708,0.3681272496066556
50,1588,0.34226350841649245
51,1609,0.346789663124771
52,1512,0.3258831389960558
53,1558,0.33579757311895164
54,1526,0.3289005754682415
55,1478,0.3185550789921762
56,1421,0.3062698019268487
57,1358,0.29269133780201306
58,1400,0.30174364721857017
59,1327,0.2860098713278876
60,1343,0.28945837015324266
61,1290,0.27803521779425394
62,1274,0.27458671896889886
63,1274,0.27458671896889886
64,1230,0.26510334719917233
65,1140,0.24570554130654998
66,1173,0.2528180701338449
67,1074,0.23148048365196025
68,1157,0.24936957130848977
69,1038,0.2237213612949113
70,1046,0.22544561070758887
71,1026,0.22113498717589497
72,1039,0.22393689247149598
73,950,0.20475461775545833
74,965,0.2079875854042287
75,967,0.20841864775739813
76,921,0.19850421363450224
77,864,0.18621893656917474
78,911,0.19634890186865528
79,919,0.19807315128133285
80,869,0.1872965924520982
81,847,0.18255490656723497
82,818,0.17630450244627885
83,828,0.17845981421212578
84,833,0.17953747009504925
85,818,0.17630450244627885
86,835,0.17996853244821864
87,815,0.17565790891652477
88,784,0.1689764424423993
89,786,0.16940750479556868
90,747,0.16100178890876565
91,744,0.16035519537901158
92,687,0.14806991831368407
93,708,0.15259607302196262
94,665,0.1433282324288208
95,685,0.14763885596051468
96,652,0.1405263271332198
97,722,0.15561350949414832
98,681,0.14677673125417592
99,630,0.13578464124835657
100,650,0.14009526478005044
101,629,0.1355691100717719
102,659,0.1420350453693127
103,616,0.13276720477617088
104,541,0.11660236653231891
105,610,0.1314740177166627
106,555,0.1196198030045046
107,546,0.11768002241524236
108,561,0.12091299006401275
109,564,0.12155958359376684
110,549,0.11832661594499644
111,545,0.11746449123865768
112,548,0.11811108476841176
113,548,0.11811108476841176
114,522,0.11250727417720972
115,553,0.11918874065133522
116,525,0.11315386770696381
117,557,0.120050865357674
118,494,0.10647240123283833
119,513,0.11056749358794749
120,522,0.11250727417720972
121,510,0.10992090005819341
122,482,0.10388602711382201
123,476,0.10259284005431385
124,475,0.10237730887772917
125,453,0.09763562299286592
126,439,0.09461818652068021
127,401,0.08642800181046188
128,437,0.09418712416751082
129,393,0.08470375239778434
130,465,0.10022199711188222
131,413,0.08901437592947821
132,386,0.0831950341616915
133,410,0.08836778239972412
134,455,0.0980666853460353
135,403,0.08685906416363127
136,409,0.08815225122313942
137,387,0.08341056533827618
138,423,0.09116968769532513
139,425,0.09160075004849452
140,380,0.08190184710218333
141,373,0.08039312886609047
142,366,0.07888441062999764
143,388,0.08362609651486087
144,393,0.08470375239778434
145,384,0.0827639718085221
146,350,0.07543591180464254
147,351,0.07565144298122724
148,355,0.07651356768756601
149,378,0.08147078474901395
150,334,0.07198741297928744
151,322,0.06940103886027114
152,315,0.06789232062417828
153,308,0.06638360238808544
154,329,0.07090975709636399
155,310,0.06681466474125483
156,326,0.0702631635666099
157,289,0.06228851003297627
158,328,0.07069422591977931
159,300,0.0646593529754079
160,297,0.06401275944565381
161,292,0.06293510356273035
162,308,0.06638360238808544
163,326,0.0702631635666099
164,293,0.06315063473931504
165,330,0.07112528827294869
166,302,0.06509041532857728
167,262,0.05646916826518956
168,291,0.06271957238614566
169,270,0.0581934176778671
170,290,0.06250404120956096
171,255,0.054960450029096705
172,266,0.057331292971528336
173,272,0.05862448003103649
174,232,0.05000323296764877
175,257,0.0553915123822661
176,251,0.05409832532275794
177,255,0.054960450029096705
178,256,0.0551759812056814
179,261,0.05625363708860486
180,256,0.0551759812056814
181,249,0.05366726296958855
182,213,0.0459081406125396
183,240,0.05172748238032631
184,239,0.05151195120374162
185,221,0.04763239002521715
186,237,0.05108088885057223
187,222,0.04784792120180184
188,213,0.0459081406125396
189,236,0.050865357673987546
190,235,0.05064982649740285
191,194,0.04181304825743044
192,210,0.04526154708278552
193,220,0.047416858848632455
194,208,0.04483048472961614
195,230,0.04957217061447938
196,193,0.04159751708084575
197,212,0.04569260943595491
198,230,0.04957217061447938
199,194,0.04181304825743044
200,207,0.044614953553031446
201,202,0.043537297670107986
202,201,0.04332176649352329
203,174,0.03750242472573658
204,233,0.050218764144233465
205,193,0.04159751708084575
206,177,0.038149018255490656
207,173,0.037286893549151885
208,197,0.04245964178718452
209,188,0.04051986119792228
210,213,0.0459081406125396
211,202,0.043537297670107986
212,177,0.038149018255490656
213,172,0.03707136237256719
214,187,0.040304330021337584
215,187,0.040304330021337584
216,184,0.03965773649158351
217,160,0.034484988253550876
218,181,0.03901114296182943
219,170,0.0366403000193978
220,167,0.03599370648964372
221,170,0.0366403000193978
222,166,0.03577817531305903
223,163,0.03513158178330495
224,172,0.03707136237256719
225,166,0.03577817531305903
226,147,0.03168308295794987
227,144,0.03103648942819579
228,149,0.03211414531111925
229,145,0.03125202060478048
230,179,0.03858008060866004
231,162,0.03491605060672026
232,142,0.0306054270750264
233,147,0.03168308295794987
234,140,0.030174364721857017
235,139,0.029958833545272325
236,141,0.03038989589844171
237,151,0.03254520766428864
238,141,0.03038989589844171
239,156,0.033622863547212105
240,136,0.029312240015518246
241,123,0.026510334719917233
242,134,0.02888117766234886
243,151,0.03254520766428864
244,114,0.024570554130655002
245,113,0.024355022954070306
246,119,0.025648210013578462
247,142,0.0306054270750264
248,126,0.02715692824967131
249,127,0.02737245942625601
250,104,0.02241524236480807
251,146,0.03146755178136518
252,121,0.02607927236674785
253,120,0.025863741190163155
254,132,0.02845011530917947
255,153,0.03297627001745802
256,129,0.027803521779425393
257,125,0.026941397073086622
258,95,0.020475461775545833
259,125,0.026941397073086622
260,133,0.028665646485764168
261,112,0.024139491777485613
262,99,0.021337586481884604
263,109,0.023492898247731535
264,125,0.026941397073086622
265,111,0.02392396060090092
266,112,0.024139491777485613
267,117,0.025217147660409077
268,116,0.025001616483824384
269,99,0.021337586481884604
270,134,0.02888117766234886
271,114,0.024570554130655002
272,105,0.02263077354139276
273,116,0.025001616483824384
274,104,0.02241524236480807
275,105,0.02263077354139276
276,95,0.020475461775545833
277,108,0.023277367071146842
278,88,0.01896674353945298
279,90,0.01939780589262237
280,112,0.024139491777485613
281,112,0.024139491777485613
282,94,0.02025993059896114
283,96,0.020690992952130526
284,106,0.022846304717977457
285,96,0.020690992952130526
286,100,0.021553117658469297
287,91,0.01961333706920706
288,90,0.01939780589262237
289,82,0.017673556479944827
290,95,0.020475461775545833
291,83,0.017889087656529516
292,85,0.0183201500096989
293,92,0.019828868245791754
294,94,0.02025993059896114
295,99,0.021337586481884604
296,100,0.021553117658469297
297,90,0.01939780589262237
298,100,0.021553117658469297
299,98,0.02112205530529991
300,79,0.017026962950190745
301,75,0.016164838243851974
302,82,0.017673556479944827
303,83,0.017889087656529516
304,80,0.017242494126775438
305,79,0.017026962950190745
306,58,0.012500808241912192
307,68,0.014656120007759123
308,97,0.02090652412871522
309,91,0.01961333706920706
310,71,0.0153027135375132
311,62,0.013362932948250965
312,70,0.015087182360928509
313,75,0.016164838243851974
314,70,0.015087182360928509
315,73,0.01573377589068259
316,68,0.014656120007759123
317,76,0.016380369420436667
318,72,0.015518244714097894
319,70,0.015087182360928509
320,78,0.016811431773606052
321,62,0.013362932948250965
322,71,0.0153027135375132
323,67,0.01444058883117443
324,65,0.014009526478005045
325,80,0.017242494126775438
326,58,0.012500808241912192
327,82,0.017673556479944827
328,78,0.016811431773606052
329,68,0.014656120007759123
330,74,0.015949307067267278
331,60,0.012931870595081578
332,66,0.014225057654589736
333,57,0.012285277065327501
334,76,0.016380369420436667
335,58,0.012500808241912192
336,62,0.013362932948250965
337,75,0.016164838243851974
338,76,0.016380369420436667
339,70,0.015087182360928509
340,46,0.009914434122895877
341,62,0.013362932948250965
342,59,0.012716339418496887
343,58,0.012500808241912192
344,48,0.010345496476065263
345,54,0.011638683535573421
346,61,0.013147401771666272
347,55,0.011854214712158114
348,49,0.010561027652649956
349,68,0.014656120007759123
350,66,0.014225057654589736
351,55,0.011854214712158114
352,81,0.01745802530336013
353,52,0.011207621182404036
354,55,0.011854214712158114
355,62,0.013362932948250965
356,46,0.009914434122895877
357,53,0.011423152358988728
358,55,0.011854214712158114
359,49,0.010561027652649956
360,57,0.012285277065327501
361,45,0.009698902946311184
362,51,0.010992090005819341
363,53,0.011423152358988728
364,48,0.010345496476065263
365,59,0.012716339418496887
366,56,0.012069745888742807
367,51,0.010992090005819341
368,47,0.01012996529948057
369,51,0.010992090005819341
370,57,0.012285277065327501
371,47,0.01012996529948057
372,58,0.012500808241912192
373,43,0.009267840593141797
374,52,0.011207621182404036
375,44,0.00948337176972649
376,46,0.009914434122895877
377,42,0.009052309416557104
378,43,0.009267840593141797
379,50,0.010776558829234648
380,50,0.010776558829234648
381,52,0.011207621182404036
382,47,0.01012996529948057
383,37,0.007974653533633639
384,43,0.009267840593141797
385,47,0.01012996529948057
386,47,0.01012996529948057
387,39,0.008405715886803026
388,42,0.009052309416557104
389,43,0.009267840593141797
390,53,0.011423152358988728
391,45,0.009698902946311184
392,43,0.009267840593141797
393,48,0.010345496476065263
394,39,0.008405715886803026
395,39,0.008405715886803026
396,36,0.007759122357048947
397,36,0.007759122357048947
398,43,0.009267840593141797
399,47,0.01012996529948057
400,32,0.006896997650710175
401,46,0.009914434122895877
402,35,0.007543591180464254
403,40,0.008621247063387719
404,43,0.009267840593141797
405,45,0.009698902946311184
406,38,0.008190184710218333
407,38,0.008190184710218333
408,32,0.006896997650710175
409,37,0.007974653533633639
410,34,0.0073280600038795616
411,35,0.007543591180464254
412,45,0.009698902946311184
413,44,0.00948337176972649
