Position,Value
0,0
1,0
2,0
3,0
4,0
5,30
6,0
7,0
8,21
9,0
10,0
11,22
12,21
13,0
14,23
15,0
16,0
17,0
18,0
19,52
20,0
21,0
22,0
23,0
24,0
25,0
26,27
27,0
28,0
29,0
30,0
31,25
32,0
33,32
34,0
35,32
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,31
49,16
50,0
51,0
52,26
53,0
54,0
55,0
56,0
57,32
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,28
75,28
76,0
77,38
78,0
79,0
80,0
81,0
82,0
83,0
84,35
85,0
86,0
87,35
88,0
89,0
90,0
91,0
92,28
93,0
94,0
95,26
96,36
97,0
98,37
99,0
100,0
101,19
102,0
103,0
104,0
105,25
106,0
107,0
108,33
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,30
120,22
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,35
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,23
165,0
166,27
167,0
168,24
169,0
170,0
171,0
172,0
173,29
174,0
175,0
176,32
177,0
178,15
179,0
180,0
181,31
182,0
183,0
184,0
185,0
186,19
187,17
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,30
201,0
202,0
203,28
204,0
205,0
206,24
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,22
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,34
229,0
230,0
231,0
232,0
233,0
234,0
235,26
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,35
245,0
246,0
247,25
248,0
249,26
250,0
251,28
252,0
253,0
254,0
255,0
256,0
257,0
258,37
259,0
260,0
261,0
262,0
263,0
264,0
265,23
266,0
267,0
268,33
269,0
270,0
271,0
272,0
273,0
274,32
275,26
276,0
277,0
278,0
279,0
280,0
281,20
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,41
299,22
300,0
301,0
302,0
303,0
304,0
305,21
306,0
307,0
308,0
309,36
310,0
311,0
312,0
313,38
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,23
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,36
361,0
362,30
363,36
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,46
389,34
390,42
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,32
404,52
405,0
406,45
407,0
408,39
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,40
421,0
422,47
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,35
432,36
433,0
434,33
435,0
436,0
437,0
438,0
439,0
440,41
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,33
449,0
450,35
451,0
452,0
453,37
454,0
455,0
456,0
457,0
458,0
459,0
460,36
461,30
462,0
463,0
464,0
465,0
466,0
467,39
468,0
469,0
470,0
471,38
472,0
473,0
474,0
475,0
476,34
477,36
478,40
479,0
480,39
481,45
482,0
483,27
484,0
485,43
486,43
487,0
488,0
489,0
490,0
491,50
492,0
493,27
494,0
495,0
496,41
497,0
498,0
499,24
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,42
513,31
514,0
515,37
516,0
517,0
518,0
519,51
520,0
521,29
522,0
523,0
524,0
525,51
526,0
527,0
528,0
529,0
530,0
531,0
