Position,Value
0,7
1,10
2,0
3,41
4,7
5,1
6,15
7,2
8,37
9,5
10,6
11,1
12,6
13,4
14,6
15,3
16,67
17,1
18,5
19,0
20,4
21,20
22,1
23,0
24,2
25,23
26,0
27,6
28,11
29,21
30,42
31,3
32,0
33,15
34,4
35,5
36,42
37,3
38,0
39,0
40,0
41,2
42,0
43,22
44,11
45,0
46,8
47,0
48,7
49,0
50,7
51,12
52,0
53,1
54,8
55,0
56,0
57,5
58,2
59,0
60,0
61,30
62,0
63,0
64,16
65,3
66,5
67,8
68,22
69,14
70,6
71,0
72,19
73,0
74,1
75,3
76,43
77,3
78,2
79,0
80,4
81,13
82,15
83,7
84,10
85,2
86,0
87,0
88,8
89,12
90,0
91,1
92,4
93,0
94,12
95,8
96,12
97,16
98,3
99,30
100,20
101,2
102,13
103,5
104,9
105,4
106,4
107,8
108,3
109,4
110,23
111,8
112,3
113,0
114,54
115,0
116,0
117,8
118,3
119,1
120,2
121,2
122,7
123,5
124,5
125,22
126,25
127,31
128,6
129,3
130,0
131,14
132,1
133,6
134,2
135,33
136,11
137,6
138,26
139,8
140,5
141,13
142,36
143,11
144,9
145,4
146,0
147,21
148,7
149,0
150,18
151,47
152,1
153,11
154,1
155,7
156,1
157,0
158,0
159,39
160,21
161,7
162,2
163,6
164,7
165,39
166,0
167,11
168,3
169,5
170,0
171,2
172,8
173,0
174,4
175,1
176,4
177,5
178,17
179,0
180,4
181,16
182,10
183,0
184,0
185,0
186,21
187,40
188,3
189,19
190,0
191,0
192,30
193,3
194,15
195,1
196,7
197,3
198,0
199,7
200,5
201,2
202,11
203,1
204,0
205,6
206,2
207,6
208,0
209,3
210,2
211,4
212,0
213,13
214,0
215,13
216,3
217,0
218,18
219,7
220,0
221,8
222,6
223,34
224,4
225,0
226,0
227,46
228,3
229,1
230,1
231,3
232,4
233,5
234,0
235,0
236,15
237,3
238,0
239,4
240,0
241,25
242,31
243,2
244,15
245,12
246,2
247,0
248,0
249,2
250,6
251,2
252,3
253,22
254,4
255,33
256,2
257,1
258,0
259,0
260,2
261,3
262,16
263,5
264,1
265,2
266,31
267,1
268,5
