window_size,threshold,tolerance_type,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,tolerance_value_first,num_detected_mean,num_true_mean
10,0.0,full_window,0.04089084823154683,0.0010266485948361717,10,0.9547728826725713,0.00620752151768498,10,10,33380.5,965.1
10,0.0,half_window,0.022775263896381286,0.0007730763617910153,10,0.7559434774123068,0.017529288914782507,10,5,33380.5,965.1
10,0.0,quarter_window,0.010805206218568111,0.00029342849707670183,10,0.37388332000770913,0.013319908204074665,10,2,33380.5,965.1
10,1.0,full_window,0.05241719317138645,0.002362141418392543,10,0.7062363165733984,0.016678156488773598,10,10,16152.1,965.1
10,1.0,half_window,0.03205258211904431,0.001586242209337574,10,0.5229225470810288,0.01917078517539784,10,5,16152.1,965.1
10,1.0,quarter_window,0.015772106418136124,0.0007764747585872519,10,0.26392593852156293,0.014354490757644757,10,2,16152.1,965.1
10,2.0,full_window,0.06180475661369863,0.0026551668278811413,10,0.39173611953305226,0.031437306903753064,10,10,6942.4,965.1
10,2.0,half_window,0.04064166908546378,0.0021821330182394774,10,0.28687619158411826,0.016525864553992412,10,5,6942.4,965.1
10,2.0,quarter_window,0.020808009096350954,0.0011441788216363122,10,0.14949467142306813,0.012056490401624298,10,2,6942.4,965.1
10,3.0,full_window,0.07828097540383822,0.00618356630736323,10,0.16844236419010106,0.01950122676247725,10,10,2246.6,965.1
10,3.0,half_window,0.054890662155150094,0.005707451754652506,10,0.1260809374566407,0.01168769929454386,10,5,2246.6,965.1
10,3.0,quarter_window,0.029876316141725045,0.003508778538823301,10,0.0690999270034556,0.007343481363961059,10,2,2246.6,965.1
10,4.0,full_window,0.10920813109165095,0.01477432302553493,10,0.06776783991660934,0.011219470358975987,10,10,637.3,965.1
10,4.0,half_window,0.0821165430770201,0.015524152335600772,10,0.053164910393191,0.009207256172066433,10,5,637.3,965.1
10,4.0,quarter_window,0.04806767772722503,0.010736668719549253,10,0.03127865945427066,0.006390282482231359,10,2,637.3,965.1
10,5.0,full_window,0.17235795768052756,0.038735486107921165,10,0.028143072489314608,0.008666705949648208,10,10,166.7,965.1
10,5.0,half_window,0.13556845806827622,0.029642075294129648,10,0.023044495814648503,0.006488736642052017,10,5,166.7,965.1
10,5.0,quarter_window,0.07994717757189382,0.01744867568703314,10,0.013470885801053595,0.003351782655881309,10,2,166.7,965.1
10,6.0,full_window,0.2685372168166465,0.08871618810385755,10,0.012881173469451654,0.004921212064321773,10,10,47.1,965.1
10,6.0,half_window,0.2251091563674928,0.08974454583348303,10,0.01090374152845622,0.004570149517798455,10,5,47.1,965.1
10,6.0,quarter_window,0.1256274865129019,0.0513736900176927,10,0.006129670994611794,0.0026726549786902608,10,2,47.1,965.1
10,7.0,full_window,0.33221318910974085,0.11907819660422915,10,0.004463884516387345,0.0020880948996722017,10,10,13.3,965.1
10,7.0,half_window,0.28630909320564496,0.1328401573488918,10,0.003949937575874267,0.002196995388787837,10,5,13.3,965.1
10,7.0,quarter_window,0.14407110131248063,0.07872265918750733,10,0.0019766464013246474,0.0010452762050178342,10,2,13.3,965.1
10,8.0,full_window,0.4937878787878788,0.2284575736830933,10,0.002380659167076407,0.0015669897066931731,10,10,4.5,965.1
10,8.0,half_window,0.3537878787878788,0.2491238089310384,10,0.0018667122265633295,0.0017006062564594833,10,5,4.5,965.1
10,8.0,quarter_window,0.13742424242424242,0.1325063310278917,10,0.0006224678140215716,0.000535914590829136,10,2,4.5,965.1
10,9.0,full_window,0.4166666666666667,0.4664682117707407,10,0.0012419820227255285,0.00154338348167068,10,10,1.6,965.1
10,9.0,half_window,0.31666666666666665,0.3638782865291737,10,0.0010382003836276904,0.0014853162418148214,10,5,1.6,965.1
10,9.0,quarter_window,0.0,0.0,10,0.0,0.0,10,2,1.6,965.1
10,10.0,full_window,0.375,0.48947250518628044,10,0.0006245333178324063,0.0010168969434595537,10,10,0.8,965.1
10,10.0,half_window,0.175,0.3736085295243316,10,0.00042075167873456825,0.001019822663300051,10,5,0.8,965.1
10,10.0,quarter_window,0.0,0.0,10,0.0,0.0,10,2,0.8,965.1
10,11.0,full_window,0.2,0.42163702135578396,10,0.00020629634752263514,0.00043491674350704666,10,10,0.2,965.1
10,11.0,half_window,0.1,0.31622776601683794,10,0.00010362694300518135,0.00032769716685682686,10,5,0.2,965.1
