dataset_id,window_size,tolerance_type,tolerance_value,auc
1,10,full_window,10,0.07098383978584406
1,20,full_window,20,0.23624637732562775
1,30,full_window,30,0.42006296619840533
1,50,full_window,50,0.5990830846914638
1,80,full_window,80,0.6898065898645094
1,100,full_window,100,0.7061199389172417
1,150,full_window,150,0.7401246336469468
1,200,full_window,200,0.6917848062890499
1,10,half_window,5,0.039109778933970246
1,20,half_window,10,0.14854128332697297
1,30,half_window,15,0.2912102976942911
1,50,half_window,25,0.4236551779888291
1,80,half_window,40,0.5283345138574902
1,100,half_window,50,0.5376335506940648
1,150,half_window,75,0.5774283012528848
1,200,half_window,100,0.5269628176397856
1,10,quarter_window,2,0.010330904856130592
1,20,quarter_window,5,0.07058436491885228
1,30,quarter_window,7,0.08279253365420321
1,50,quarter_window,12,0.1648537455640527
1,80,quarter_window,20,0.20043647708953052
1,100,quarter_window,25,0.21694592076014152
1,150,quarter_window,37,0.202409750904561
1,200,quarter_window,50,0.20929379737917247
2,10,full_window,10,0.06671567454652647
2,20,full_window,20,0.22426142474477412
2,30,full_window,30,0.38347847737391116
2,50,full_window,50,0.5643926746359236
2,80,full_window,80,0.6916684421072263
2,100,full_window,100,0.7219620182585271
2,150,full_window,150,0.7436912475086263
2,200,full_window,200,0.6869870528392716
2,10,half_window,5,0.03745261598517028
2,20,half_window,10,0.13979802379738054
2,30,half_window,15,0.2620858032825773
2,50,half_window,25,0.3914976670983753
2,80,half_window,40,0.5197446864311236
2,100,half_window,50,0.5203735534235638
2,150,half_window,75,0.5671847996436556
2,200,half_window,100,0.5196829563614742
2,10,quarter_window,2,0.008991358116629792
2,20,quarter_window,5,0.06556264901663787
2,30,quarter_window,7,0.09385663783492135
2,50,quarter_window,12,0.15414064309391168
2,80,quarter_window,20,0.1913162378122641
2,100,quarter_window,25,0.20375210747419426
2,150,quarter_window,37,0.2036560935836792
2,200,quarter_window,50,0.19044386147610998
3,10,full_window,10,0.07473177027772232
3,20,full_window,20,0.24912177122183116
3,30,full_window,30,0.44946545315296604
3,50,full_window,50,0.6269576737768977
3,80,full_window,80,0.722506103439298
3,100,full_window,100,0.7393070478053754
3,150,full_window,150,0.724708772769084
3,200,full_window,200,0.6543789238236017
3,10,half_window,5,0.03776578819081547
3,20,half_window,10,0.15979774532209898
3,30,half_window,15,0.30866539564887735
3,50,half_window,25,0.4556301818059575
3,80,half_window,40,0.5536860977790714
3,100,half_window,50,0.5727315990311375
3,150,half_window,75,0.5680823898666907
3,200,half_window,100,0.5234878886456058
3,10,quarter_window,2,0.010735359524956013
3,20,quarter_window,5,0.05930683768539401
3,30,quarter_window,7,0.13189039045558698
3,50,quarter_window,12,0.16542970443541913
3,80,quarter_window,20,0.21555713054373
3,100,quarter_window,25,0.20139183831915997
3,150,quarter_window,37,0.21284969072835194
3,200,quarter_window,50,0.19114992775762676
4,10,full_window,10,0.07930261527280288
4,20,full_window,20,0.2531787772858132
4,30,full_window,30,0.41733779541299865
4,50,full_window,50,0.594275184599236
4,80,full_window,80,0.7010440526182059
4,100,full_window,100,0.7286149188207393
4,150,full_window,150,0.7392393782980161
4,200,full_window,200,0.6759020656442274
4,10,half_window,5,0.042673178757553276
4,20,half_window,10,0.1603284023159646
4,30,half_window,15,0.26760219699715093
4,50,half_window,25,0.42167409216077995
4,80,half_window,40,0.5319223890714913
4,100,half_window,50,0.5783265257642991
4,150,half_window,75,0.5716075116489713
4,200,half_window,100,0.5354981429228594
4,10,quarter_window,2,0.01204857757541509
4,20,quarter_window,5,0.06752192542003416
4,30,quarter_window,7,0.09327834141120908
4,50,quarter_window,12,0.16080258937470626
4,80,quarter_window,20,0.1991339859353952
4,100,quarter_window,25,0.22639635553541365
4,150,quarter_window,37,0.19617086512527743
4,200,quarter_window,50,0.19532318407419624
5,10,full_window,10,0.06418664084182282
5,20,full_window,20,0.2316785686310521
5,30,full_window,30,0.4231900722557747
5,50,full_window,50,0.6094941710474218
5,80,full_window,80,0.7159847733088062
5,100,full_window,100,0.7539024920945219
5,150,full_window,150,0.7386322054617702
5,200,full_window,200,0.6671219189055484
5,10,half_window,5,0.03580856935994242
5,20,half_window,10,0.13947467986759582
5,30,half_window,15,0.30045205462511015
