strain,Bin_Center,mean_density,sd_density,n_datasets,se_density
strain_yEK23,0.0,0.127359375,0.03756694397479336,96,0.0038341601639152777
strain_yEK23,10000.0,0.13336614583333334,0.04355042512448212,192,0.0031429812086177997
strain_yEK23,20000.0,0.11090729166666667,0.03419593908957831,192,0.002467879329820011
strain_yEK23,30000.0,0.10560572916666666,0.03843043921300244,192,0.0027734780530878135
strain_yEK23,40000.0,0.1129,0.04780212705293919,192,0.003449821365231391
strain_yEK23,50000.0,0.08790989583333332,0.03023884599846587,192,0.0021823007346497385
strain_yEK23,60000.0,0.08633541666666666,0.029596101268523273,192,0.002135914629293167
strain_yEK23,70000.0,0.09775572916666668,0.041097349228407146,192,0.0029659457050001154
strain_yEK23,80000.0,0.0910046875,0.03891767023405095,192,0.0028086409232328
strain_yEK23,90000.0,0.0754828125,0.034533864802921206,192,0.0024922670175155873
strain_yEK23,100000.0,0.079115625,0.03653722143777042,192,0.0026368468290672146
strain_yEK23,110000.0,0.08120729166666667,0.04300773154598182,192,0.0031038156731634705
strain_yEK23,120000.0,0.06554947916666666,0.034901184362201534,192,0.0025187760233192267
strain_yEK23,130000.0,0.06340364583333334,0.034636438417069655,192,0.0024996696304831322
strain_yEK23,140000.0,0.07080625,0.047150675959687985,192,0.003402806932224834
strain_yEK23,150000.0,0.060575520833333334,0.0387036204421422,192,0.002793193210110488
strain_yEK23,160000.0,0.0409421875,0.033045382746221014,192,0.0023848450780006142
strain_yEK23,170000.0,0.04665888888888889,0.03373889188420654,180,0.0025147485246200594
strain_yEK23,180000.0,0.053461904761904766,0.03363055498628422,168,0.0025946536477339946
strain_yEK23,190000.0,0.05349166666666666,0.034418702993698994,168,0.002655460586639018
strain_yEK23,200000.0,0.05249880952380953,0.039333610725510795,168,0.003034653950525592
strain_yEK23,210000.0,0.05206547619047619,0.0419260155156365,168,0.0032346623223126775
strain_yEK23,220000.0,0.050227380952380954,0.032747297191356675,168,0.0025265088294152693
strain_yEK23,230000.0,0.05212435897435897,0.035700484087790245,156,0.002858326303462871
strain_yEK23,240000.0,0.058025,0.04956493248515592,156,0.0039683705661609035
strain_yEK23,250000.0,0.046726923076923076,0.03864495684855015,156,0.003094072797017797
strain_yEK23,260000.0,0.044074358974358976,0.03477276626585787,156,0.002784049432423817
strain_yEK23,270000.0,0.05465192307692308,0.04315249848282452,156,0.003454964957065757
strain_yEK23,280000.0,0.040714102564102565,0.03256493948567296,156,0.002607281819307598
strain_yEK23,290000.0,0.05123076923076923,0.04830186347221334,156,0.0038672441115754487
strain_yEK23,300000.0,0.06268461538461538,0.0761045402857752,156,0.006093239766073031
strain_yEK23,310000.0,0.06697051282051282,0.13573135288928148,156,0.010867205475813713
strain_yEK23,320000.0,0.058011538461538455,0.07417178401133626,156,0.005938495419082477
strain_yEK23,330000.0,0.04227115384615384,0.05247491813713251,156,0.004201355881186055
strain_yEK23,340000.0,0.04366923076923077,0.04294850422178096,156,0.003438632344861888
strain_yEK23,350000.0,0.044493589743589745,0.04529565339751733,156,0.0036265546769697864
strain_yEK23,360000.0,0.03302179487179487,0.02985590403571644,156,0.002390385396710562
strain_yEK23,370000.0,0.033994871794871796,0.03541222824132529,156,0.0028352473652038935
strain_yEK23,380000.0,0.0370875,0.03556733174434916,144,0.0029639443120290966
strain_yEK23,390000.0,0.04106180555555555,0.0407175843811498,144,0.0033931320317624834
strain_yEK23,400000.0,0.03306041666666667,0.03156147562901834,144,0.002630122969084862
strain_yEK23,410000.0,0.034494444444444446,0.03276843265568524,144,0.0027307027213071032
strain_yEK23,420000.0,0.047521527777777774,0.05306711170303805,144,0.004422259308586504
