dataset,distance,mean_density,sd_density,n_datasets,se_density
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,0,0.06589985146983596,0.02459876866122946,16,0.006149692165307365
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,1,0.06478341869434565,0.025791982758241353,16,0.006447995689560338
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,2,0.06529877889433289,0.025091442475887463,16,0.006272860618971866
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,3,0.06475208087016142,0.02513305433976818,16,0.006283263584942045
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,4,0.0647861700823883,0.02565011932065486,16,0.006412529830163715
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,5,0.06415221043461014,0.025174851271378015,16,0.006293712817844504
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,6,0.0653205439834771,0.025168092758489528,16,0.006292023189622382
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,7,0.0642349487430951,0.024132560224039052,16,0.006033140056009763
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,8,0.06542494460499793,0.026666776848163758,16,0.006666694212040939
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,9,0.06459197241242665,0.02571964036013249,16,0.006429910090033122
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,10,0.06509126638344549,0.02466467004155281,16,0.006166167510388202
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,11,0.0634852518940263,0.02501283864522249,16,0.006253209661305622
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,12,0.06534517140591403,0.025912603211784947,16,0.006478150802946237
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,13,0.06418490987406592,0.024574286185851203,16,0.006143571546462801
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,14,0.06508354910570814,0.025313731442825362,16,0.0063284328607063406
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,15,0.06472738559626263,0.024829243938870864,16,0.006207310984717716
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,16,0.06397856932383233,0.02526114974680105,16,0.006315287436700263
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,17,0.06510816579734562,0.02477845549855295,16,0.0061946138746382376
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,18,0.06447205544282948,0.024317628229365434,16,0.0060794070573413584
yEK19a_8_FDDP220013499-1a_HY_trimmed_forward_notrimmed.sorted.bam,19,0.06534357183764383,0.02550949192304188,16,0.00637737298076047
