dataset,distance,mean_density,sd_density,n_datasets,se_density
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,0,0.060799529094509114,0.022557151358067667,16,0.005639287839516917
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,1,0.06030983622353982,0.02181859579745182,16,0.005454648949362955
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,2,0.060821302211184244,0.022926328912659163,16,0.005731582228164791
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,3,0.060897916102455936,0.022352169227439978,16,0.0055880423068599945
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,4,0.061053245286528404,0.023688412346002444,16,0.005922103086500611
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,5,0.060423477116199525,0.021452925076553896,16,0.005363231269138474
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,6,0.06095805416224208,0.021856305659372802,16,0.005464076414843201
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,7,0.06063349778527912,0.0218964427145448,16,0.0054741106786362
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,8,0.06037047199186864,0.02152857162794067,16,0.005382142906985168
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,9,0.061412311215037534,0.02268715053099331,16,0.005671787632748328
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,10,0.060437938414543285,0.02295450772128502,16,0.005738626930321255
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,11,0.06052788916812315,0.021192905669308294,16,0.005298226417327074
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,12,0.061179433857489744,0.022083696934246395,16,0.005520924233561599
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,13,0.060878396530944,0.021946906408466714,16,0.0054867266021166785
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,14,0.060648577339286025,0.021006297580270804,16,0.005251574395067701
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,15,0.061081929726650906,0.02298022750046205,16,0.005745056875115512
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,16,0.06148093944490894,0.02214335703286978,16,0.005535839258217445
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,17,0.0614815148765267,0.022049542641696132,16,0.005512385660424033
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,18,0.06155065840924619,0.02260989870056038,16,0.005652474675140095
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,19,0.0608663695511239,0.023046988550577668,16,0.005761747137644417
yEK23b_1_FDDP220013508-1a_HY_trimmed_forward_notrimmed.sorted.bam,20,0.06197388242359528,0.02225932092557515,16,0.005564830231393788
