dataset,distance,mean_density,sd_density,n_datasets,se_density
yWT04a_14_FDDP210317593-2a_H22KNDSX3_L4_trimmed_forward_notrimmed.sorted.bam,0,0.023422605317254378,0.008997516891065942,16,0.0022493792227664855
yWT04a_14_FDDP210317593-2a_H22KNDSX3_L4_trimmed_forward_notrimmed.sorted.bam,1,0.023281697020091814,0.008628759020632704,16,0.002157189755158176
yWT04a_14_FDDP210317593-2a_H22KNDSX3_L4_trimmed_forward_notrimmed.sorted.bam,2,0.022773389695347777,0.00854727684156441,16,0.0021368192103911024
yWT04a_14_FDDP210317593-2a_H22KNDSX3_L4_trimmed_forward_notrimmed.sorted.bam,3,0.0233831093225418,0.008539801481327075,16,0.0021349503703317688
yWT04a_14_FDDP210317593-2a_H22KNDSX3_L4_trimmed_forward_notrimmed.sorted.bam,4,0.023229665378922258,0.008494786494004251,16,0.002123696623501063
yWT04a_14_FDDP210317593-2a_H22KNDSX3_L4_trimmed_forward_notrimmed.sorted.bam,5,0.02310540475996877,0.009042398173993582,16,0.0022605995434983954
yWT04a_14_FDDP210317593-2a_H22KNDSX3_L4_trimmed_forward_notrimmed.sorted.bam,6,0.023398081623321302,0.008871762329451156,16,0.002217940582362789
yWT04a_14_FDDP210317593-2a_H22KNDSX3_L4_trimmed_forward_notrimmed.sorted.bam,7,0.02300454804719732,0.009494565430207297,16,0.002373641357551824
yWT04a_14_FDDP210317593-2a_H22KNDSX3_L4_trimmed_forward_notrimmed.sorted.bam,8,0.02261629549433895,0.008607502697138737,16,0.0021518756742846842
yWT04a_14_FDDP210317593-2a_H22KNDSX3_L4_trimmed_forward_notrimmed.sorted.bam,9,0.02382101898105987,0.0092247902466386,16,0.00230619756165965
yWT04a_14_FDDP210317593-2a_H22KNDSX3_L4_trimmed_forward_notrimmed.sorted.bam,10,0.023249876291750942,0.009391612356910764,16,0.002347903089227691
yWT04a_14_FDDP210317593-2a_H22KNDSX3_L4_trimmed_forward_notrimmed.sorted.bam,11,0.023929197684868675,0.009992091098903788,16,0.002498022774725947
