Position,Value,Centromere_distance,Nucleosome_distance
0,0,250000,0
1,0,249999,1
2,0,249998,2
3,2,249997,3
4,0,249996,4
5,0,249995,5
6,0,249994,6
7,0,249993,7
8,0,249992,8
9,0,249991,9
10,0,249990,10
11,0,249989,11
12,24,249988,12
13,0,249987,13
14,1,249986,14
15,0,249985,15
16,0,249984,16
17,0,249983,17
18,0,249982,18
19,0,249981,19
20,0,249980,20
21,0,249979,21
22,1,249978,22
23,0,249977,23
24,0,249976,24
25,0,249975,25
26,0,249974,26
27,7,249973,27
28,0,249972,28
29,0,249971,29
30,0,249970,30
31,0,249969,31
32,0,249968,32
33,0,249967,33
34,0,249966,34
35,0,249965,35
36,0,249964,36
37,15,249963,37
38,0,249962,38
39,0,249961,39
40,0,249960,40
41,0,249959,41
42,0,249958,42
43,0,249957,43
44,0,249956,44
45,0,249955,45
46,0,249954,46
47,0,249953,47
48,4,249952,48
49,0,249951,49
50,0,249950,50
51,0,249949,51
52,0,249948,52
53,0,249947,53
54,0,249946,54
55,0,249945,55
56,0,249944,56
57,5,249943,57
58,0,249942,58
59,0,249941,59
60,6,249940,60
61,0,249939,61
62,0,249938,62
63,0,249937,63
64,0,249936,64
65,0,249935,65
66,0,249934,66
67,0,249933,67
68,0,249932,67
69,0,249931,66
70,0,249930,65
71,0,249929,64
72,15,249928,63
73,2,249927,62
74,10,249926,61
75,0,249925,60
76,0,249924,59
77,0,249923,58
78,0,249922,57
79,0,249921,56
80,0,249920,55
81,0,249919,54
82,0,249918,53
83,0,249917,52
84,0,249916,51
85,0,249915,50
86,0,249914,49
87,0,249913,48
88,0,249912,47
89,0,249911,46
90,0,249910,45
91,0,249909,44
92,0,249908,43
93,0,249907,42
94,0,249906,41
95,0,249905,40
96,0,249904,39
97,0,249903,38
98,0,249902,37
99,0,249901,36
100,0,249900,35
101,0,249899,34
102,0,249898,33
103,2,249897,32
104,0,249896,31
105,0,249895,30
106,0,249894,29
107,0,249893,28
108,0,249892,27
109,0,249891,26
110,7,249890,25
111,16,249889,24
112,0,249888,23
113,0,249887,22
114,0,249886,21
115,0,249885,20
116,0,249884,19
117,0,249883,18
118,0,249882,17
119,0,249881,16
120,0,249880,15
121,0,249879,14
122,0,249878,13
123,0,249877,12
124,6,249876,11
125,31,249875,10
126,0,249874,9
127,0,249873,8
128,0,249872,7
129,0,249871,6
130,0,249870,5
131,0,249869,4
132,0,249868,3
133,0,249867,2
134,0,249866,1
135,0,249865,0
136,0,249864,1
137,0,249863,2
138,0,249862,3
139,0,249861,4
140,0,249860,5
141,0,249859,6
142,0,249858,7
143,0,249857,8
144,4,249856,9
145,0,249855,10
146,0,249854,11
147,0,249853,12
148,0,249852,13
149,0,249851,14
150,0,249850,15
151,0,249849,16
152,0,249848,17
153,0,249847,18
154,0,249846,19
155,0,249845,20
156,0,249844,21
157,0,249843,22
158,0,249842,23
159,0,249841,24
160,0,249840,25
161,0,249839,26
162,0,249838,27
163,0,249837,28
164,0,249836,29
165,0,249835,30
166,8,249834,31
167,0,249833,32
168,0,249832,33
169,0,249831,34
170,0,249830,35
171,0,249829,36
172,0,249828,37
173,0,249827,38
174,0,249826,39
175,0,249825,40
176,2,249824,41
177,0,249823,42
178,0,249822,43
179,0,249821,44
180,0,249820,45
181,1,249819,46
182,0,249818,47
183,0,249817,48
184,0,249816,49
185,0,249815,50
186,0,249814,51
187,0,249813,52
188,0,249812,53
189,0,249811,54
190,3,249810,55
191,6,249809,56
192,0,249808,57
193,0,249807,58
194,1,249806,59
195,16,249805,60
196,0,249804,61
197,0,249803,62
198,0,249802,63
199,0,249801,64
200,0,249800,65
201,0,249799,66
202,1,249798,67
203,8,249797,67
204,0,249796,66
205,0,249795,65
206,0,249794,64
207,0,249793,63
208,0,249792,62
209,0,249791,61
210,0,249790,60
211,0,249789,59
212,0,249788,58
213,0,249787,57
214,0,249786,56
215,6,249785,55
216,0,249784,54
217,0,249783,53
218,31,249782,52
219,0,249781,51
220,0,249780,50
221,0,249779,49
222,4,249778,48
223,0,249777,47
224,0,249776,46
225,0,249775,45
226,3,249774,44
227,0,249773,43
228,0,249772,42
229,0,249771,41
230,2,249770,40
231,0,249769,39
