Position,pi_value,centromere_distance,nucleosome_distance
0,0.8738223242225092,250000,0
1,0.8752033588679222,249999,1
2,0.8745123513792292,249998,2
3,0.8744918917744631,249997,3
4,0.8764661721353604,249996,4
5,0.8755397697473049,249995,5
6,0.8747162143266232,249994,6
7,0.8758095320322543,249993,7
8,0.8749896782654444,249992,8
9,0.8744632829557989,249991,9
10,0.8744393173754262,249990,10
11,0.8743587970644195,249989,11
12,0.8744980499026175,249988,12
13,0.8745462679820963,249987,13
14,0.8746808862851139,249986,14
15,0.8753845952486285,249985,15
16,0.8751699742063164,249984,16
17,0.8747013234212773,249983,17
18,0.8750137499964811,249982,18
19,0.8741536060260356,249981,19
20,0.8742005356339821,249980,20
21,0.8742535231102257,249979,21
22,0.8741379604358848,249978,22
23,0.8750220757215823,249977,23
24,0.8740364239751477,249976,24
25,0.8747530183823055,249975,25
26,0.8737632300676328,249974,26
27,0.8737667988979082,249973,27
28,0.8732990367879989,249972,28
29,0.8710404742726723,249971,29
30,0.8701069867821604,249970,30
31,0.8684593973065661,249969,31
32,0.8675387459953235,249968,32
33,0.8675063998127751,249967,33
34,0.8680535675990216,249966,34
35,0.8662878036476989,249965,35
36,0.8662043505383343,249964,36
37,0.8641270300288151,249963,37
38,0.8625277478084655,249962,38
39,0.8607699867447535,249961,39
40,0.8599580487535845,249960,40
41,0.8567357936070903,249959,41
42,0.8559303081000016,249958,42
43,0.8542960198567255,249957,43
44,0.8535112341523698,249956,44
45,0.8536191619708023,249955,45
46,0.8509006344054165,249954,46
47,0.8508743860139993,249953,47
48,0.850583172720051,249952,48
49,0.8480271356620213,249951,49
50,0.8456192589667458,249950,50
51,0.8454230671434901,249949,51
52,0.8428545666194852,249948,52
53,0.8422833433642583,249947,53
54,0.8419746923904476,249946,54
55,0.8418600523268351,249945,55
56,0.8428231598350429,249944,56
57,0.8416547508292441,249943,57
58,0.8405951510189273,249942,58
59,0.8393743650199809,249941,59
60,0.837214129731187,249940,60
61,0.835998461951464,249939,61
62,0.8327613017038298,249938,62
63,0.8321152293303781,249937,63
64,0.8316610449525933,249936,64
65,0.8325118786443149,249935,65
66,0.8312645537543758,249934,66
67,0.8291808670779347,249933,67
68,0.829176612064717,249932,67
69,0.8312519441111843,249931,66
70,0.8324910174075224,249930,65
