Bin_Center,mean_density,sd_density,n_datasets,se_density
-1084000.0,0.0,0.0,35,0.0
-1083000.0,0.0,0.0,35,0.0
-1082000.0,0.0,0.0,35,0.0
-1081000.0,0.0,0.0,35,0.0
-1080000.0,0.0,0.0,35,0.0
-1079000.0,0.0,0.0,35,0.0
-1078000.0,0.0,0.0,35,0.0
-1077000.0,0.0,0.0,35,0.0
-1076000.0,0.0,0.0,35,0.0
-1075000.0,0.0,0.0,35,0.0
-1074000.0,0.0,0.0,35,0.0
-1073000.0,0.0,0.0,35,0.0
-1072000.0,0.0,0.0,35,0.0
-1071000.0,0.0,0.0,35,0.0
-1070000.0,0.0,0.0,35,0.0
-1069000.0,0.0,0.0,35,0.0
-1068000.0,0.0,0.0,35,0.0
-1067000.0,0.0,0.0,35,0.0
-1066000.0,0.0,0.0,35,0.0
-1065000.0,0.0,0.0,35,0.0
-1064000.0,0.0,0.0,35,0.0
-1063000.0,0.0,0.0,35,0.0
-1062000.0,0.0,0.0,35,0.0
-1061000.0,0.0,0.0,35,0.0
-1060000.0,0.0,0.0,35,0.0
-1059000.0,0.0,0.0,35,0.0
-1058000.0,0.0,0.0,35,0.0
-1057000.0,0.0,0.0,35,0.0
-1056000.0,0.0,0.0,35,0.0
-1055000.0,0.0,0.0,35,0.0
-1054000.0,0.0,0.0,35,0.0
-1053000.0,0.0,0.0,35,0.0
-1052000.0,0.0,0.0,35,0.0
-1051000.0,0.0,0.0,35,0.0
-1050000.0,0.0,0.0,35,0.0
-1049000.0,0.0,0.0,35,0.0
-1048000.0,0.0,0.0,35,0.0
-1047000.0,0.0,0.0,35,0.0
-1046000.0,0.0,0.0,35,0.0
-1045000.0,0.0,0.0,35,0.0
-1044000.0,0.0,0.0,35,0.0
-1043000.0,0.0,0.0,35,0.0
-1042000.0,0.0,0.0,35,0.0
-1041000.0,0.0,0.0,35,0.0
-1040000.0,0.0,0.0,35,0.0
-1039000.0,0.0,0.0,35,0.0
-1038000.0,0.0,0.0,35,0.0
-1037000.0,0.0,0.0,35,0.0
-1036000.0,0.0,0.0,35,0.0
-1035000.0,0.0,0.0,35,0.0
-1034000.0,0.0,0.0,35,0.0
-1033000.0,0.0,0.0,35,0.0
-1032000.0,0.0,0.0,35,0.0
-1031000.0,0.0,0.0,35,0.0
-1030000.0,0.0,0.0,35,0.0
-1029000.0,0.0,0.0,35,0.0
-1028000.0,0.0,0.0,35,0.0
-1027000.0,0.0,0.0,35,0.0
-1026000.0,0.0,0.0,35,0.0
-1025000.0,0.0,0.0,35,0.0
-1024000.0,0.0,0.0,35,0.0
-1023000.0,0.0,0.0,35,0.0
-1022000.0,0.0,0.0,35,0.0
-1021000.0,0.0,0.0,35,0.0
-1020000.0,0.0,0.0,35,0.0
-1019000.0,0.0,0.0,35,0.0
-1018000.0,0.0,0.0,35,0.0
-1017000.0,0.0,0.0,35,0.0
-1016000.0,0.0,0.0,35,0.0
-1015000.0,0.0,0.0,35,0.0
-1014000.0,0.0,0.0,35,0.0
-1013000.0,0.0,0.0,35,0.0
-1012000.0,0.0,0.0,35,0.0
-1011000.0,0.0,0.0,35,0.0
-1010000.0,0.0,0.0,35,0.0
-1009000.0,0.0,0.0,35,0.0
-1008000.0,0.0,0.0,35,0.0
-1007000.0,0.0,0.0,35,0.0
-1006000.0,0.0,0.0,35,0.0
-1005000.0,0.0,0.0,35,0.0
-1004000.0,0.0,0.0,35,0.0
-1003000.0,0.0,0.0,35,0.0
-1002000.0,0.0,0.0,35,0.0
-1001000.0,0.0,0.0,35,0.0
-1000000.0,0.0,0.0,35,0.0
-999000.0,0.0,0.0,35,0.0
-998000.0,0.0,0.0,35,0.0
-997000.0,0.0,0.0,35,0.0
-996000.0,0.0,0.0,35,0.0
-995000.0,0.0,0.0,35,0.0
-994000.0,0.0,0.0,35,0.0
-993000.0,0.0,0.0,35,0.0
-992000.0,0.0,0.0,35,0.0
-991000.0,0.0,0.0,35,0.0
-990000.0,0.0,0.0,35,0.0
-989000.0,0.0,0.0,35,0.0
-988000.0,0.0,0.0,35,0.0
-987000.0,0.0,0.0,35,0.0
-986000.0,0.0,0.0,35,0.0
-985000.0,0.0,0.0,35,0.0
-984000.0,0.0,0.0,35,0.0
-983000.0,0.0,0.0,35,0.0
-982000.0,0.0,0.0,35,0.0
-981000.0,0.0,0.0,35,0.0
-980000.0,0.0,0.0,35,0.0
-979000.0,0.0,0.0,35,0.0
