Lag,Average_ACF,Total_Contributing_Pairs
1,0.08599818573950013,422495664.0
2,0.10732735404678156,422495104.0
3,0.14851805679877164,422494544.0
4,0.15200518088314693,422493984.0
5,0.14164529447971672,422493424.0
6,0.14138150893292092,422492864.0
7,0.1356706176662438,422492304.0
8,0.16075077234577917,422491744.0
9,0.13259288107132794,422491184.0
10,0.1339287926231954,422490624.0
11,0.14560887531363464,422490064.0
12,0.13425858932229076,422489504.0
13,0.12509275012816873,422488944.0
14,0.12970680229154166,422488384.0
15,0.1236929796556046,422487824.0
16,0.11950001564382697,422487264.0
17,0.11972336522760862,422486704.0
18,0.11996244060560207,422486144.0
19,0.1222440447108515,422485584.0
20,0.11912991305409826,422485024.0
21,0.11743949896116647,422484464.0
22,0.11819523858172376,422483904.0
23,0.1160943388636419,422483344.0
24,0.11332001773813652,422482784.0
25,0.11073055486611305,422482224.0
26,0.10949202090988557,422481664.0
27,0.10848576873883332,422481104.0
28,0.10803744249423534,422480544.0
29,0.1079310412939552,422479984.0
30,0.10927853222673167,422479424.0
31,0.10920847741894661,422478864.0
32,0.10851866636696125,422478304.0
33,0.10783301453853936,422477744.0
34,0.10673839034599134,422477184.0
35,0.10487638383335983,422476624.0
36,0.1035484454898139,422476064.0
37,0.10201722743628765,422475504.0
38,0.10142198433521976,422474944.0
39,0.10098979799222363,422474384.0
40,0.10088007785795468,422473824.0
41,0.10105793776609252,422473264.0
42,0.10098256820226846,422472704.0
43,0.09967796223475762,422472144.0
44,0.09876783304914998,422471584.0
45,0.09778592649196777,422471024.0
46,0.09597843885733573,422470464.0
47,0.09495022274800666,422469904.0
48,0.09405485932848365,422469344.0
49,0.09332355658741025,422468784.0
50,0.09313536698925846,422468224.0
51,0.09326584072902162,422467664.0
52,0.09259481415200109,422467104.0
53,0.09252115633753046,422466544.0
54,0.09187045873770339,422465984.0
55,0.09052716141666277,422465424.0
56,0.08956249442962445,422464864.0
57,0.0887757036620069,422464304.0
58,0.08746514356079206,422463744.0
59,0.08710486920200002,422463184.0
60,0.08691445888422379,422462624.0
61,0.08662808118092101,422462064.0
62,0.08616568282256326,422461504.0
63,0.08589929337753056,422460944.0
64,0.08578734181786665,422460384.0
65,0.08498627250537724,422459824.0
66,0.08451988332183552,422459264.0
67,0.08371411305238295,422458704.0
68,0.08308884573780183,422458144.0
69,0.08253374681066944,422457584.0
70,0.0819017523622652,422457024.0
71,0.08163005807321713,422456464.0
72,0.08183844907008385,422455904.0
73,0.08168531401898085,422455344.0
