region_start,region_end,region_mean
0,905,0.0
905,1408,0.0
1408,1648,4.955213418698467
1648,2196,7.551214264075375
2196,2740,11.022534437507895
2740,3346,4.693514901297645
3346,3467,12.712642952118093
3467,3579,5.765115962747663
3579,4562,4.298411453044525
4562,4738,5.326004625505294
4738,5230,15.726888301375435
5230,5770,19.359333747084822
5770,6297,10.01760261389188
6297,6434,15.7806786377408
6434,6741,0.0
6741,6961,5.1417981859030935
6961,7917,0.0
7917,8135,5.482159291792404
8135,8286,7.963785182943646
8286,8908,9.829067489721366
8908,9367,0.0
9367,9897,8.529289312597976
9897,10703,5.698731432060912
10703,11201,4.2626032943937116
11201,11870,3.928466999066964
11870,12085,0.0
12085,12671,8.774185106938667
12671,13388,0.9113238543633788
13388,13733,8.97758477179041
13733,13839,14.450230407512386
13839,14276,0.0
14276,14753,5.791638479400886
14753,15702,2.6523508134322413
15702,16155,6.866658542472174
16155,16611,5.035334757950402
16611,17073,0.0
17073,17544,1.186833499816201
17544,17827,5.029280826145726
17827,18296,0.0
18296,19281,11.469317270753539
19281,20048,10.611659115547459
20048,20569,1.034998753890575
20569,21165,6.110168194303003
21165,21311,0.0
21311,21925,0.0
21925,22270,1.5902738759503028
22270,22874,2.981542146638167
22874,23215,2.713332494816197
23215,24001,2.582874121199957
24001,24104,4.47777843422596
24104,24352,4.118666413759011
24352,24783,6.106508490794166
24783,24829,8.974065720904408
24829,24870,5.087164685312241
24870,25154,6.70691504712552
25154,25197,0.8491569438139037
25197,25510,4.149180088264332
25510,25579,5.277698847141831
25579,26178,1.8414486347436763
26178,26745,0.0
26745,27412,17.34951287226933
27412,28054,0.0
28054,28814,0.0
28814,29366,1.001844291723707
29366,29917,0.0
29917,30101,5.170645527249124
30101,30270,0.0
30270,31043,0.0
31043,31932,9.231557666103708
31932,32883,0.0
32883,33651,0.0
33651,33843,4.134524813492266
33843,34638,5.590351538423428
34638,35551,8.859049120320828
35551,35652,1.6047392308321384
35652,36245,1.5680192325643996
36245,36941,0.0
36941,37726,14.907552379051168
37726,38102,2.7870000218760227
38102,38729,6.292734422260284
38729,39310,6.678982363445475
39310,39735,0.0
39735,40407,2.7085973607026315
40407,41120,5.531655396361085
41120,41867,13.500044135149336
41867,42383,10.782021312262188
42383,43234,8.204534754993904
43234,43777,9.279171250446915
43777,43868,4.168830818677054
43868,44412,0.634552609902271
44412,45274,6.76137474111647
45274,46088,3.4501125678948648
46088,46797,0.0
46797,47136,6.8211313391200985
47136,47326,11.904345735756817
47326,48041,0.0
48041,48533,11.476139581334262
48533,48662,8.306893572088622
48662,49422,9.200670390592077
49422,50149,0.4817981260406975
50149,50876,12.855988076085435
50876,51122,12.887044423529572
51122,51568,5.353625035237957
51568,52378,0.0
52378,52813,5.4478587976240735
52813,53278,7.72776231257046
53278,53819,1.825694423090863
53819,53985,8.640956955685569
53985,54445,1.4888096549701662
54445,55252,2.743327070360049
55252,56101,7.3552307381514614
56101,56470,9.705938388267532
56470,57288,10.281459563381688
57288,58009,0.0
58009,58871,8.362554462375778
58871,59360,0.0
59360,59743,2.5909389284906337
59743,59970,6.791690306442303
59970,60402,4.377458759231376
60402,61043,2.605090078059081
61043,61843,0.0
61843,62363,6.719356685003831
62363,63053,14.653791722842131
63053,63377,0.0
63377,63805,0.0
63805,64067,2.564217888962925
64067,64808,2.6599990949719428
64808,65104,12.564011061472119
65104,65260,4.357258345202298
65260,65873,12.408801073997505
65873,66600,7.944880952734005
66600,67048,3.426144446903677
67048,68003,0.0
68003,68189,3.543602779745867
68189,69123,17.361028284859636
69123,70054,0.0
70054,70815,17.26866607960443
70815,71679,0.4816405228347778
71679,72033,7.138111872936146
72033,72163,12.000843724741156
72163,72241,3.408930720103437
72241,73075,0.0
73075,73747,11.923888262126395
73747,74213,4.684634585734467
74213,74657,0.0
74657,75094,5.549532464711592
75094,75718,0.0
75718,76521,5.179812913486858
76521,76889,4.2106905275867685
76889,77369,8.194785441852895
77369,78352,0.3741709598945288
78352,79024,2.7482331146128303
79024,79817,0.0
79817,80392,7.9253046906316005
80392,81386,14.872381204896136
81386,81468,0.0
81468,81527,2.385056623533391
81527,82371,7.776886220419748
82371,82588,7.418690642898593
82588,83012,0.0
83012,83686,9.677646389800838
83686,84486,12.655672887475992
84486,85349,12.00567390066694
85349,85420,11.388330685408729
85420,86364,6.60053870449507
86364,87085,4.559763066324126
87085,87377,6.574482906173392
87377,88106,8.98735685461781
88106,88258,5.909139246547163
88258,88888,7.919666284663065
88888,89708,0.9357683335892055
89708,90063,4.690696932268361
90063,90141,11.647294195168474
90141,90184,1.877227301096342
90184,90426,8.478562752083835
90426,91074,5.404446184923751
91074,91432,0.0
91432,91906,13.410854180270839
91906,92651,2.2582861844064217
92651,93586,9.119810100281295
93586,94576,11.094827295997721
94576,94776,10.948827927175117
94776,95486,13.146059372403306
95486,95856,7.3958915650214765
95856,96035,0.0
96035,96343,0.0
96343,97237,3.1173276354444384
97237,97572,4.065379524287514
97572,98156,5.045683542338148
98156,98813,9.293584721458272
98813,99204,1.1924807170694602
99204,99523,1.403947449398123
99523,99751,6.839438664205
99751,100310,11.769966061889438
100310,100375,12.052735148569745
100375,100623,0.0
100623,101208,0.0
101208,101458,0.0
101458,101562,0.0
101562,102354,4.742804989494992
102354,102522,12.22988068108119
102522,103469,2.2807017594472154
103469,103959,0.0
103959,104891,7.288230637023866
104891,105562,0.0
105562,106145,8.166861530862922
106145,106998,0.0
106998,107863,1.5280481949560838
107863,108370,5.652521482444414
108370,109155,0.0
109155,109746,7.623350418685134
109746,110683,0.6646352976303532
110683,110984,3.427362554719738
110984,111545,9.318460353838269
111545,112209,5.054224710892344
112209,112559,13.327115076754463
112559,113424,17.213865465721984
113424,113888,0.0
113888,114154,4.633218341604604
114154,114873,10.59493332032659
114873,115076,12.50358420414201
115076,115713,6.561521790166829
115713,115869,6.710287577921978
115869,116060,3.5180770998003554
116060,116924,0.6420588405231118
116924,117422,1.3207150525660707
117422,117640,1.7184428316011378
117640,118076,11.674656704934717
118076,118772,13.595582084093992
118772,119412,0.0
119412,119946,21.618379997752335
119946,119986,0.8263064586557168
119986,120167,6.089673469525
120167,120533,10.937989591504106
120533,121277,0.0
121277,121612,0.0
121612,121850,9.489440575801682
121850,122118,5.370725800748024
122118,122164,4.599740136751927
122164,122941,8.102955480216998
122941,123186,3.112487182354282
123186,123308,7.4370751980113585
123308,124088,6.024623109668594
124088,125048,7.63861445548709
125048,125436,4.009526041139573
125436,125805,0.0
125805,125948,0.0
125948,126570,5.291242220295705
126570,126810,18.799718352569066
126810,127114,1.7101865053703074
127114,127517,5.097894208636569
127517,128302,8.10646280993158
128302,128944,10.034126693735283
128944,129840,0.0
129840,130163,13.458968281590089
130163,130762,2.3690245054040013
130762,131128,0.0
131128,131955,0.0
131955,132330,3.714483226139772
132330,132681,0.0
132681,132961,2.2970405521747836
132961,133504,7.359016726160135
133504,134322,3.7017250904286403
134322,134806,1.3335020612545054
134806,135381,0.0
135381,136022,14.940948388792089
136022,136199,1.0801879890910655
136199,137001,0.8757298631956989
137001,137362,15.838537387823695
137362,138147,0.0
138147,138276,3.2394443016710066
138276,138327,4.483571191816218
138327,139096,7.7087440695039255
139096,139194,1.2614264703286078
139194,139419,9.290348476477782
139419,140172,1.2589866616070828
140172,140293,0.0
140293,140341,6.350941263026053
140341,140805,0.0
140805,141296,2.128087342311294
141296,142003,15.713412740188694
142003,142771,0.0
142771,143391,0.6315081660391203
143391,144080,0.0
144080,144788,7.785332246107275
144788,145025,5.533866135051286
145025,145115,1.1377575362422678
145115,146056,3.5672978646293205
146056,146393,4.30811285961237
146393,146438,13.671565233631357
146438,146762,14.711333320934811
146762,147124,2.290222200959311
147124,147574,3.9996603422432067
147574,148339,20.004652794672758
148339,148899,5.588421011947993
148899,149494,3.877132425395233
149494,150229,13.084569814116287
150229,151181,0.0
151181,151594,13.378775787019569
151594,152453,0.0
152453,153013,10.131650524462795
153013,153477,0.0
153477,154127,0.5675501232352146
154127,154697,0.0
154697,155388,11.409825532416384
155388,155920,2.819058572799284
155920,156099,0.8420522921664058
156099,157016,16.263204884621157
157016,157846,8.426162340323597
157846,158030,0.0
158030,158148,7.922452496338714
158148,159139,14.915153230417593
159139,159903,13.042962568909491
159903,160596,10.039987488712551
160596,161542,11.438130379570245
161542,161757,8.082980060590403
161757,162755,0.0
162755,163227,2.202528482077354
163227,163337,0.0
163337,163531,4.930226068483529
163531,163593,0.0
163593,164440,9.983197208841109
164440,164667,0.0
164667,165559,4.975385860379399
165559,166401,7.468776097431282
166401,166857,15.23949145187088
166857,167687,0.0
167687,168097,0.8420741374969024
168097,168649,3.1774920738316186
168649,168826,0.0
168826,169186,3.4860102505793003
169186,169829,7.233895966647978
169829,170398,8.209744031582236
170398,171039,3.2815764912889422
171039,171889,1.8196322597923462
171889,172756,1.2994131916134464
172756,173087,0.0
173087,173943,3.4768953969244194
173943,174845,9.572930412037246
174845,175647,0.0
175647,175826,6.480388815112091
175826,176450,9.145577691135351
176450,176505,3.8196598076203805
176505,176998,5.440884914167554
176998,177970,3.0823483020776474
177970,178753,3.4178778693115097
178753,179746,7.1524474633672535
179746,179934,7.815299369437441
179934,180897,0.0
180897,181685,0.0
181685,181793,3.919887280932694
181793,182019,11.488387610629605
182019,182417,1.6508462545995914
182417,182870,0.7446337168223337
182870,183599,12.513850606113015
183599,184346,6.184750747128425
184346,184682,9.600665238515752
184682,185378,4.875720789426446
185378,185570,10.378213585840982
185570,186114,13.190074051515785
186114,187002,0.0
187002,187439,0.0
187439,187570,10.097950824552786
187570,187984,5.000160816892554
187984,188036,13.820813877757086
188036,188998,0.0
188998,189044,0.0
189044,189133,11.178268297937246
189133,190011,0.0
190011,190989,5.344512126796771
190989,191331,7.926563448867834
191331,191426,1.1963344142460082
191426,191511,2.0201264598760167
191511,192484,0.0
192484,193358,0.0
193358,193806,11.773788287397355
193806,194745,0.0
194745,195430,0.0
195430,195675,0.0
195675,196591,0.5820590564824045
196591,196926,0.0
196926,197745,11.488334039706958
197745,198395,0.0
198395,199318,6.175161483356321
199318,199507,18.11271118025853
199507,200430,0.0
200430,201309,4.915301140605435
201309,202262,12.196077898310891
202262,202440,0.8924897790020113
202440,202729,0.0
202729,203637,5.886477319528358
203637,204047,5.487949936525665
204047,204689,5.010355284579559
204689,205131,6.322180901451173
205131,205719,7.229344639566806
205719,206391,0.0
206391,207374,0.0
207374,208059,1.8788924801243654
208059,208971,0.0
208971,209794,0.0
209794,210389,0.0
210389,210995,0.0
210995,211859,5.189474035895482
211859,212305,13.757190244873035
212305,212917,1.4262577271143313
212917,213881,9.869233617524072
213881,214660,8.747792620118172
214660,215542,14.601029815016393
215542,216538,1.9068838972935114
216538,216883,0.0
216883,216985,0.0
216985,217035,6.95731201144964
217035,217779,6.4048126273267885
217779,218280,7.1605795033892115
218280,218987,10.755569021227437
218987,219327,9.64056769899782
219327,220302,7.930420067279148
220302,220477,2.941887628590849
220477,220597,0.21205858217118653
220597,221025,3.0851047749508163
221025,221810,6.616527292990569
221810,222079,0.0
222079,222692,2.6474387804063695
222692,223222,0.0
223222,223359,6.9847645205078726
223359,224208,7.069181750889167
224208,225038,0.0
225038,225733,9.233383738931055
225733,225787,0.0
225787,226094,0.0
226094,226399,0.0
226399,227306,14.052163204129267
227306,227820,0.0
227820,228197,3.012948588529739
228197,228811,3.322596033620839
228811,229320,0.0
229320,229462,4.861808274077107
229462,230383,0.0
230383,230544,7.693158808406531
230544,230694,10.034255556236424
230694,231312,0.0
231312,232277,12.950609766179527
232277,232443,5.079461482252234
232443,232770,2.6062368643472973
232770,233000,2.3284764028724734
233000,233509,11.323855534016293
233509,233937,0.0
233937,234263,18.180097057463094
