distance,mean_density
0,0.10554264852306672
1,0.10522821576763486
2,0.10224066390041493
3,0.10074688796680498
4,0.09676348547717842
5,0.1037344398340249
6,0.10622406639004149
7,0.09659751037344398
8,0.10340248962655602
9,0.10290456431535269
10,0.10058091286307054
11,0.10323651452282158
12,0.0995850622406639
13,0.10887966804979253
14,0.10024896265560165
15,0.1053941908713693
16,0.09825726141078839
17,0.10921161825726142
18,0.10688796680497925
19,0.0979253112033195
20,0.09726141078838174
21,0.10771784232365145
22,0.10738589211618257
23,0.10024896265560165
24,0.1081036200597808
25,0.10616381458714072
26,0.10134573849476657
27,0.1001827546104004
28,0.10433626848313673
29,0.11596610732679848
30,0.1151354045522512
31,0.1043536058491193
32,0.10488696808510638
33,0.1062520784835384
34,0.1129783693843594
35,0.109003161923781
36,0.11174021648626145
37,0.11214797533744376
38,0.11520506835611871
39,0.10842368640533778
40,0.11626355296080067
41,0.11124102221479873
42,0.11205887272119083
43,0.11764705882352941
44,0.12344850721234485
45,0.11708382328237864
46,0.12544199360161642
47,0.11459915611814346
48,0.127580372250423
49,0.11808618934509671
50,0.13261831801157645
51,0.13277511961722488
52,0.13127147766323025
53,0.13245946878233875
54,0.12975778546712802
55,0.12797774300121717
56,0.13183730715287517
57,0.13196894848270996
58,0.13368794326241135
59,0.1322609472743521
60,0.13950550442158455
61,0.13996719518862766
62,0.13963797561876617
63,0.13648293963254593
64,0.13949962092494314
65,0.13444079582769944
66,0.136229604875172
67,0.14308617234468937
68,0.15077424612876936
69,0.15319237147595358
70,0.14509306260575297
71,0.15087416360889272
72,0.14323725055432374
73,0.14987491471457812
74,0.1598694942903752
75,0.14584837545126353
76,0.1519364448857994
77,0.15193440942864464
78,0.15035799522673032
79,0.14884868421052633
80,0.16676152532726238
81,0.15041617122473247
82,0.16682316118935836
83,0.17120367333551983
84,0.1781390522310619
85,0.17453874538745387
86,0.1857031857031857
87,0.17733387688544638
88,0.19657387580299787
89,0.18361711919005982
90,0.18863302302792748
91,0.2063157894736842
92,0.21217292377701935
93,0.21467556094602788
94,0.22112211221122113
95,0.20628122769450394
96,0.1984375
97,0.21101694915254238
98,0.2183803457688808
99,0.23465346534653464
100,0.244249726177437
101,0.21289537712895376
102,0.2635761589403974
103,0.23672883787661406
104,0.2403846153846154
105,0.22419928825622776
106,0.23622047244094488
107,0.21238938053097345
108,0.23645320197044334
109,0.2627118644067797
110,0.23376623376623376
111,0.23529411764705882
112,0.24691358024691357
113,0.23809523809523808
114,0.23243243243243245
115,0.26582278481012656
116,0.27205882352941174
117,0.21008403361344538
118,0.28440366972477066
119,0.28421052631578947
120,0.38095238095238093
121,0.30985915492957744
122,0.3103448275862069
123,0.36
124,0.24444444444444444
125,0.34146341463414637
126,0.3055555555555556
127,0.3
128,0.32
129,0.42857142857142855
130,0.3333333333333333
131,0.375
132,0.375
133,0.5
134,0.1111111111111111
135,0.0
136,0.0
137,0.5
138,0.0
139,0.25
140,0.25
141,0.25
