Bin_Center,mean_of_means,sd_of_means,n_datasets,se_of_means
-630000.0,8.13550950019636,2.9661394788012094,43,0.45233202992428156
-620000.0,10.388771778553936,4.952470291011788,43,0.7552446389939962
-610000.0,11.861323545428153,7.073326698380489,43,1.0786722089984675
-600000.0,9.810571731447428,6.378766603086789,43,0.9727527874561005
-590000.0,11.27235044141478,7.4326134956704895,43,1.1334629319245728
-580000.0,11.240596268230991,7.472587230752895,43,1.1395588693754939
-570000.0,12.624241182721573,7.0343316883630544,43,1.072725525720703
-560000.0,9.570087700648731,5.696122626896685,86,0.6142286993651241
-550000.0,10.952919015442022,6.823236384545797,86,0.7357685015681761
-540000.0,12.170022801250033,7.1990599392307155,86,0.7762945977050248
-530000.0,9.60826797475521,6.299859782723164,86,0.6793313511638498
-520000.0,11.815682023888131,6.8071116378010945,86,0.7340297254094916
-510000.0,12.252186654221966,7.100765573076313,86,0.7656952436123214
-500000.0,8.823531120718247,4.9139126621477205,129,0.4326458856992919
-490000.0,9.512259721535928,5.7155816408534434,129,0.503228903586751
-480000.0,11.673356571947588,7.445724491577692,129,0.6555594876860473
-470000.0,11.82000197376807,7.616323470698231,129,0.6705798902645379
-460000.0,11.61809204199607,7.120499815455714,129,0.626925051600942
-450000.0,10.255995042086369,6.520594254112953,172,0.49719065073561103
-440000.0,10.54103565428826,6.087915580073919,258,0.3790170687597942
-430000.0,11.571231176567998,6.8183631359138035,258,0.4244927472339407
-420000.0,11.694933966506332,7.176169245966847,258,0.4467687826409564
-410000.0,11.49419278348402,7.467338869159919,258,0.46489621158490235
-400000.0,11.871801159087012,7.619298257921334,258,0.4743567898963681
-390000.0,11.118162774855614,7.091432785209988,258,0.44149332102347544
-380000.0,10.91633134483748,7.221753489994093,258,0.44960673371396187
-370000.0,12.18861325324097,7.157443403085855,258,0.44560296258556
-360000.0,11.087706719827958,6.650778665199349,301,0.3833445092892667
-350000.0,11.308391060774325,6.579184945583336,301,0.3792179158938193
-340000.0,12.254017718848953,7.275274049500283,301,0.41933982483042487
-330000.0,11.636560190132363,7.037803377067398,344,0.37945292770485084
-320000.0,11.871002370402492,7.49605247663913,344,0.4041600633172501
-310000.0,11.674659723107,7.287821009720608,344,0.392932975044228
-300000.0,12.091686470768751,7.32519280211382,344,0.39494792705089954
-290000.0,11.913279224164919,7.402427235359509,344,0.39911212861273876
-280000.0,11.664381651212683,7.239000582812413,344,0.39030075403298475
-270000.0,11.246730443014659,7.353988938686233,387,0.37382426646381306
-260000.0,11.37912087439291,7.261021337037554,387,0.36909845768425487
-250000.0,11.879965418325321,7.656834585152703,387,0.3892187758363431
-240000.0,11.46613974583126,7.370585255809423,430,0.35544118348091647
-230000.0,11.636852066114045,6.994706672381262,430,0.33731470859433516
-220000.0,12.263154715659214,7.342123104699714,430,0.3540686166732978
-210000.0,11.380258126412503,6.873176064147609,430,0.33145398224486683
-200000.0,10.941550164719711,6.966595446000161,430,0.3359590648798659
-190000.0,12.146961323362268,7.843868125602411,430,0.37826491016230473
-180000.0,12.111035254338562,7.564476594987978,430,0.3647914541409032
-170000.0,12.108058727175798,7.531257891312306,430,0.3631895059999633
-160000.0,11.99697810852938,7.850985298136166,430,0.3786081306991599
-150000.0,11.433711788359705,6.738177446413307,602,0.27462761044281364
-140000.0,12.238178994550335,7.4341903285996,602,0.3029949777602152
-130000.0,12.799110832229157,7.9470800574706715,602,0.32389880253786346
-120000.0,12.6118696029447,7.640876766426794,602,0.3114188880805992
-110000.0,12.111406838950199,7.5857308751819765,688,0.28920327834828735
-100000.0,12.37347936578113,7.370065506139958,688,0.280981113235997
-90000.0,12.890014620761006,7.7646362550808075,688,0.2960239820131332
-80000.0,12.868781631899147,7.769427565849956,688,0.29620664902371174
-70000.0,12.407334334094024,7.392967163840429,688,0.2818542307503891
-60000.0,12.212783206809489,7.314191564493112,688,0.2788509391809991
-50000.0,13.316491406727145,8.11068363898568,688,0.3092169148413409
-40000.0,14.111960830210634,8.62440556884406,688,0.32880237980431826
-30000.0,12.982835461458958,7.815012253859485,688,0.2979445489613395
-20000.0,13.359001842361911,8.100983890942533,688,0.30884711541404936
-10000.0,13.838452399424348,8.520357218962195,688,0.3248355736537055
0.0,14.887977287103055,8.642878726234693,688,0.3295066623272185
10000.0,14.564969526249488,8.809884510186862,688,0.3358736981497139
20000.0,13.918578534756858,8.039719127158074,688,0.3065114181918257
30000.0,13.969877798396254,8.082659669244027,688,0.30814851101117935
