dataset_id,window_size,tolerance_type,tolerance_value,auc
5,10,full_window,10,0.06418664084182282
5,20,full_window,20,0.2316785686310521
5,30,full_window,30,0.4231900722557747
5,50,full_window,50,0.6094941710474218
5,80,full_window,80,0.7159847733088062
5,100,full_window,100,0.7539024920945219
5,150,full_window,150,0.7386322054617702
5,200,full_window,200,0.6671219189055484
5,10,half_window,5,0.03580856935994242
5,20,half_window,10,0.13947467986759582
5,30,half_window,15,0.30045205462511015
5,50,half_window,25,0.44071585961738635
5,80,half_window,40,0.5456735134473387
5,100,half_window,50,0.5714968566085503
5,150,half_window,75,0.5887422122916395
5,200,half_window,100,0.5313926421539841
5,10,quarter_window,2,0.009771979031548908
5,20,quarter_window,5,0.05929570607074598
5,30,quarter_window,7,0.12794562696411033
5,50,quarter_window,12,0.15703727370436127
5,80,quarter_window,20,0.2255202641985835
5,100,quarter_window,25,0.23001418639175916
5,150,quarter_window,37,0.20480940016047422
5,200,quarter_window,50,0.22805641876924196
