distance,mean_of_means,sd_of_means,n_datasets,se_of_means
0,10.288002999521497,7.9468114312170135,688,0.3029693454908486
1,10.23654088906102,7.829265460233928,688,0.29848794736002904
2,10.366190918642154,8.09858216987522,688,0.3087555506567736
3,10.386431157186587,8.066489304411395,688,0.30753202163149607
4,10.37538545156874,8.131009662009332,688,0.30999183720425455
5,10.371271022150305,8.082078526747457,688,0.30812635516120773
6,10.433061835470319,8.30274157651796,688,0.31653905506501623
7,10.326902547461318,8.165483535766926,688,0.3113061413197195
8,10.37335112502009,8.111615505295003,688,0.3092524419113191
9,10.401817633989399,8.121234477813527,688,0.309619161800605
10,10.453423528554048,8.143690505698338,688,0.3104752898375507
11,10.266036523400945,7.948775989074926,688,0.3030442435570155
12,10.353361978966399,8.092058688137621,688,0.3085068452471299
13,10.280610479758263,8.03459060819577,688,0.3063158952394069
14,10.323263703978787,7.925761093208668,688,0.30216680887802594
15,10.292015038294938,8.06671312546992,688,0.30754055472935493
16,10.287334322215044,8.055285562414218,688,0.30710488297225985
17,10.28303776760093,7.907733887940939,688,0.30147952812042067
18,10.313233797808595,8.140777031364763,688,0.310364214669908
19,10.36917926130093,8.184213308288683,688,0.31202020720277523
20,10.37725780425486,8.205726986700144,688,0.312840408502861
21,10.296512930525166,7.980378764427998,688,0.304249088071987
22,10.279823957908256,8.03211146347759,688,0.30622137873311434
23,10.381906422439142,8.005940999507338,688,0.30522363914801326
24,10.373286673433837,7.997922238286145,688,0.3049179267424956
25,10.340705464284493,7.971183042875309,688,0.3038985044744965
26,10.465016380302707,8.331463758672875,688,0.3176340779938806
27,10.462383286305624,8.214129754376755,688,0.31316076101724105
28,10.404493544051684,8.09765266500466,688,0.30872011361580415
29,10.321829406867662,7.884760240356495,688,0.30060366601743244
30,10.547623168235878,8.073015623226269,688,0.30778083520369687
31,10.59966591432238,8.229226948003651,688,0.3137363361282751
32,10.762833840947852,8.461343432435386,688,0.32258569413489263
33,10.691052065924993,8.2643637639954,688,0.3150759146794705
34,10.657839890556538,8.220672153691265,688,0.313410187652743
35,10.713144818910804,8.23393855287209,688,0.31391596437987734
36,10.759828180448588,8.09700501146502,688,0.3086954220560877
37,10.882916743284573,8.421718005926902,688,0.3210749889120517
38,10.895010475552008,8.300929779671042,688,0.3164699809577943
39,11.004246981974964,8.54086156634717,688,0.3256172945691585
40,10.929316588115153,8.157675327544144,688,0.3110084561720111
41,11.067068737423371,8.244985550583287,688,0.3143371272192337
42,11.174867701506477,8.4054451250285,688,0.3204545911440019
43,11.21767372996252,8.43334809368379,688,0.3215183818509938
44,11.137344201768526,8.152603012322595,688,0.31081507596712055
45,11.212970645372208,8.41235139120227,688,0.320717890073461
46,11.278009483787852,8.460051453600494,688,0.3225364379035873
47,11.371276390300391,8.623338982793207,688,0.3287617165923454
48,11.398469445252935,8.649206715779842,688,0.32974791466689723
49,11.427132146111106,8.508483434825612,688,0.32438288987738884
50,11.550147095063789,8.57666179301348,688,0.32698216541520736
51,11.542483400595854,8.459909169152093,688,0.3225310133598469
52,11.628244992219939,8.545912952099405,688,0.32580987684551205
53,11.709332364892065,8.540954911118309,688,0.3256208533051952
54,11.655132253959328,8.556275633352955,688,0.3262049503645068
55,11.723205309087298,8.50544650920197,688,0.3242671081734359
56,11.703120386465645,8.592014256272611,688,0.32756747258973273
57,11.8421056310965,8.749324663684552,688,0.33356487564692283
58,11.763143353344134,8.653912485403646,688,0.3299273204518834
59,11.908771779917624,8.890506025704903,688,0.33894736461335123
60,11.984697547282043,8.84436277959491,688,0.33718816984778127
61,11.956053370914582,8.768484119137073,688,0.33429532303813797
62,12.097106971463663,8.987489557929155,688,0.34264482711585237
63,12.093691548089899,8.671874899923933,688,0.3306121310853998
64,12.094755627004115,8.800560040797027,688,0.33551820608694893
65,12.106717373538833,8.861577521241223,688,0.3378444757202083
66,12.179009127678443,8.792963504621547,688,0.3352285908603887
67,12.152263949441103,8.793478463998236,688,0.33524822350256983
68,12.17522425019477,8.803547002564715,688,0.33563208293675156
69,12.27900174048297,8.902827401453605,688,0.33941711265990315
70,12.27822708123732,8.891160780702696,688,0.3389723269136216
71,12.467982940593744,8.86942292285729,688,0.3381435788527421
72,12.471221358907732,8.732251545689367,688,0.3329139691255764
73,12.584593077833524,9.14862723707495,688,0.3487881435399642
74,12.555835887873318,8.780492453707074,688,0.33475313650163824
75,12.696445654779982,8.991206997115516,688,0.3427865531561569
76,12.802732075810463,9.130313055083153,688,0.34808992189732424
77,12.883096082606222,9.175255452698115,688,0.3498033347432245
78,12.864379316626058,9.113500025937403,688,0.3474489311704024
79,12.84297940930482,9.020728805341573,688,0.34391206154318366
80,12.989125486600795,9.20782274580285,688,0.3510449511527433
81,13.066022543958423,9.21044178662987,688,0.3511448011481841
82,13.279891812072805,9.374071396894616,688,0.3573831215555478
83,13.345925956013536,9.398113628376572,688,0.35829972303769875
84,13.485841312950452,9.415861254242488,688,0.3589763449305363
85,13.644932775303309,9.8504201637514,688,0.3755437480368875
86,13.715942690693565,9.627370872816236,688,0.36704007354155904
87,13.755935167996656,9.638847326435734,688,0.36747760923392453
88,13.827811294597437,9.71347214164386,688,0.37032265364156813
89,13.896420017405807,9.826200431891632,688,0.3746203794162741
90,13.957330481070326,9.673040249587597,688,0.36878120220796246
