dataset_id,window_size,threshold,tolerance_type,tolerance_value,precision,recall,num_detected,num_true
6,10,0.0,full_window,10,0.04040795634151433,0.9496919917864476,33533,974
6,10,0.0,half_window,5,0.022574777085259297,0.7484599589322382,33533,974
6,10,0.0,quarter_window,2,0.011123371007664092,0.38295687885010266,33533,974
6,10,1.0,full_window,10,0.05207440949700159,0.7053388090349076,16342,974
6,10,1.0,half_window,5,0.03249296291763554,0.528747433264887,16342,974
6,10,1.0,quarter_window,2,0.016521845551340106,0.27720739219712526,16342,974
6,10,2.0,full_window,10,0.06412914691943128,0.3860369609856263,6752,974
6,10,2.0,half_window,5,0.041617298578199055,0.28234086242299794,6752,974
6,10,2.0,quarter_window,2,0.021623222748815167,0.14989733059548255,6752,974
6,10,3.0,full_window,10,0.08394338701805759,0.16529774127310062,2049,974
6,10,3.0,half_window,5,0.05612493899463153,0.11806981519507187,2049,974
6,10,3.0,quarter_window,2,0.0317227916056613,0.06673511293634497,2049,974
6,10,4.0,full_window,10,0.11683848797250859,0.06776180698151951,582,974
6,10,4.0,half_window,5,0.08075601374570447,0.048254620123203286,582,974
6,10,4.0,quarter_window,2,0.04982817869415808,0.029774127310061602,582,974
6,10,5.0,full_window,10,0.16233766233766234,0.02566735112936345,154,974
6,10,5.0,half_window,5,0.11688311688311688,0.018480492813141684,154,974
6,10,5.0,quarter_window,2,0.07792207792207792,0.012320328542094456,154,974
6,10,6.0,full_window,10,0.32432432432432434,0.012320328542094456,37,974
6,10,6.0,half_window,5,0.24324324324324326,0.009240246406570842,37,974
6,10,6.0,quarter_window,2,0.13513513513513514,0.00513347022587269,37,974
6,10,7.0,full_window,10,0.46153846153846156,0.006160164271047228,13,974
6,10,7.0,half_window,5,0.3076923076923077,0.004106776180698152,13,974
6,10,7.0,quarter_window,2,0.15384615384615385,0.002053388090349076,13,974
6,10,8.0,full_window,10,0.6,0.003080082135523614,5,974
6,10,8.0,half_window,5,0.2,0.001026694045174538,5,974
6,10,8.0,quarter_window,2,0.0,0.0,5,974
6,10,9.0,full_window,10,1.0,0.002053388090349076,2,974
6,10,9.0,half_window,5,0.5,0.001026694045174538,2,974
6,10,9.0,quarter_window,2,0.0,0.0,2,974
6,10,10.0,full_window,10,1.0,0.001026694045174538,1,974
6,10,10.0,half_window,5,0.0,0.0,1,974
6,10,10.0,quarter_window,2,0.0,0.0,1,974
6,10,11.0,full_window,10,1.0,0.001026694045174538,1,974
6,10,11.0,half_window,5,0.0,0.0,1,974
6,10,11.0,quarter_window,2,0.0,0.0,1,974
