dataset_id,window_size,tolerance_type,tolerance_value,auc
6,10,full_window,10,0.07152597645013153
6,20,full_window,20,0.2479121313294155
6,30,full_window,30,0.4317900242681475
6,50,full_window,50,0.6182375500981337
6,80,full_window,80,0.6993958447621706
6,100,full_window,100,0.7254842893495186
6,150,full_window,150,0.7392643379127254
6,200,full_window,200,0.7134365226561097
6,10,half_window,5,0.03535320771290723
6,20,half_window,10,0.15777841007572574
6,30,half_window,15,0.2851764436853254
6,50,half_window,25,0.4451974770391924
6,80,half_window,40,0.502565917309103
6,100,half_window,50,0.5481169351709376
6,150,half_window,75,0.5851667492565416
6,200,half_window,100,0.5688448698865918
6,10,quarter_window,2,0.010098613396722514
6,20,quarter_window,5,0.06192704363077639
6,30,quarter_window,7,0.10989165323797458
6,50,quarter_window,12,0.14465019743734076
6,80,quarter_window,20,0.18218468757580025
6,100,quarter_window,25,0.18234516131257036
6,150,quarter_window,37,0.20571258968749273
6,200,quarter_window,50,0.20172862237052486
