Position,Value,Centromere_distance,Nucleosome_distance
0,0,250000,0
1,0,249999,1
2,0,249998,2
3,0,249997,3
4,0,249996,4
5,0,249995,5
6,0,249994,6
7,0,249993,7
8,0,249992,8
9,0,249991,9
10,0,249990,10
11,0,249989,11
12,0,249988,12
13,0,249987,13
14,0,249986,14
15,1,249985,15
16,0,249984,16
17,0,249983,17
18,0,249982,18
19,0,249981,19
20,0,249980,20
21,0,249979,21
22,0,249978,22
23,0,249977,23
24,0,249976,24
25,3,249975,25
26,0,249974,26
27,0,249973,27
28,0,249972,28
29,0,249971,29
30,0,249970,30
31,0,249969,31
32,0,249968,32
33,0,249967,33
34,8,249966,34
35,0,249965,35
36,0,249964,36
37,1,249963,37
38,0,249962,38
39,0,249961,39
40,0,249960,40
41,0,249959,41
42,0,249958,42
43,0,249957,43
44,0,249956,44
45,0,249955,45
46,0,249954,46
47,0,249953,47
48,0,249952,48
49,0,249951,49
50,3,249950,50
51,0,249949,51
52,0,249948,52
53,1,249947,53
54,0,249946,54
55,0,249945,55
56,0,249944,56
57,0,249943,57
58,0,249942,58
59,0,249941,59
60,0,249940,60
61,0,249939,61
62,0,249938,62
63,0,249937,63
64,0,249936,64
65,0,249935,65
66,0,249934,66
67,0,249933,67
68,0,249932,68
69,4,249931,69
70,2,249930,70
71,0,249929,71
72,0,249928,72
73,0,249927,71
74,0,249926,70
75,0,249925,69
76,0,249924,68
77,0,249923,67
78,0,249922,66
79,0,249921,65
80,0,249920,64
81,0,249919,63
82,0,249918,62
83,0,249917,61
84,0,249916,60
85,0,249915,59
86,0,249914,58
87,0,249913,57
88,0,249912,56
89,2,249911,55
90,0,249910,54
91,0,249909,53
92,0,249908,52
93,0,249907,51
94,0,249906,50
95,0,249905,49
96,0,249904,48
97,0,249903,47
98,0,249902,46
99,0,249901,45
100,0,249900,44
101,0,249899,43
102,0,249898,42
103,0,249897,41
104,0,249896,40
105,0,249895,39
106,0,249894,38
107,0,249893,37
108,5,249892,36
109,0,249891,35
110,0,249890,34
111,0,249889,33
112,0,249888,32
113,0,249887,31
114,0,249886,30
115,0,249885,29
116,0,249884,28
117,0,249883,27
118,0,249882,26
119,0,249881,25
120,0,249880,24
121,0,249879,23
122,0,249878,22
123,0,249877,21
124,0,249876,20
125,0,249875,19
126,0,249874,18
127,0,249873,17
128,0,249872,16
129,0,249871,15
130,1,249870,14
131,0,249869,13
132,0,249868,12
133,0,249867,11
134,0,249866,10
135,0,249865,9
136,0,249864,8
137,0,249863,7
138,0,249862,6
139,0,249861,5
140,0,249860,4
141,0,249859,3
142,0,249858,2
143,17,249857,1
144,0,249856,0
145,0,249855,1
146,0,249854,2
147,0,249853,3
148,0,249852,4
149,0,249851,5
150,0,249850,6
151,0,249849,7
152,0,249848,8
153,0,249847,9
154,0,249846,10
155,0,249845,11
156,0,249844,12
157,0,249843,13
158,2,249842,14
159,0,249841,15
160,0,249840,16
161,0,249839,17
162,0,249838,18
163,0,249837,19
164,0,249836,20
165,0,249835,21
166,0,249834,22
167,0,249833,23
168,0,249832,24
169,0,249831,25
170,0,249830,26
171,0,249829,27
172,0,249828,28
173,0,249827,29
174,0,249826,30
175,0,249825,31
176,0,249824,32
177,0,249823,33
178,0,249822,34
179,0,249821,35
180,0,249820,36
181,0,249819,37
182,2,249818,38
183,0,249817,39
184,1,249816,40
185,0,249815,41
186,0,249814,42
187,0,249813,43
188,0,249812,44
189,0,249811,45
190,0,249810,46
191,0,249809,47
192,0,249808,48
193,0,249807,49
194,0,249806,50
195,0,249805,51
196,0,249804,52
197,0,249803,53
198,0,249802,54
199,0,249801,55
200,0,249800,56
201,0,249799,57
202,0,249798,58
203,0,249797,59
204,0,249796,59
205,0,249795,58
206,0,249794,57
207,1,249793,56
208,0,249792,55
209,0,249791,54
210,3,249790,53
211,0,249789,52
212,0,249788,51
213,0,249787,50
214,0,249786,49
215,0,249785,48
216,0,249784,47
217,0,249783,46
218,0,249782,45
219,0,249781,44
220,0,249780,43
221,0,249779,42
222,0,249778,41
223,0,249777,40
224,0,249776,39
225,0,249775,38
226,0,249774,37
227,0,249773,36
228,1,249772,35
229,0,249771,34
230,0,249770,33
231,0,249769,32
