Lag,Average_ACF,Total_Contributing_Pairs
1,0.2977210425736102,3877625.0
2,0.33654303702782457,4175313.0
3,0.33814421179167237,5529520.0
4,0.32637250477153706,5583872.0
5,0.31469707294746185,5287167.0
6,0.3362948794300168,5243788.0
7,0.32568994204888246,5119504.0
8,0.35347947524647244,5661974.0
9,0.3394419462914037,5017527.0
10,0.3417362703653646,5045080.0
11,0.3512827466596512,5319452.0
12,0.33125496531253723,5101555.0
13,0.3151193277217257,4899524.0
14,0.3135625192379619,5025913.0
15,0.3028308714376436,4918890.0
16,0.2954701772804645,4829038.0
17,0.2950311262015995,4829656.0
18,0.2966943673037622,4847439.0
19,0.2996187867664975,4887718.0
20,0.29863798118301405,4822692.0
21,0.29967952344026033,4784824.0
22,0.2988846429983006,4798338.0
23,0.29056911205100777,4770373.0
24,0.28359982518158566,4723573.0
25,0.2760735610820661,4668547.0
26,0.27122496790232803,4652922.0
27,0.26811412711703747,4637765.0
28,0.26927247905795315,4624391.0
29,0.269447301574177,4628308.0
30,0.27281341830282835,4653538.0
31,0.2742803215670427,4648777.0
32,0.27232979998691725,4643928.0
33,0.2680830685879449,4635659.0
34,0.2658176958690162,4614729.0
35,0.2586212412212607,4581918.0
36,0.25498359184321834,4561576.0
37,0.250717318954555,4531618.0
38,0.2522263379974384,4522086.0
39,0.2530388923990027,4502593.0
40,0.2545813020242197,4503267.0
41,0.25398412100388534,4503478.0
42,0.25596727453513834,4498327.0
43,0.2537213013124959,4467739.0
44,0.2490490081132036,4456747.0
45,0.2462510762973792,4438642.0
46,0.2419484633479697,4403505.0
47,0.23830138564563988,4378520.0
48,0.23807207732755023,4366235.0
49,0.23727893600881753,4350966.0
50,0.23710589303681154,4345519.0
51,0.2416824017740906,4338203.0
52,0.23977676577968085,4329117.0
53,0.240169761594855,4315270.0
54,0.23592812963773419,4312243.0
55,0.23378602012054664,4279459.0
56,0.23003814111991552,4266049.0
57,0.22868524156686287,4249033.0
58,0.22660949111325734,4222680.0
59,0.2268152268252166,4216057.0
60,0.22659535849889,4215716.0
61,0.22740348778191344,4201450.0
62,0.2264873641038821,4193277.0
63,0.22786190213238097,4182565.0
64,0.2256069606141009,4183099.0
65,0.2233455532179879,4163515.0
66,0.22260321512956022,4153761.0
67,0.21866318939617937,4143354.0
68,0.21874924833297024,4130878.0
69,0.21694320738757572,4122481.0
70,0.21667001752500537,4109444.0
71,0.21870699510119107,4096455.0
72,0.21899447974293584,4104751.0
73,0.21975355118878778,4092993.0
74,0.2179845198171117,4082476.0
75,0.2166783359486045,4084154.0
76,0.2159193366972554,4071051.0
77,0.2111868651059003,4054291.0
78,0.2100830975489496,4056763.0
79,0.21110970581587704,4034299.0
80,0.2092041408187271,4037246.0
81,0.21004334103915417,4033769.0
82,0.21042842068465795,4026016.0
83,0.20878473457722704,4021467.0
84,0.21124575223846445,4027329.0
85,0.21048821540470333,4003425.0
86,0.20578720092039768,4005370.0
87,0.20670108993353845,4000160.0
88,0.20497614918518586,3990288.0
89,0.20181190219210407,3982031.0
90,0.20259021908583552,3983613.0
91,0.20164873363774563,3973896.0
92,0.2003649896674677,3975562.0
93,0.20280304904224647,3970586.0
94,0.20030249710890835,3966979.0
95,0.19846498687712816,3963638.0
96,0.1994023492694312,3961720.0
97,0.19845911455764817,3953517.0
98,0.19565503559799408,3943682.0
99,0.19509571424120542,3940010.0
100,0.1945702576363604,3943964.0
101,0.19476759981430253,3935034.0
102,0.19311077408453275,3937180.0
103,0.19316791792443064,3935603.0
104,0.19124563664609864,3940100.0
105,0.1921147373345761,3938219.0
106,0.19061321975085882,3930900.0
107,0.18988309593898095,3926914.0
108,0.19126960588748654,3924827.0
109,0.19009268296127446,3915344.0
110,0.18702395313300402,3913970.0
111,0.18720956700340233,3913581.0
112,0.1851409709798004,3918494.0
113,0.18574279180290534,3920442.0
114,0.1862659828619706,3922424.0
115,0.18637029137389893,3925277.0
116,0.186086386928961,3919572.0
117,0.18529824523371255,3916711.0
118,0.18620820161652524,3911008.0
119,0.18486554540467467,3900694.0
120,0.1837076935649672,3909955.0
121,0.18198259381912973,3901716.0
122,0.1805680779374783,3908637.0
123,0.18246229981919534,3916624.0
124,0.1818253483498642,3920419.0
125,0.18105865638163393,3916818.0
126,0.18391460182318714,3923954.0
127,0.18187111560393732,3911017.0
128,0.18193610096951476,3914179.0
129,0.1824259509714976,3907395.0
130,0.18079478072349958,3905772.0
131,0.18050794898699754,3892738.0
132,0.17749958514935524,3914100.0
133,0.17856017463293075,3903300.0
134,0.18039798379190863,3915744.0
135,0.17955320990500323,3924443.0
136,0.17994543374786828,3926191.0
137,0.17888561383377663,3924479.0
138,0.1792410618050134,3930380.0
139,0.18018326695341483,3913024.0
140,0.17802453138524843,3913378.0
141,0.1764826764392356,3916554.0
142,0.17739695587539098,3912771.0
143,0.17624385988925176,3917416.0
144,0.17574752934572338,3931603.0
145,0.17495727807524697,3926653.0
146,0.17650672009184354,3938121.0
147,0.1787536707065246,3937619.0
148,0.17927321984111774,3939464.0
149,0.17790545305776068,3931854.0
150,0.17668244854657475,3932156.0
151,0.17600532453218629,3923146.0
152,0.17538944904681678,3927214.0
153,0.1747011273890459,3926814.0
154,0.17528261157033292,3930328.0
155,0.17476966166305877,3930273.0
156,0.1741722334452887,3952700.0
157,0.175145978282035,3945749.0
158,0.1773596637688789,3944790.0
159,0.17602037974991502,3946990.0
160,0.17572714708610548,3941293.0
161,0.1767241269860252,3932366.0
162,0.17640221469423908,3931983.0
163,0.1762533981634677,3922837.0
164,0.1741276362450507,3930750.0
165,0.1736403865930316,3938252.0
166,0.17603181052085232,3939768.0
167,0.17502002314248696,3935871.0
168,0.17697505234332592,3943603.0
169,0.17613244427126729,3938062.0
170,0.1770006919513322,3936725.0
171,0.17549130471794702,3926741.0
172,0.17610949593497466,3922937.0
173,0.1738334486914347,3915025.0
174,0.17486350321900795,3919507.0
175,0.17392949529975602,3924553.0
176,0.17332949573122955,3920906.0
177,0.17348035397961345,3921242.0
178,0.17342692395618203,3924472.0
179,0.17412130660004535,3917351.0
180,0.1742343652511654,3918709.0
181,0.17458746502710457,3909561.0
182,0.17394661779614232,3898719.0
183,0.17408465418938598,3901635.0
184,0.17176395602461264,3894441.0
185,0.17150872692587144,3888891.0
186,0.17201171656704464,3895581.0
187,0.1717125308085784,3885975.0
188,0.1718148962830849,3887942.0
189,0.17167899124812663,3888596.0
190,0.1709019809768919,3876139.0
191,0.17130064025843658,3873119.0
192,0.17189385821907763,3868244.0
193,0.17234174684955877,3854788.0
194,0.17037702024760937,3854670.0
