filename,pi,mu,theta,sample_size
zinb_pi0.1_mu1_theta0.01.csv,0.1,1,0.01,1000
zinb_pi0.1_mu1_theta0.1.csv,0.1,1,0.1,1000
zinb_pi0.1_mu1_theta1.csv,0.1,1,1.0,1000
zinb_pi0.1_mu1_theta5.csv,0.1,1,5.0,1000
zinb_pi0.1_mu1_theta10.csv,0.1,1,10.0,1000
zinb_pi0.1_mu1_theta50.csv,0.1,1,50.0,1000
zinb_pi0.1_mu1_theta75.csv,0.1,1,75.0,1000
zinb_pi0.1_mu1_theta100.csv,0.1,1,100.0,1000
zinb_pi0.1_mu1_theta200.csv,0.1,1,200.0,1000
zinb_pi0.1_mu2_theta0.01.csv,0.1,2,0.01,1000
zinb_pi0.1_mu2_theta0.1.csv,0.1,2,0.1,1000
zinb_pi0.1_mu2_theta1.csv,0.1,2,1.0,1000
zinb_pi0.1_mu2_theta5.csv,0.1,2,5.0,1000
zinb_pi0.1_mu2_theta10.csv,0.1,2,10.0,1000
zinb_pi0.1_mu2_theta50.csv,0.1,2,50.0,1000
zinb_pi0.1_mu2_theta75.csv,0.1,2,75.0,1000
zinb_pi0.1_mu2_theta100.csv,0.1,2,100.0,1000
zinb_pi0.1_mu2_theta200.csv,0.1,2,200.0,1000
zinb_pi0.1_mu3_theta0.01.csv,0.1,3,0.01,1000
zinb_pi0.1_mu3_theta0.1.csv,0.1,3,0.1,1000
zinb_pi0.1_mu3_theta1.csv,0.1,3,1.0,1000
zinb_pi0.1_mu3_theta5.csv,0.1,3,5.0,1000
zinb_pi0.1_mu3_theta10.csv,0.1,3,10.0,1000
zinb_pi0.1_mu3_theta50.csv,0.1,3,50.0,1000
zinb_pi0.1_mu3_theta75.csv,0.1,3,75.0,1000
zinb_pi0.1_mu3_theta100.csv,0.1,3,100.0,1000
zinb_pi0.1_mu3_theta200.csv,0.1,3,200.0,1000
zinb_pi0.1_mu4_theta0.01.csv,0.1,4,0.01,1000
zinb_pi0.1_mu4_theta0.1.csv,0.1,4,0.1,1000
zinb_pi0.1_mu4_theta1.csv,0.1,4,1.0,1000
zinb_pi0.1_mu4_theta5.csv,0.1,4,5.0,1000
zinb_pi0.1_mu4_theta10.csv,0.1,4,10.0,1000
zinb_pi0.1_mu4_theta50.csv,0.1,4,50.0,1000
zinb_pi0.1_mu4_theta75.csv,0.1,4,75.0,1000
zinb_pi0.1_mu4_theta100.csv,0.1,4,100.0,1000
zinb_pi0.1_mu4_theta200.csv,0.1,4,200.0,1000
zinb_pi0.1_mu5_theta0.01.csv,0.1,5,0.01,1000
zinb_pi0.1_mu5_theta0.1.csv,0.1,5,0.1,1000
zinb_pi0.1_mu5_theta1.csv,0.1,5,1.0,1000
zinb_pi0.1_mu5_theta5.csv,0.1,5,5.0,1000
zinb_pi0.1_mu5_theta10.csv,0.1,5,10.0,1000
zinb_pi0.1_mu5_theta50.csv,0.1,5,50.0,1000
zinb_pi0.1_mu5_theta75.csv,0.1,5,75.0,1000
zinb_pi0.1_mu5_theta100.csv,0.1,5,100.0,1000
zinb_pi0.1_mu5_theta200.csv,0.1,5,200.0,1000
zinb_pi0.1_mu10_theta0.01.csv,0.1,10,0.01,1000
zinb_pi0.1_mu10_theta0.1.csv,0.1,10,0.1,1000
zinb_pi0.1_mu10_theta1.csv,0.1,10,1.0,1000
zinb_pi0.1_mu10_theta5.csv,0.1,10,5.0,1000
zinb_pi0.1_mu10_theta10.csv,0.1,10,10.0,1000
zinb_pi0.1_mu10_theta50.csv,0.1,10,50.0,1000
zinb_pi0.1_mu10_theta75.csv,0.1,10,75.0,1000
zinb_pi0.1_mu10_theta100.csv,0.1,10,100.0,1000
zinb_pi0.1_mu10_theta200.csv,0.1,10,200.0,1000
zinb_pi0.1_mu20_theta0.01.csv,0.1,20,0.01,1000
zinb_pi0.1_mu20_theta0.1.csv,0.1,20,0.1,1000
zinb_pi0.1_mu20_theta1.csv,0.1,20,1.0,1000
zinb_pi0.1_mu20_theta5.csv,0.1,20,5.0,1000
zinb_pi0.1_mu20_theta10.csv,0.1,20,10.0,1000
zinb_pi0.1_mu20_theta50.csv,0.1,20,50.0,1000
zinb_pi0.1_mu20_theta75.csv,0.1,20,75.0,1000
zinb_pi0.1_mu20_theta100.csv,0.1,20,100.0,1000
zinb_pi0.1_mu20_theta200.csv,0.1,20,200.0,1000
zinb_pi0.1_mu50_theta0.01.csv,0.1,50,0.01,1000
zinb_pi0.1_mu50_theta0.1.csv,0.1,50,0.1,1000
zinb_pi0.1_mu50_theta1.csv,0.1,50,1.0,1000
zinb_pi0.1_mu50_theta5.csv,0.1,50,5.0,1000
zinb_pi0.1_mu50_theta10.csv,0.1,50,10.0,1000
zinb_pi0.1_mu50_theta50.csv,0.1,50,50.0,1000
zinb_pi0.1_mu50_theta75.csv,0.1,50,75.0,1000
zinb_pi0.1_mu50_theta100.csv,0.1,50,100.0,1000
zinb_pi0.1_mu50_theta200.csv,0.1,50,200.0,1000
zinb_pi0.3_mu1_theta0.01.csv,0.3,1,0.01,1000
zinb_pi0.3_mu1_theta0.1.csv,0.3,1,0.1,1000
zinb_pi0.3_mu1_theta1.csv,0.3,1,1.0,1000
zinb_pi0.3_mu1_theta5.csv,0.3,1,5.0,1000
zinb_pi0.3_mu1_theta10.csv,0.3,1,10.0,1000
zinb_pi0.3_mu1_theta50.csv,0.3,1,50.0,1000
zinb_pi0.3_mu1_theta75.csv,0.3,1,75.0,1000
zinb_pi0.3_mu1_theta100.csv,0.3,1,100.0,1000
zinb_pi0.3_mu1_theta200.csv,0.3,1,200.0,1000
zinb_pi0.3_mu2_theta0.01.csv,0.3,2,0.01,1000
zinb_pi0.3_mu2_theta0.1.csv,0.3,2,0.1,1000
zinb_pi0.3_mu2_theta1.csv,0.3,2,1.0,1000
zinb_pi0.3_mu2_theta5.csv,0.3,2,5.0,1000
zinb_pi0.3_mu2_theta10.csv,0.3,2,10.0,1000
zinb_pi0.3_mu2_theta50.csv,0.3,2,50.0,1000
zinb_pi0.3_mu2_theta75.csv,0.3,2,75.0,1000
zinb_pi0.3_mu2_theta100.csv,0.3,2,100.0,1000
zinb_pi0.3_mu2_theta200.csv,0.3,2,200.0,1000
zinb_pi0.3_mu3_theta0.01.csv,0.3,3,0.01,1000
zinb_pi0.3_mu3_theta0.1.csv,0.3,3,0.1,1000
zinb_pi0.3_mu3_theta1.csv,0.3,3,1.0,1000
zinb_pi0.3_mu3_theta5.csv,0.3,3,5.0,1000
zinb_pi0.3_mu3_theta10.csv,0.3,3,10.0,1000
zinb_pi0.3_mu3_theta50.csv,0.3,3,50.0,1000
zinb_pi0.3_mu3_theta75.csv,0.3,3,75.0,1000
zinb_pi0.3_mu3_theta100.csv,0.3,3,100.0,1000
zinb_pi0.3_mu3_theta200.csv,0.3,3,200.0,1000
zinb_pi0.3_mu4_theta0.01.csv,0.3,4,0.01,1000
zinb_pi0.3_mu4_theta0.1.csv,0.3,4,0.1,1000
zinb_pi0.3_mu4_theta1.csv,0.3,4,1.0,1000
zinb_pi0.3_mu4_theta5.csv,0.3,4,5.0,1000
zinb_pi0.3_mu4_theta10.csv,0.3,4,10.0,1000
zinb_pi0.3_mu4_theta50.csv,0.3,4,50.0,1000
zinb_pi0.3_mu4_theta75.csv,0.3,4,75.0,1000
zinb_pi0.3_mu4_theta100.csv,0.3,4,100.0,1000
zinb_pi0.3_mu4_theta200.csv,0.3,4,200.0,1000
zinb_pi0.3_mu5_theta0.01.csv,0.3,5,0.01,1000
zinb_pi0.3_mu5_theta0.1.csv,0.3,5,0.1,1000
zinb_pi0.3_mu5_theta1.csv,0.3,5,1.0,1000
zinb_pi0.3_mu5_theta5.csv,0.3,5,5.0,1000
zinb_pi0.3_mu5_theta10.csv,0.3,5,10.0,1000
zinb_pi0.3_mu5_theta50.csv,0.3,5,50.0,1000
zinb_pi0.3_mu5_theta75.csv,0.3,5,75.0,1000
zinb_pi0.3_mu5_theta100.csv,0.3,5,100.0,1000
zinb_pi0.3_mu5_theta200.csv,0.3,5,200.0,1000
zinb_pi0.3_mu10_theta0.01.csv,0.3,10,0.01,1000
zinb_pi0.3_mu10_theta0.1.csv,0.3,10,0.1,1000
zinb_pi0.3_mu10_theta1.csv,0.3,10,1.0,1000
zinb_pi0.3_mu10_theta5.csv,0.3,10,5.0,1000
zinb_pi0.3_mu10_theta10.csv,0.3,10,10.0,1000
zinb_pi0.3_mu10_theta50.csv,0.3,10,50.0,1000
zinb_pi0.3_mu10_theta75.csv,0.3,10,75.0,1000
zinb_pi0.3_mu10_theta100.csv,0.3,10,100.0,1000
zinb_pi0.3_mu10_theta200.csv,0.3,10,200.0,1000
zinb_pi0.3_mu20_theta0.01.csv,0.3,20,0.01,1000
zinb_pi0.3_mu20_theta0.1.csv,0.3,20,0.1,1000
zinb_pi0.3_mu20_theta1.csv,0.3,20,1.0,1000
zinb_pi0.3_mu20_theta5.csv,0.3,20,5.0,1000
zinb_pi0.3_mu20_theta10.csv,0.3,20,10.0,1000
zinb_pi0.3_mu20_theta50.csv,0.3,20,50.0,1000
zinb_pi0.3_mu20_theta75.csv,0.3,20,75.0,1000
zinb_pi0.3_mu20_theta100.csv,0.3,20,100.0,1000
zinb_pi0.3_mu20_theta200.csv,0.3,20,200.0,1000
zinb_pi0.3_mu50_theta0.01.csv,0.3,50,0.01,1000
zinb_pi0.3_mu50_theta0.1.csv,0.3,50,0.1,1000
zinb_pi0.3_mu50_theta1.csv,0.3,50,1.0,1000
zinb_pi0.3_mu50_theta5.csv,0.3,50,5.0,1000
zinb_pi0.3_mu50_theta10.csv,0.3,50,10.0,1000
zinb_pi0.3_mu50_theta50.csv,0.3,50,50.0,1000
zinb_pi0.3_mu50_theta75.csv,0.3,50,75.0,1000
zinb_pi0.3_mu50_theta100.csv,0.3,50,100.0,1000
zinb_pi0.3_mu50_theta200.csv,0.3,50,200.0,1000
zinb_pi0.5_mu1_theta0.01.csv,0.5,1,0.01,1000
zinb_pi0.5_mu1_theta0.1.csv,0.5,1,0.1,1000
zinb_pi0.5_mu1_theta1.csv,0.5,1,1.0,1000
zinb_pi0.5_mu1_theta5.csv,0.5,1,5.0,1000
zinb_pi0.5_mu1_theta10.csv,0.5,1,10.0,1000
zinb_pi0.5_mu1_theta50.csv,0.5,1,50.0,1000
zinb_pi0.5_mu1_theta75.csv,0.5,1,75.0,1000
zinb_pi0.5_mu1_theta100.csv,0.5,1,100.0,1000
zinb_pi0.5_mu1_theta200.csv,0.5,1,200.0,1000
zinb_pi0.5_mu2_theta0.01.csv,0.5,2,0.01,1000
zinb_pi0.5_mu2_theta0.1.csv,0.5,2,0.1,1000
zinb_pi0.5_mu2_theta1.csv,0.5,2,1.0,1000
zinb_pi0.5_mu2_theta5.csv,0.5,2,5.0,1000
zinb_pi0.5_mu2_theta10.csv,0.5,2,10.0,1000
zinb_pi0.5_mu2_theta50.csv,0.5,2,50.0,1000
zinb_pi0.5_mu2_theta75.csv,0.5,2,75.0,1000
zinb_pi0.5_mu2_theta100.csv,0.5,2,100.0,1000
zinb_pi0.5_mu2_theta200.csv,0.5,2,200.0,1000
zinb_pi0.5_mu3_theta0.01.csv,0.5,3,0.01,1000
zinb_pi0.5_mu3_theta0.1.csv,0.5,3,0.1,1000
zinb_pi0.5_mu3_theta1.csv,0.5,3,1.0,1000
zinb_pi0.5_mu3_theta5.csv,0.5,3,5.0,1000
zinb_pi0.5_mu3_theta10.csv,0.5,3,10.0,1000
zinb_pi0.5_mu3_theta50.csv,0.5,3,50.0,1000
zinb_pi0.5_mu3_theta75.csv,0.5,3,75.0,1000
zinb_pi0.5_mu3_theta100.csv,0.5,3,100.0,1000
zinb_pi0.5_mu3_theta200.csv,0.5,3,200.0,1000
zinb_pi0.5_mu4_theta0.01.csv,0.5,4,0.01,1000
zinb_pi0.5_mu4_theta0.1.csv,0.5,4,0.1,1000
zinb_pi0.5_mu4_theta1.csv,0.5,4,1.0,1000
zinb_pi0.5_mu4_theta5.csv,0.5,4,5.0,1000
zinb_pi0.5_mu4_theta10.csv,0.5,4,10.0,1000
zinb_pi0.5_mu4_theta50.csv,0.5,4,50.0,1000
zinb_pi0.5_mu4_theta75.csv,0.5,4,75.0,1000
zinb_pi0.5_mu4_theta100.csv,0.5,4,100.0,1000
zinb_pi0.5_mu4_theta200.csv,0.5,4,200.0,1000
zinb_pi0.5_mu5_theta0.01.csv,0.5,5,0.01,1000
zinb_pi0.5_mu5_theta0.1.csv,0.5,5,0.1,1000
zinb_pi0.5_mu5_theta1.csv,0.5,5,1.0,1000
zinb_pi0.5_mu5_theta5.csv,0.5,5,5.0,1000
zinb_pi0.5_mu5_theta10.csv,0.5,5,10.0,1000
zinb_pi0.5_mu5_theta50.csv,0.5,5,50.0,1000
zinb_pi0.5_mu5_theta75.csv,0.5,5,75.0,1000
zinb_pi0.5_mu5_theta100.csv,0.5,5,100.0,1000
zinb_pi0.5_mu5_theta200.csv,0.5,5,200.0,1000
zinb_pi0.5_mu10_theta0.01.csv,0.5,10,0.01,1000
zinb_pi0.5_mu10_theta0.1.csv,0.5,10,0.1,1000
zinb_pi0.5_mu10_theta1.csv,0.5,10,1.0,1000
zinb_pi0.5_mu10_theta5.csv,0.5,10,5.0,1000
zinb_pi0.5_mu10_theta10.csv,0.5,10,10.0,1000
zinb_pi0.5_mu10_theta50.csv,0.5,10,50.0,1000
zinb_pi0.5_mu10_theta75.csv,0.5,10,75.0,1000
zinb_pi0.5_mu10_theta100.csv,0.5,10,100.0,1000
zinb_pi0.5_mu10_theta200.csv,0.5,10,200.0,1000
zinb_pi0.5_mu20_theta0.01.csv,0.5,20,0.01,1000
zinb_pi0.5_mu20_theta0.1.csv,0.5,20,0.1,1000
zinb_pi0.5_mu20_theta1.csv,0.5,20,1.0,1000
zinb_pi0.5_mu20_theta5.csv,0.5,20,5.0,1000
zinb_pi0.5_mu20_theta10.csv,0.5,20,10.0,1000
zinb_pi0.5_mu20_theta50.csv,0.5,20,50.0,1000
zinb_pi0.5_mu20_theta75.csv,0.5,20,75.0,1000
